identifier,contactType,phone,email,availableLanguage,fax
23a7711a-8133-4876-b7eb-dcd9e87a1613,Media Relations,321-794-8924x1157,FaulknerHoward@healthcare.org,['de'],(259)938-7784x08016
1beb3711-7d41-4602-aece-328bff7b118e,Media Relations,384-818-5839x8947,West@healthcare.org,"['et', 'en']",493-242-3209x47112
b341facd-ff0a-40f1-a425-799aa905d750,Administrative,(315)591-7953x304,Bryan@healthcare.org,"['de', 'en']",(325)260-1230x989
efdd35f8-0fa3-4266-8cfd-ba9bba26d851,Patient Services,+1-208-969-1413x14562,Robbins@healthcare.org,['de'],4915634579
4fbaecc0-eae2-425e-8233-9e23dff3334b,Billing,+1-456-542-8071x5084,Thompson@healthcare.org,['de'],001-575-794-5992x46610
e28bc9ff-870f-484c-b244-f536285e25b4,General Inquiries,(089)-0075470,Fletcher@healthcare.org,['nl'],+31(0)38-1206650
658de17e-ec3a-4314-9a9b-b01779c147c7,Billing,+31047 142851,RamirezGood@healthcare.org,"['nl', 'en']",+31(0)400 034855
555a4085-4578-4ab3-a6a9-74652371ea2c,Patient Services,451-659-0042x29456,Bennett@healthcare.org,"['et', 'en']",873-704-2814
2aa36cf7-eb70-4a65-a7d9-9a23e4f7625e,Patient Services,+1-696-911-1330x6016,Turner@healthcare.org,['et'],393.361.5349x2635
8be04c3e-5c94-4381-a0c6-b3ed755a3ac1,Billing,(919)772-9668,Hanson@healthcare.org,"['et', 'en']",673.489.3055x5082
f7f60e7f-75f2-4c20-a7f5-195cde62d43f,Administrative,(586)688-0918x916,RiveraMartin@healthcare.org,['et'],+1-296-476-9930
d476fe38-babd-4745-897e-9f1a3d2bf042,General Inquiries,+31007-627912,BrownDavidson@healthcare.org,"['nl', 'en']",+3160-9767017
b368c553-9c30-4eaa-8f66-b32de19b5837,Patient Services,295.819.4264x183,LoganWaters@healthcare.org,['de'],553.575.1007x408
27f9e728-c618-4c1e-aa48-05421965e435,Patient Services,001-707-266-0754x1511,Walls@healthcare.org,"['et', 'en']",(352)203-5192x303
4ae9ee11-f5fe-4213-b92e-cd7555c36c3d,Media Relations,485-529-1189x4262,AndersonLevy@healthcare.org,['et'],383-432-4560x29061
ba6a098f-f642-48f3-aacf-49eb02284fd9,Media Relations,973-854-7121x41892,Wood@healthcare.org,"['de', 'en']",(766)923-7582
7f67ee1a-ad9d-4f42-97b1-8e6e78aff58e,Media Relations,(086) 4014004,Turner@healthcare.org,['nl'],+31(0)896-714543
85e74250-92f0-48b8-a269-62278513d91e,General Inquiries,+1-438-316-8644x7592,Jones@healthcare.org,['de'],001-516-969-7284x576
11035083-fa99-4f9b-86de-3365d8a230de,Patient Services,+31605 019044,Lewis@healthcare.org,['nl'],(029) 4316756
bad3116b-63b8-4897-bdf0-fe6bce8d75f2,Administrative,337.439.0603,BaileyLucero@healthcare.org,['et'],(902)239-4918x456
01d34690-a795-4c54-8a30-f7cd00fdec23,Billing,+31(0)163 968373,WilliamsWilliams@healthcare.org,['nl'],+31919-155875
41300879-6279-4944-9c28-97c684539813,Administrative,953.904.8107x7706,ChambersFitzgerald@healthcare.org,['de'],811.813.1263x791
8397d412-7118-4b71-8707-e77b4bf0ae53,Media Relations,+1-578-544-3019x126,BishopMccormick@healthcare.org,['de'],608-586-0164x1953
95decd6e-5df2-4073-93f0-4099813dd49a,Patient Services,0262 281237,Taylor@healthcare.org,"['nl', 'en']",(0323) 659927
b4480761-505e-4c9b-8bc8-8bcf7b1d4049,Administrative,242-596-3546,Martin@healthcare.org,['et'],6532573452
f8db1a4d-584d-4c02-8ff9-d318d22a3a62,General Inquiries,+1-862-637-6254x25660,Dougherty@healthcare.org,"['de', 'en']",+1-287-409-1662
6d5b7d50-1417-44f9-b7c1-44fb2b16ad04,Patient Services,+1-219-972-9904x560,Newton@healthcare.org,"['de', 'en']",854-727-3852
675e0c52-1eb9-4739-b8ac-dd816522ff46,Patient Services,(770)804-0494x388,Duncan@healthcare.org,"['de', 'en']",231-295-3985x225
57627626-2037-4089-b11f-a10a0b2975c6,Media Relations,4744931864,Smith@healthcare.org,"['de', 'en']",629-618-8966
ec77cfc8-b38e-4adb-a93f-a902c8dec9ab,Patient Services,001-265-770-8693,Kirk@healthcare.org,['de'],923.557.0393x42619
4e98ce25-1733-4a7c-93e8-36639c14940d,Billing,2709436666,KimTodd@healthcare.org,['de'],(392)794-5067x820
abbf66c7-680a-4e2a-866b-d06fa2b4d215,Billing,(492)964-8022,Edwards@healthcare.org,"['de', 'en']",001-408-608-6259x118
e55e44b8-08a6-45b4-8321-0210a43c991d,Media Relations,001-251-337-9378x25278,Johnson@healthcare.org,['et'],350.411.6959x75685
eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9,Media Relations,+31607 599449,BuckBurke@healthcare.org,['nl'],(0620)-743615
dbc33e56-c8a1-4945-8a6d-3e0666e51767,Media Relations,0081-155170,Crawford@healthcare.org,['nl'],+31(0)840 065282
3cf9d1fe-f75a-4e6f-ab86-3694541d1a81,Media Relations,(232)867-5926x902,WilliamsAllen@healthcare.org,"['de', 'en']",001-422-400-5800x019
6862dc24-213a-4ad8-92b3-4a24667fceeb,Patient Services,001-851-566-3763,Cox@healthcare.org,['de'],+1-976-591-4485x8099
2b6b7b42-2950-4326-b644-d1839aabd22d,General Inquiries,+31762-948155,HamiltonGarcia@healthcare.org,['nl'],+31(0)578 034295
93a25c9b-6e3a-42d7-87fe-6a4e2a6f1e47,Administrative,(271)416-8822x2323,AndersonRodriguez@healthcare.org,['et'],459.845.1642x5858
9870c707-955f-4c33-8142-424925cc2478,Administrative,+1-281-239-9814x9261,HessVega@healthcare.org,['et'],957-551-7594
056b565f-439d-4d74-a7af-36d9af04ef81,Patient Services,001-826-727-9061,FranklinClark@healthcare.org,['et'],987.807.9148
241d3e27-4bf4-4e10-9c62-2f82d0813d92,Billing,(912)302-9830x068,Benton@healthcare.org,['et'],985.751.0337x4430
c6b7e7cb-be0d-44ed-b306-1611ef96a214,Patient Services,(054)-6921658,ValenciaThomas@healthcare.org,"['nl', 'en']",(035)-5645641
fae3fcee-7636-4fd9-8376-ffa876fe579f,Billing,(068) 4735801,Rodriguez@healthcare.org,"['nl', 'en']",(056)-3609061
bdb62ff3-14e1-4706-b309-a536e998952c,Patient Services,(0308)-961823,Smith@healthcare.org,['nl'],(066) 7063609
b13de531-062d-4f7a-85da-e1f31a7e256d,Administrative,+31(0)926 395368,King@healthcare.org,"['nl', 'en']",+3181 7187727
c3a31607-f565-4d00-a7a4-eb268d6e44f2,Billing,001-473-363-4772x37457,JohnsonCummings@healthcare.org,"['de', 'en']",448.910.2505
2ee66e21-53fb-4ed1-b953-4807300961c3,General Inquiries,989.796.2979x39703,BarronFleming@healthcare.org,"['et', 'en']",+1-530-300-2379
fd723837-705b-4cc2-a40c-a20c702a5b67,Patient Services,+31712-312678,Watson@healthcare.org,"['nl', 'en']",(0500) 631699
6b5a174d-3436-4eaa-83ea-038fc095e099,Media Relations,+1-954-610-3909x852,Medina@healthcare.org,['et'],597-643-6685
2449213a-c2fa-4184-a232-4672f64e8f4a,General Inquiries,7166304461,Brennan@healthcare.org,['de'],(293)688-0588x027
d733f669-852d-4585-88df-6b197c3ad037,Administrative,951.783.2363,Callahan@healthcare.org,"['de', 'en']",(645)283-3752
dd7516f5-58aa-4383-8dff-06d28340fed5,Patient Services,(0168)-861197,Jackson@healthcare.org,"['nl', 'en']",+31243-640004
39b66d71-951a-4518-87e7-7e2b6b291a13,General Inquiries,958-877-1652x803,Black@healthcare.org,"['et', 'en']",7318412270
8d3ac4b9-2fb0-4074-a532-3fd3c9f35bf8,General Inquiries,0802-362382,Howard@healthcare.org,['nl'],+31(0)38 4073062
ac91c01e-734c-4192-a557-8e91bee5f64d,Media Relations,0656-412933,Smith@healthcare.org,"['nl', 'en']",008 1737298
