identifier,contactType,phone,email,availableLanguage,fax,anchor
f5b51b93-854c-4f3a-8cdd-fb65cebd3aad,Administrative,021-9489241,FaulknerHowaard@healthcare.org,['nl'],+31578 156593,23a7711a-8133-4876-b7eb-dcd9e87a1613
aa10a973-c135-43cd-b327-f6575669563b,Administrative,339-733-2871,Garrett@healthcare.et,['et'],671.948.4185x83989,b421eaeb-5340-47ca-baf3-897a3e70f16a
600d5baf-238b-42ef-b3cd-77e4fe1687a8,General Inquiries,886-684-8339,Green@healthcare.et,['et'],275.615.9179x533,09e469e6-ec62-42c8-a648-ee38e07405eb
4874d346-6c7e-4112-8f66-45bf9f02aef4,Algemene vragen,0935 233769,Nash@healthcare.org,"['nl', 'en']",+31(0)06-9602714,14aa451c-a69c-4b85-9432-f8db6a174c1c
c61c8b59-bd55-4571-a0e6-b0dc55a47b1e,General Inquiries,(306)565-0300,LopezKey@healthcare.de,"['de', 'en']",393-244-2176,b9bdee2d-d663-449d-955e-18b1fa83ada4
983237fc-718e-465a-b868-97091331325a,Allgemeine Anfragen,(690)297-7658x236,Williams@healthcare.org,"['de', 'en']",(224)255-5159,f24dfdd8-5091-4bdc-8ef0-66d44279b14d
533e55cb-c98d-4cee-83c8-81f20c4fac9a,General Inquiries,547.779.3615x34926,Braady@healthcare.org,['et'],610-587-3176,8e751eb7-64d0-4913-991b-8adf0202861c
8af4327e-3d16-46a0-a0b2-1e906b928e3d,Billing,+1-768-275-7738x93055,Garia@healthcare.org,"['de', 'en']",524.492.6947x11801,a36bcb01-67e9-4363-905c-053b25fdacbe
e35603fd-f2c2-44a4-80fe-83252320a8c3,Administrative,+31634 896769,SantanaaShaw@healthcare.org,"['nl', 'en']",(000) 2489451,ce1bb02a-cb4d-48d6-adb6-da351734a26c
9a64f2a7-805a-41da-b6d7-3989c3b953f0,General Inquiries,+31(0)11-6116207,Chan@healthcare.org,['nl'],+31(0)60-7541511,6d0c62c3-254b-47ae-9d0a-b994f20b575d
9a1b0e7e-4676-4090-bf73-a2bed171e702,Abrechnung,001-604-450-9322x7175,Smith@healthcare.org,['de'],4353574485,1f8941b6-e6a1-440b-b031-f4b9bb6b0095
9a06e881-6fba-4c85-883d-27b782726763,haldus-,4618126486,Carter@healthcare.org,"['et', 'en']",951-537-5806x6065,99e8c828-21da-432c-9c68-d4fd0bd7696f
259bb93f-c671-4506-89e4-e31a96522f39,Algemene vragen,+31(0)714-543910,Riggs@healthcare.org,['nl'],+31448 518321,86ae9d5c-65ff-4adc-81ae-f3f700109824
83ba2656-15a6-46b9-b8d0-b811180586dc,Administrative,001-660-550-1904x4329,Mathis@healthcare.org,"['et', 'en']",467-956-2566,f305ee95-afb1-40f4-94d4-dad6ddfae808
46315254-35d0-4ceb-a2ef-a336cca96ea8,Administrative,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",091-8456708,9626d8c4-344a-4454-b0a6-1c5e707421d4
db0ee47e-a83c-4cab-9a5d-ae30d59d7f66,General Inquiries,+31(0)163 968373,WilliamsWiliams@healthcare.org,['nl'],+31919-155875,01d34690-a795-4c54-8a30-f7cd00fdec23
13e0e76e-3f24-410d-9acf-3f1e28431a27,Media Relations,001-930-948-1077x706,Daniel@healthcare.org,['et'],811.813.1263x791,df39ccaa-580c-49fc-bb69-e69041300879
79d93f7c-0537-4d2b-8993-32faf02227bc,General Inquiries,(0844)-301912,Lam@healthcare.nl,['nl'],+31(0)33-4088601,8397d412-7118-4b71-8707-e77b4bf0ae53
fdda4482-3e17-440d-b46c-7be82925b6f3,Billing,+1-862-637-6254x25660,Smith@healthcare.de,['de'],+1-287-409-1662,584d3c02-0ff9-4318-922a-3a6211091978
8dc936f9-8894-40a9-9e4f-893d4777f015,Administrative,+1-219-972-9904x560,Newton@healthcare.org,"['de', 'en']",854-727-3852,6d5b7d50-1417-44f9-b7c1-44fb2b16ad04
4bc5e5c6-fec7-43d0-a04b-0e25c7233dfe,General Inquiries,600.540.4943x8856,Azrnold@healthcare.org,['et'],795-239-8522,58ba0bf3-675e-4c52-9eb9-5739b8acdd81
59206d19-5d2c-4454-9214-054c05fc626f,Administrative,429.565.7086x93058,LeePatton@healthcare.org,['de'],+1-557-903-9342x6197,c0037457-0184-4803-9840-fccb2446ecee
5f117e30-d9bc-46d4-b666-d5a0939f59f7,Billing,(492)964-8022,LongMartinez@healthcare.et,['et'],001-408-608-6259x118,abbf66c7-680a-4e2a-866b-d06fa2b4d215
c6960121-01bd-42fe-97da-fa6230181891,Billing,001-251-337-9378x25278,Johnson@healthcare.org,"['de', 'en']",350.411.6959x75685,e55e44b8-08a6-45b4-8321-0210a43c991d
1da57a10-9077-42c2-bcba-ce49a3708be1,Mediarelaties,+31607 599449,BuckBurke@healthcare.org,"['nl', 'en']",(0620)-743615,eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9
7359e4ce-76d8-44bc-a2ae-aeacc99afba4,General Inquiries,7863408115,GibbReese@healthcare.org,['de'],402.484.0065x2822,dba45b5e-1498-465b-b9fe-0a1b7efbe877
0ab86f20-fe34-4dda-9fcb-702c86439242,Administrative,(869)551-6637,Cook@healthcare.de,['de'],(937)569-1448x5809,12b34a24-667f-4eeb-8889-832c37773772
8d40b1be-f4e2-4c67-bdc9-34f3535b4d73,Billing,416-588-2223,Austin@healthcare.et,"['et', 'en']",8826759451,76a933cf-65fd-4f69-93a2-5c9b6e3a52d7
24b5ea94-9991-4fd5-89cd-ec2ad1beb832,Billing,(612)420-9981x39981,ReedFry@healthcare.de,['de'],(910)501-5751x7594,fef06b04-68fc-442a-b6f2-59264e60678b
214fc5d7-4032-46d4-921d-4a3fc9dff1c7,Allgemeine Anfragen,(227)990-6196x5387,Guerrero@healthcare.org,"['de', 'en']",+1-714-487-8674x238,eb6ec9e0-225f-4457-9662-5aa1056b565f
