identifier,institution,department,jobTitle,email,anchor
0c8623d7-94fd-41bd-8d3c-23f178a09008,6369cde2-30ae-4c9e-9921-52e3b87af741,833cf90f-f555-4628-9d15-3fb4968051b7,Obstetric Nurse,shwangreen@healthcare.org,b84d119e-02e2-4aa7-9edf-4ce81c4dbb4a
d8bac323-5041-46af-bec5-b36d3c9c5b85,6369cde2-30ae-4c9e-9921-52e3b87af741,833cf90f-f555-4628-9d15-3fb4968051b7,Midwife,tjaylorrios@healthcare.org,1fe92146-b4c9-4305-88fe-5048c15b88b2
48792556-3f2c-44b9-a703-acd987b7dc25,6369cde2-30ae-4c9e-9921-52e3b87af741,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Podiatrist,alxandriajones@healthcare.org,03ee36c3-2b3f-419f-bba9-fbb0d8c6827b
c0b8a61b-025c-429d-969f-cc3122282c82,6369cde2-30ae-4c9e-9921-52e3b87af741,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,josohuabarnett@healthcare.org,9218df37-2e0f-474a-8025-f85dd8faf66c
bb4bacd6-7173-4fe8-a389-bb2b7a580949,6369cde2-30ae-4c9e-9921-52e3b87af741,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,sheiljohnson@healthcare.org,119aa71b-f6bf-47b5-9f46-fe0222087f22
27f51651-323c-4d3e-babf-22b0207d273b,6369cde2-30ae-4c9e-9921-52e3b87af741,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,jorddanlopez@healthcare.org,b878690b-cde0-4275-9b89-04b3ad44c92c
fd2e3ae9-84d9-409d-8277-e7b9706ce815,6369cde2-30ae-4c9e-9921-52e3b87af741,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Medical Assistant,chasesnyedr@healthcare.org,268a694e-bd40-4db2-a091-0f2597af2762
b7870b66-c7ca-4e66-803a-22f141ded4d2,6369cde2-30ae-4c9e-9921-52e3b87af741,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Primary Care Nurse,ronniegibson@healthcare.org,2d4e1ddc-b640-4705-abd2-ab3df5179bf6
763dc0fa-3164-4eba-a1f4-b714d05f6934,6369cde2-30ae-4c9e-9921-52e3b87af741,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,linfdacain@healthcare.org,17965755-16f2-4c25-b3e3-d5b2edd655b2
1a014a93-556b-4011-b193-c2f6995eb27c,6369cde2-30ae-4c9e-9921-52e3b87af741,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,robinjuohnson@healthcare.org,f0f9ba5c-f1fb-4e30-8106-c3fdd1ebc473
