original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
70bef8fb-6598-42bf-8a18-bafe2df4a748,3640c91e-849f-44fb-afe9-fc49cb0c506c,Address,country_expansion,country,NL,Netherlands
ca5aa58d-2dd7-4003-9aa3-cdad289cd17d,1f528ea6-aef3-4c17-a6d7-73bf426b8fc6,Address,city_typo,city,Punthorst,Pnuthorst
51cd2c07-a8f7-4b61-b9d2-b2de92bba701,e363e355-bc92-491e-b746-39b8be5e88dc,Address,postal_format,postalCode,59270,59270 
e38690e7-e27a-48e9-91c3-d1bcc6be6432,3640c91e-849f-44fb-afe9-fc49cb0c506c,Address,country_expansion,country,NL,Netherlands
a54643b7-71b1-4f59-b268-495d0f2cd3b3,031f2e78-2603-4ce5-800e-2f73a3d38f38,Address,city_typo,city,Pietersbierum,Pietersbeirum
c3d2e249-a0b3-430f-8a23-12e869c458e7,3b1a4c3a-e246-4c6c-a4d5-457ad0a5e4bf,Address,house_number_suffix,text,Levi-Schweiger-Weg 114,Levi-Schweiger-Weg 114B
15038b35-a28e-49e8-abb9-ac7bf62efe5e,c2dcf065-40e4-411d-be51-e399a3155502,Address,postal_format,postalCode,7551 DV,7551DV
c0fef09a-cd63-497e-994d-ecd0a83baf04,3f501491-be00-441b-b95e-fdb7fdcb7de0,Address,house_number_suffix,text,Isabella-Trinkl-Platz 135,Isabella-Trinkl-Platz 135A
83448662-04a4-411a-80e1-a7683cd17950,1f063e03-0cc0-4262-a0bb-1b01310b6f19,Address,postal_format,postalCode,8196 WK,8196WK
5cec4a02-53fd-4a5f-997e-2f9b5f67b370,2dc2185f-3ca9-45c0-bd0e-8c0194621f2b,Address,house_number_suffix,text,Tiffany-Wimmer-Weg 50,Tiffany-Wimmer-Weg 50C
a5acf1da-2eee-4c46-b558-1ebb398a0e87,ca21dc99-61ba-454d-88e7-f310655de493,Address,city_typo,city,Jevgenifort,Jevgeifort
