original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
70bef8fb-6598-42bf-8a18-bafe2df4a748,3b98d3b5-7612-4eb8-b5fa-e0eef41c8800,Address,country_expansion,country,NL,Netherlands
ca5aa58d-2dd7-4003-9aa3-cdad289cd17d,3ed9b6fd-c773-4bd1-aaca-9351f87d6ac0,Address,city_typo,city,Punthorst,Pnuthorst
51cd2c07-a8f7-4b61-b9d2-b2de92bba701,916aee9b-71aa-4141-aa78-69662db4a5a7,Address,postal_format,postalCode,59270,59270 
e38690e7-e27a-48e9-91c3-d1bcc6be6432,f43a8e60-7843-443d-ba22-ca0668d623d5,Address,country_expansion,country,NL,Netherlands
a54643b7-71b1-4f59-b268-495d0f2cd3b3,fcc11e12-4a20-41bc-a1eb-fcce3a3ffeb0,Address,city_typo,city,Pietersbierum,Pietersbeirum
c3d2e249-a0b3-430f-8a23-12e869c458e7,50a1b6b7-c8f1-40f2-8c0b-bd8f56215977,Address,house_number_suffix,text,Levi-Schweiger-Weg 114,Levi-Schweiger-Weg 114B
15038b35-a28e-49e8-abb9-ac7bf62efe5e,d9603f82-630c-47a8-8e36-7a4a453cd26c,Address,postal_format,postalCode,7551 DV,7551DV
c0fef09a-cd63-497e-994d-ecd0a83baf04,ba871611-6d7f-452f-bf2b-a3cc15a18173,Address,house_number_suffix,text,Isabella-Trinkl-Platz 135,Isabella-Trinkl-Platz 135A
83448662-04a4-411a-80e1-a7683cd17950,528591ed-c6ea-45ab-b74b-76bb3bbfa261,Address,postal_format,postalCode,8196 WK,8196WK
5cec4a02-53fd-4a5f-997e-2f9b5f67b370,080b820c-bda9-4f85-a854-e57bf8497c43,Address,house_number_suffix,text,Tiffany-Wimmer-Weg 50,Tiffany-Wimmer-Weg 50C
a5acf1da-2eee-4c46-b558-1ebb398a0e87,2d3ee5f4-267c-439a-952d-24b3bb8d0f71,Address,city_typo,city,Jevgenifort,Jevgeifort
59eba97d-3e95-4ee8-b8e5-d3fe9826688f,6c49fddf-615f-4a10-b5da-ce339545ff79,Address,postal_format,postalCode,3707,3707 
94d06004-4290-41ce-a0c6-c23534edf9c1,51df3a88-31db-453f-9cc9-3034c714180a,Address,city_typo,city,Bad Leonfelden,Ba dLeonfelden
6b1190ef-e8cf-4812-ac57-53187ba55437,1be62aa5-8ce4-42ab-9882-bbf607c61abe,Address,city_typo,city,Kristiinaburgh,Kristiinabugrh
6c910628-26c2-4bba-bdd2-071a8a0492d9,1d442c84-af8d-4685-b2a1-c9166a31bf68,Address,house_number_suffix,text,Reet Club 38,Reet Club 38C
c468c138-1871-4c59-be6c-482de83bf4c8,a8c889be-8063-4ed1-a2cb-4b5c0eb02c9f,Address,postal_format,postalCode,9968,9968 
8e5f37fa-68f4-4b51-b3fa-861390ed41f4,9ae3ba8c-1d38-4651-8ce0-ea2b42b118c9,Address,country_expansion,country,AT,Austria
e90a2364-3a03-473e-bb9b-df46f5930c38,3d1f4710-963b-44c5-bb30-c643eaaf0cf0,Address,country_expansion,country,AT,Austria
04496aef-90a2-4b0e-a7ef-99565684a380,65dc3f38-0553-4b45-a28a-4173190c8563,Address,city_typo,city,MÃ¤gichester,MÃ¤gihcester
