identifier,institution,department,jobTitle,email,anchor
e3979274-f72e-42df-bafd-df45a0171eae,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Obstetric Nurse,shawngreen@healthcare.org,b84d119e-02e2-4aa7-9edf-4ce81c4dbb4a
e40b61fc-0bba-45f1-9716-03e7a9fd7a71,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Midwife,taylorrios@healthcare.org,1fe92146-b4c9-4305-88fe-5048c15b88b2
c39fc866-0996-445e-bec6-8eaa612365e5,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Podiatrist,alexandriajones@healthcare.org,03ee36c3-2b3f-419f-bba9-fbb0d8c6827b
e665970b-cf08-40f5-8ca0-268c58ebad8c,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Foot Care Nurse,joshuabarnett@healthcare.org,9218df37-2e0f-474a-8025-f85dd8faf66c
f306626d-6412-46a5-b9da-10a286580623,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Poison Control Specialist,sheilajohnson@healthcare.org,119aa71b-f6bf-47b5-9f46-fe0222087f22
65f2db02-a2bc-4499-96f0-14c1aa101ce6,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Poison Control Specialist,jordanlopez@healthcare.org,b878690b-cde0-4275-9b89-04b3ad44c92c
1572a326-38f1-47db-83b8-112e1b1e1102,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Medical Assistant,chasesnyder@healthcare.org,268a694e-bd40-4db2-a091-0f2597af2762
7f0befd7-9e01-4489-a278-b892c1c7ea2b,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Primary Care Nurse,ronniegibson@healthcare.org,2d4e1ddc-b640-4705-abd2-ab3df5179bf6
92072ae1-bd38-43f3-9f3a-c67e605cc215,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Arthritis Specialist,lindacain@healthcare.org,17965755-16f2-4c25-b3e3-d5b2edd655b2
98d41493-2b8e-455e-940a-834a982160cb,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Arthritis Specialist,robinjohnson@healthcare.org,f0f9ba5c-f1fb-4e30-8106-c3fdd1ebc473
8c6fd15a-f922-4a16-b16c-49c9ca85b194,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Communication Disorders Specialist,karenjackson@healthcare.org,04a5b104-36fb-4c42-95f9-1f5052a2703d
0922850c-3a65-41c9-8b51-3200db8a7ec5,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Speech Pathologist,msallisonknightdvm@healthcare.org,3708940a-35fd-4999-a684-4c60d6bcfb6b
78351555-ace9-4301-898f-fa8d79a32e9d,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Rheumatologist,jamiegriffith@healthcare.org,efc32591-eec7-4728-8d19-4f9ff4cd2c8e
946ceba1-4a33-4be7-a25b-6a7046da688c,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Speech Pathologist,timothyfrenchphd@healthcare.org,86d88dfa-8644-47d4-9f93-023b2b0d0b28
29b93f1a-6910-4810-aaf8-26f87f7a8a72,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Speech Therapist,sandrasandoval@healthcare.org,6173fade-5928-4966-99c2-f9c5b8e87ae6
b7a05d44-649f-408e-a764-439696a58b82,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Foot Care Nurse,davidharrison@healthcare.org,881fe7d2-4929-4064-a3b6-303298816488
7834736f-6445-42d7-a94b-167d8b740f63,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Doula,stephenmiller@healthcare.org,f725b007-e192-499f-8d89-17df03e645b9
06ae6843-1c84-4a09-a34a-6f102cdd369e,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Arthritis Specialist,lorettatorres@healthcare.org,b10a02f0-3c9f-45f6-9a1a-dca196622773
0f076dab-4abc-4dbc-8606-8694b32ad597,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Foot Care Nurse,austinwade@healthcare.org,d1cfcb3f-4b37-4149-8426-cd16f72f18bf
3b4156f0-1df7-4c8c-a97e-90cd61e86912,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Obstetric Nurse,ashleytyler@healthcare.org,b3aae80a-8215-4c65-af96-4166e821351b
6cd345c7-2a8b-442a-93f4-45df7ecc5d15,10151d9f-c1f1-4f31-96c0-c74f78368fb5,,Poison Control Specialist,catherineramirez@healthcare.org,986b3c74-64f1-4da1-9533-df0d54b45872
