identifier,text,city,postalCode,country,anchor
409a71dc-7808-4048-aa4f-1d1088fc5e79,Lukassteeg 84,Oud Zuilen,,NL,c8a70639-eb11-47b3-a7a9-c3787c65c1e5
271727b6-91fc-4a38-b1f9-8f5b0d2b27f2,Anne Stravenue 82,Andreiside,,EE,d3290a4c-b5d3-4b16-a619-4cb1d71037d1
8876d039-8f1b-4334-906f-39a4c465ac57,Kaasik Field 107,Reetbury,,EE,9cdeb3e6-0870-415c-afcd-81b5d24bace4
8830c5ae-e4f1-49fc-8b3a-12e0be6e36c2,Pimstraat 126,Lengel,,NL,971c702d-5bf4-4c04-ac64-2b4c49b25ded
069d97d1-b527-4a59-ac94-abddbc48e2a2,Cornelius-Mitterer-Ring 83,Sankt Valentin,,AT,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a
b7a71b42-b1b6-4b18-810b-a18ab2a3b789,Stefanie-Suppan-Ring 31,Hainburg an der Donau,,AT,4745dd9e-2789-4389-9f32-77fd1d77ce40
4bfb3f76-a055-4ecc-b922-0bd8fb9f5f2f,Sutt Route 145,Lake Raivo,,EE,15ace7a1-ceca-4ee3-90da-8a9516408169
d1cd4b5d-03e0-4a0d-8d0d-a405b8b8244b,Justin-Gross-Straße 126,Ternitz,,AT,d3b564b0-8be0-4c3e-9c94-938160c6b3ed
5e762dd5-0e45-4f18-bf87-cf930003c648,Noorweg 85,Sint Jansklooster,,NL,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20
5a557479-65d5-4584-8269-704351696bea,Kyanboulevard 125,Vorden,,NL,e38690e7-e27a-48e9-91c3-d1bcc6be6432
6a123eab-b713-4365-abcf-260479533414,Vito-Tanzer-Ring 46,Frohnleiten,,AT,24aeba79-e4b8-4987-98ba-0f0e120d7126
3ea7b142-18a8-4030-8195-6ec30ee50e4b,Jekaterina Island 140,South Elena,,EE,c13e66af-3c95-40d3-be2a-ad3e82221345
a53bb278-4070-4335-8689-cb23ffa7fda5,Lindseyhof 123,Stiens,,NL,47b3df41-67c2-4355-8312-1af68b32992a
3bbe3c7e-5056-4c53-9241-93c6e3a28595,Sergey Forge 83,Elenafort,,EE,641659c0-78b6-4daf-9afb-9565068a3c38
1212ae1c-5ff6-46bb-a72c-9b398138ed35,Timpad 65,Meterik,,NL,6d62e40c-638d-421a-bbc5-9e92ca1209ad
8b918533-270d-4de3-9174-e83cda19b01d,Zakarialaan 46,Wetsens,,NL,56525ce0-3725-4d0c-b9c4-5c38b440ffe0
2321ae68-d5ab-4751-8928-b0caedb3e642,Olga Key 51,West Anna,,EE,4053b188-339d-48f5-9658-b1b33012ae1c
b8f812bd-37f0-4bf1-a297-e580570b32f2,Sophiepad 68,Tonden,,NL,1b770deb-6f51-4a78-bea2-a33a51d11bcd
94383dbd-78df-4577-adc6-1e664e0afcc2,Jessica-Bachmann-Straße 83,Zwettl,,AT,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2
177a3dc6-f791-437a-9d5f-fcfe58e68175,Haslauerplatz 84,Bregenz,,AT,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8
9b059fc9-9772-4851-8268-3167c922bd4a,Nikiforov Mountains 28,Aderport,,EE,88239867-c5dd-467b-88f1-100bfa3222c4
b6b9b3de-0eb2-462c-adf2-20214447b5db,Helmstr. 61,Ybbs an der Donau,,AT,fd768f63-5163-4e1d-8df7-a26786fadb0e
cf29ebb0-445d-4e96-8ee2-cef980d85f13,Laura Ville 32,Lake Peeterfort,,EE,067fece7-f1ff-46dc-b45a-a79bd855fb35
f6b4ec70-df12-44ac-bdf3-bb9a9be203b7,Zettlplatz 114,Hainfeld,,AT,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a
04468db3-a297-457e-aa76-7b81b3056b5f,Bilalring 122,Echteld,,NL,4fae667b-b2e7-4e77-8fe1-cedfa5387901
9c327e99-7a50-4956-81e3-8504a69fd6a6,Reichmannweg 137,Frohnleiten,,AT,52a33c33-037e-4725-a5a1-bdaea747795e
2fd870b3-be24-443e-b50d-94d64a3782c6,Steinkellnergasse 54,Waidhofen an der Ybbs,,AT,e9e7e1ba-916b-41ee-afae-feda6b325d48
072cf0b5-9a0e-47e7-83c9-084a77aed179,Laas Stream 41,Annuschester,,EE,21d4fb7e-2258-4c89-98cc-f9b4354af1bd
e9a0cd2d-52ef-4fae-ae1a-0133412f7de2,Lara-Schön-Weg 67,Rottenmann,,AT,ea31e67a-e168-4205-bc0a-94de4e245cf7
f111838d-2e74-4433-92dd-73bb0401106d,Benjamin-Tischler-Platz 73,Radenthein,,AT,68adc28f-8463-416a-be65-6befe0efc989
22a48ede-0a19-492e-bb13-b7caee1bef76,Franz-Marx-Straße 1,Oberndorf bei Salzburg,,AT,8e5f37fa-68f4-4b51-b3fa-861390ed41f4
a77e4742-1f9c-4ecb-b7ee-c2d32d610d61,Mikastraat 133,Venhorst,,NL,5e146c30-bd2c-4b8d-b9eb-fa326c1b6811
2c5a36e4-a693-48ca-a1b6-13c23a29f33b,Alexander-Kopf-Weg 18,Grieskirchen,,AT,d24e3104-1dd2-4234-a131-24bd01275a63
99efbff4-587d-49ad-9bd3-ff1b67bd82fe,Marek Fords 19,New Viktoria,,EE,51cd2c07-a8f7-4b61-b9d2-b2de92bba701
f02027ce-3766-4f93-b4bf-cfe8336ff1be,Aino Cape 70,Vainmouth,,EE,7176d181-3e2b-4653-a258-edf30ff0952a
1c3678a6-0dad-494a-bea3-c3c4817b25bd,Britthof 19,Renesse,,NL,fefd320b-f5ef-4a99-810f-5ddfa2251838
c92f9903-acce-49b6-a2ea-d8ece9bdf589,Felixstraat 76,Oldenzijl,,NL,d6a2c379-e0c6-48a7-8748-f7ea72789d75
17f74ca2-ba36-482f-9060-2aae995bb3c1,Gerritring 67,Egmond-Binnen,,NL,45a16970-a11b-46b0-8823-6adf3f7512c5
70e7e04b-a440-4988-bd22-95ef3bf526eb,Annemijnboulevard 149,Bovenkarspel,,NL,20d5c16e-9611-49cf-bfbd-fd47dc7972f0
fb99a978-8a48-4323-9035-046e96b7a1b6,Mikepad 33,'s-Graveland,,NL,039d60ba-9c99-4735-95a6-52a708fce7af
86b7b800-21da-4d03-8152-d67f5809e926,Daniweg 69,Angeren,,NL,8c3fa29f-fa4b-4bc6-9121-f31f5028361f
1cd1d2c1-8cea-4d94-9c55-9260c97178b8,Anna Inlet 146,Langtown,,EE,e775f27e-2ec0-42f0-9310-0ac51932263c
451b04c5-ef98-46f6-8dc6-076f49f9d49e,Viktor Points 24,Viksburgh,,EE,94d7f681-d551-4e14-a18d-99ce20fa5cd3
1f6fedb0-fd7e-4765-ae14-f03294e33894,Riina Gardens 123,Tõnuland,,EE,0b9bcb7e-dba6-40f1-b5bb-cdb0bda31488
4a7ea04c-e515-4b3f-a2ff-50643f861ea0,Oras Locks 130,Maiefurt,,EE,4c43745b-8063-4ef2-a534-28bbb20ed719
b2527550-8735-4e70-ae98-150626254bc1,Tarmo Lake 92,East Sergey,,EE,024e8609-4486-4d26-8fd0-92769c017e5d
ea2544af-9b81-4951-9317-5be2d791077b,Ossipov Road 24,Põderberg,,EE,3a0879fb-dc78-43b3-a919-b5aaf0c99bea
7598c92b-00b6-4689-9fd5-028dfaa510ab,Rein Trail 98,Sillasteberg,,EE,bf2b6442-2f9f-4bf9-96b6-b5d01c87284d
980397b3-78f2-4413-9e42-bc9e6eab5999,Priit Street 91,North Romanfurt,,EE,679bcce2-681d-40de-8c15-514db40eb501
f72ff786-a288-40e9-a64c-309e8b7ab8cf,Anu Isle 106,Port Viktor,,EE,52c51809-d20e-4b0e-bd87-44d801a50ef1
e3993436-8610-44ac-8107-e1561f18b52c,Nõmme Hollow 68,Lake Andreshaven,,EE,de8e3228-aa64-4f16-b035-50885a2bf7fe
c6a79e7d-82c1-4775-9303-3e2b4181e568,Matvejev Orchard 138,Indrekmouth,,EE,f26ce972-e1da-4dd8-aa09-7bb2c187715f
7367347a-6420-4a1b-bbcc-d2394bad6096,Pavel Radial 80,East Juri,,EE,5f3fa533-e28c-4c3c-ad82-5ea8dda9a02a
e9c89b14-5711-4c91-b617-60bff824b150,Priit Mount 91,North Irinaborough,,EE,49ab05a8-8060-44aa-8037-fffa14b8317e
