identifier,contactType,phone,email,availableLanguage,fax,anchor
993b706a-8b9f-4486-9a9d-fe60ac896f98,Administrative,021-9489241,FaulknerHoward@healthcare.org,['nl'],,23a7711a-8133-4876-b7eb-dcd9e87a1613
bab0722b-4bd4-47e3-b67e-d962f64ce0a5,Administrative,339-733-2871,Garrett@healthcare.org,['et'],,b421eaeb-5340-47ca-baf3-897a3e70f16a
ea4031d1-cacd-41bf-b976-acb3276b0b25,General Inquiries,886-684-8339,Green@healthcare.org,['et'],,09e469e6-ec62-42c8-a648-ee38e07405eb
a87dccfb-a2b4-4729-a285-db1340b15c03,General Inquiries,0935 233769,Nash@healthcare.org,"['nl', 'en']",,14aa451c-a69c-4b85-9432-f8db6a174c1c
dd817395-f4a7-4de7-8f9a-d3839a9a2905,General Inquiries,(306)565-0300,LopezKey@healthcare.org,"['de', 'en']",,b9bdee2d-d663-449d-955e-18b1fa83ada4
68ff9fc7-317f-4454-a4e5-053d228ae11a,General Inquiries,(690)297-7658x236,Williams@healthcare.org,"['de', 'en']",,f24dfdd8-5091-4bdc-8ef0-66d44279b14d
f80eb2da-ae4b-468d-9aa8-59f4710301ab,General Inquiries,547.779.3615x34926,Brady@healthcare.org,['et'],,8e751eb7-64d0-4913-991b-8adf0202861c
d0900e1a-6499-4e88-9d13-63a83e3f24c8,Billing,+1-768-275-7738x93055,Garcia@healthcare.org,"['de', 'en']",,a36bcb01-67e9-4363-905c-053b25fdacbe
e5a197ab-27e6-4c12-aeb4-bee6cf1d86e6,Administrative,+31634 896769,SantanaShaw@healthcare.org,"['nl', 'en']",,ce1bb02a-cb4d-48d6-adb6-da351734a26c
2996b437-38bc-4ea4-8ad6-5df7def002e6,General Inquiries,+31(0)11-6116207,Chan@healthcare.org,['nl'],,6d0c62c3-254b-47ae-9d0a-b994f20b575d
b8c0b7d5-1d64-4b81-b87c-c891565a35c6,Billing,001-604-450-9322x7175,Smith@healthcare.org,['de'],,1f8941b6-e6a1-440b-b031-f4b9bb6b0095
8868c3ed-dfcf-47a0-acf4-45cc46309be5,Administrative,4618126486,Carter@healthcare.org,"['et', 'en']",,99e8c828-21da-432c-9c68-d4fd0bd7696f
ded12c7a-b079-4d86-90f2-c718e38ca74c,General Inquiries,+31(0)714-543910,Riggs@healthcare.org,['nl'],,86ae9d5c-65ff-4adc-81ae-f3f700109824
7479c544-ae1a-4c33-b37c-19a6bcf5c6bd,Administrative,001-660-550-1904x4329,Mathis@healthcare.org,"['et', 'en']",,f305ee95-afb1-40f4-94d4-dad6ddfae808
a1a36501-69a7-47c8-9dea-b2462892040c,Administrative,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",,9626d8c4-344a-4454-b0a6-1c5e707421d4
3ab901d0-1d7a-4c47-9447-1e1c7bf78127,General Inquiries,+31(0)163 968373,WilliamsWilliams@healthcare.org,['nl'],,01d34690-a795-4c54-8a30-f7cd00fdec23
a44c7e76-0733-48a3-a6ad-730cbfa9db21,Media Relations,001-930-948-1077x706,Daniel@healthcare.org,['et'],,df39ccaa-580c-49fc-bb69-e69041300879
cdb9010c-ca5e-4c53-9833-df8a89de930d,General Inquiries,(0844)-301912,Lam@healthcare.org,['nl'],,8397d412-7118-4b71-8707-e77b4bf0ae53
5a38d74e-1700-4957-91f9-0f8e2ca51486,Billing,+1-862-637-6254x25660,Smith@healthcare.org,['de'],,584d3c02-0ff9-4318-922a-3a6211091978
ca316060-3e40-4b47-a0ee-768e69e9a124,Administrative,+1-219-972-9904x560,Newton@healthcare.org,"['de', 'en']",,6d5b7d50-1417-44f9-b7c1-44fb2b16ad04
a6cd2b96-fe21-4af0-96ed-79b11aa732ce,General Inquiries,600.540.4943x8856,Arnold@healthcare.org,['et'],,58ba0bf3-675e-4c52-9eb9-5739b8acdd81
1324d746-4b0d-4bc0-b3b7-47e2a6f3d8d6,Administrative,429.565.7086x93058,LeePatton@healthcare.org,['de'],,c0037457-0184-4803-9840-fccb2446ecee
aa67e4d6-ba1a-493d-96b2-378fccbd5d67,Billing,(492)964-8022,LongMartinez@healthcare.org,['et'],,abbf66c7-680a-4e2a-866b-d06fa2b4d215
9bfb6851-9e18-4b45-8259-75d478d77fcd,Billing,001-251-337-9378x25278,Johnson@healthcare.org,"['de', 'en']",,e55e44b8-08a6-45b4-8321-0210a43c991d
acd2480c-7b29-460a-9288-b364df81c4cd,Media Relations,+31607 599449,BuckBurke@healthcare.org,"['nl', 'en']",,eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9
9744b182-5f63-4d8c-b500-64a39cf8a298,General Inquiries,7863408115,GibbsReese@healthcare.org,['de'],,dba45b5e-1498-465b-b9fe-0a1b7efbe877
d2c1bb9d-8fd5-4576-9e2e-ed5fb2f2c995,Administrative,(869)551-6637,Cook@healthcare.org,['de'],,12b34a24-667f-4eeb-8889-832c37773772
dd9ef160-c1d6-4e28-a394-5e49ca2d3481,Billing,416-588-2223,Austin@healthcare.org,"['et', 'en']",,76a933cf-65fd-4f69-93a2-5c9b6e3a52d7
f0222687-ea7c-4b7b-85a5-65e3abb3b998,Billing,(612)420-9981x39981,ReedFry@healthcare.org,['de'],,fef06b04-68fc-442a-b6f2-59264e60678b
35b22041-9e2d-47b4-b4aa-7848c8b62389,General Inquiries,(227)990-6196x5387,Guerrero@healthcare.org,"['de', 'en']",,eb6ec9e0-225f-4457-9662-5aa1056b565f
e5e42375-e6e9-4e3f-a1da-03ee748f7ad0,Administrative,820-929-8300,Baker@healthcare.org,"['de', 'en']",,5c05c1f3-241d-4e27-8bf4-1e101c622f82
c9bc8032-ee7d-4c37-8d53-3b07d1515e29,Billing,(054)-6921658,ValenciaThomas@healthcare.org,['nl'],,c6b7e7cb-be0d-44ed-b306-1611ef96a214
df1da4d8-7d65-4c97-b2aa-eadd18a1f214,Patient Services,+1-561-882-3366x706,Obrien@healthcare.org,"['de', 'en']",,852d2ee5-0061-4d30-9907-3286329cd43a
45f7335f-42a1-4869-b27c-032a36b504eb,Administrative,318.777.2785x2646,Fisher@healthcare.org,"['et', 'en']",,e93b4418-b170-41ed-9b04-0be38f41d3e4
eeb646ea-333f-402a-ac11-7af56e3873df,Billing,+1-945-373-2585x7675,Bishop@healthcare.org,['et'],,a54e6c8f-ecb3-477a-acef-5e55840658d1
934d2c9a-f5a6-47f9-9af4-a3fedf0c3885,Appointments,(046)-8811970,FaulknerHoward.Midwifery@dept.healthcare.org,"['nl', 'en']",,a49999cf-87e5-4bbc-a2e9-e671ab341860
b10fb3ce-8162-435e-8efa-c956dd886225,Appointments,+31394-102599,FaulknerHoward.Podiatric@dept.healthcare.org,['nl'],,6251d74d-61f9-4408-b833-0558fb2323e7
4ae04907-4dca-49fb-992e-6d4c528e6cc3,Emergency,059-3880588,FaulknerHoward.Toxicologic@dept.healthcare.org,"['nl', 'en']",,5804a881-1d8c-4a3b-a261-479043a061c4
daa95fab-9f93-4964-95d5-502635663dcb,Staff,(051) 8323639,FaulknerHoward.Primary@dept.healthcare.org,['nl'],,d733f669-852d-4585-88df-6b197c3ad037
48006faa-9ebb-4ec2-b13c-2f3a5943c7f3,Emergency,0388-571688,FaulknerHoward.Rheumatologic@dept.healthcare.org,['nl'],,2a9e9a38-1d5a-474c-8da8-40fd4adb0798
1854ce84-50ff-456f-99c7-5feefd96cd94,Information,(082) 4906649,FaulknerHoward.Speech@dept.healthcare.org,"['nl', 'en']",,0c661a49-4995-4cf1-baaf-500ca74b3d20
cb93c6ef-d901-42c6-a2ab-718602b40d9a,Emergency,001-458-761-8374x46670,Garrett.Laboratory@dept.healthcare.org,"['et', 'en']",,03e3c25b-700b-4433-b5d6-147620f12d46
d9ba071f-9df1-4d04-8cc8-80679bac8e64,Referrals,940.373.0626x86368,Garrett.Gynecologic@dept.healthcare.org,['et'],,3f79dd31-beb7-48d6-ab02-1118ae63ad3a
d770a3d2-a246-49cd-afbf-5bdbffc1e627,Emergency,473-772-9840,Garrett.Anesthesia@dept.healthcare.org,"['et', 'en']",,82e2f424-0dbc-4d25-9aac-e3a3c2f89ef4
ef6890af-f1f2-4432-a9ca-02ddffe4310c,Referrals,936.734.8282,Garrett.Podiatric@dept.healthcare.org,"['et', 'en']",,9090d244-c1d4-4db0-909b-f39cacb1691c
cc128921-c172-48ea-a55c-e79e5cb20722,Appointments,3928436755,Garrett.Otolaryngologic@dept.healthcare.org,"['et', 'en']",,0438b3d4-a81b-4fe3-bda4-8455acac00dc
2f05899a-98d0-4725-9d11-6199bf9f6732,Appointments,+1-402-781-6459x305,Green.Diet@dept.healthcare.org,['et'],,6fa68010-0ddd-49b7-80b4-25aae7eb533c
bea05a93-4173-4b8d-bb65-d16052803344,Appointments,001-216-444-1588x1009,Green.Rheumatologic@dept.healthcare.org,['et'],,afbae6c3-4b51-4edb-bb76-8615f6b1465d
05a08ca5-1076-458e-94c8-cc3fd29c6669,Appointments,+1-407-382-8239,Green.Genetic@dept.healthcare.org,"['et', 'en']",,d5562dab-f4a9-44e3-ba4f-4535e45d8903
1456d8de-2190-4dcf-89db-64c04756bbab,Information,001-711-953-4757x78811,Green.Pulmonary@dept.healthcare.org,['et'],,940f737e-548c-4ec4-a536-5ca8d66a45e9
154e9d5d-b325-400d-a82b-8ba852fa6df0,Staff,397-985-3806x55803,Green.Public@dept.healthcare.org,"['et', 'en']",,976ae5fb-66f1-40a0-ba1a-262bba13834f
