identifier,institution,department,jobTitle,email,anchor
1fb92089-4882-4774-8f12-6628d4238d40,2bb6000a-1c64-4bf0-9960-43fca5fc733d,833cf90f-f555-4628-9d15-3fb4968051b7,Obstetric Nurse,,b84d119e-02e2-4aa7-9edf-4ce81c4dbb4a
0f9f9f92-6ed8-4376-8f6a-152b01c24459,2bb6000a-1c64-4bf0-9960-43fca5fc733d,833cf90f-f555-4628-9d15-3fb4968051b7,Midwife,,1fe92146-b4c9-4305-88fe-5048c15b88b2
4205d9b2-7194-4d80-9481-0a2fc1ca6d27,2bb6000a-1c64-4bf0-9960-43fca5fc733d,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Podiatrist,,03ee36c3-2b3f-419f-bba9-fbb0d8c6827b
e1b0ec86-a284-45d4-b685-956023fb8279,2bb6000a-1c64-4bf0-9960-43fca5fc733d,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,,9218df37-2e0f-474a-8025-f85dd8faf66c
cbb0bed7-9d1f-493b-bc8f-193938ac45e7,2bb6000a-1c64-4bf0-9960-43fca5fc733d,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,,119aa71b-f6bf-47b5-9f46-fe0222087f22
6c282cff-1471-4d90-902e-4ba2ec0258b0,2bb6000a-1c64-4bf0-9960-43fca5fc733d,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,,b878690b-cde0-4275-9b89-04b3ad44c92c
4ec2aff2-ad6c-436d-9304-c28f862aa9f6,2bb6000a-1c64-4bf0-9960-43fca5fc733d,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Medical Assistant,,268a694e-bd40-4db2-a091-0f2597af2762
42229532-d5b3-4406-88ae-767a0bfda39c,2bb6000a-1c64-4bf0-9960-43fca5fc733d,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Primary Care Nurse,,2d4e1ddc-b640-4705-abd2-ab3df5179bf6
85465fbc-8c5f-43ae-80ea-0a55f9363a88,2bb6000a-1c64-4bf0-9960-43fca5fc733d,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,,17965755-16f2-4c25-b3e3-d5b2edd655b2
bd649b4a-a1f2-4381-b275-a5e619cfc11c,2bb6000a-1c64-4bf0-9960-43fca5fc733d,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,,f0f9ba5c-f1fb-4e30-8106-c3fdd1ebc473
a33f1256-5ab7-4639-a322-b707622a83ad,2bb6000a-1c64-4bf0-9960-43fca5fc733d,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Communication Disorders Specialist,,04a5b104-36fb-4c42-95f9-1f5052a2703d
a60fb86d-68a2-4611-895f-5e0765d691f7,2bb6000a-1c64-4bf0-9960-43fca5fc733d,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Pathologist,,3708940a-35fd-4999-a684-4c60d6bcfb6b
99ad5db4-5f5f-48dd-8fcc-ccf31f040765,2bb6000a-1c64-4bf0-9960-43fca5fc733d,080638c9-4967-49fb-b2e0-2961ac73189c,Rheumatologist,,efc32591-eec7-4728-8d19-4f9ff4cd2c8e
fae514e1-9d10-4cbb-9f7f-6b438ee35cff,2bb6000a-1c64-4bf0-9960-43fca5fc733d,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Pathologist,,86d88dfa-8644-47d4-9f93-023b2b0d0b28
9cdf538c-0343-463c-9eeb-ff2b3efbeea2,2bb6000a-1c64-4bf0-9960-43fca5fc733d,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Therapist,,6173fade-5928-4966-99c2-f9c5b8e87ae6
5d7b8c4d-3148-47e7-bf82-8ebbaac1b327,2bb6000a-1c64-4bf0-9960-43fca5fc733d,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,,881fe7d2-4929-4064-a3b6-303298816488
29798316-cea6-484a-85f8-bd336c982d42,2bb6000a-1c64-4bf0-9960-43fca5fc733d,833cf90f-f555-4628-9d15-3fb4968051b7,Doula,,f725b007-e192-499f-8d89-17df03e645b9
1f0dbc51-2431-4396-8772-7ab85c5b277e,2bb6000a-1c64-4bf0-9960-43fca5fc733d,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,,b10a02f0-3c9f-45f6-9a1a-dca196622773
1cc97450-9499-41f3-a99f-5dd9612ff63f,2bb6000a-1c64-4bf0-9960-43fca5fc733d,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,,d1cfcb3f-4b37-4149-8426-cd16f72f18bf
52332795-5829-4b3d-bbfc-299c008450fb,2bb6000a-1c64-4bf0-9960-43fca5fc733d,833cf90f-f555-4628-9d15-3fb4968051b7,Obstetric Nurse,,b3aae80a-8215-4c65-af96-4166e821351b
d862a166-0c9e-41b1-964e-d5c45b607f4b,2bb6000a-1c64-4bf0-9960-43fca5fc733d,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,,986b3c74-64f1-4da1-9533-df0d54b45872
893f6876-886f-424c-bd28-5d82655be5c0,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Medical Laboratory Scientist,,0d1f7157-c155-4e3b-a9ea-24cbb2d8af99
f48660fd-970c-499c-9b5d-4fca0f07927d,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Pathologist,,6546a097-f546-4de5-a78d-d499b7f1e1ef
d8c64026-64b2-454f-89d5-0ae464654b12,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,65739938-a96e-4bf4-9865-23b8f9154865,Women's Health Nurse,,00d3470f-abed-43b1-89e6-6c0421125186
a02baf95-485d-4ead-9400-bdbda4fd9bb0,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,65739938-a96e-4bf4-9865-23b8f9154865,Obstetrics Technician,,a8f6dc78-6605-463f-a21b-cd13bf1bbc2b
0d71145e-f8cb-4114-b14d-33c26cca1cbb,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesiologist,,bbfd1135-290a-4d07-aefc-486379fb1b86
01533e49-f02d-45c9-b7fa-86e789634011,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesiology Nurse,,c734627f-1c37-46f5-ad1d-134f91ee4f41
49657744-fecb-4871-bf94-ca618011ad33,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,0044c690-f17a-4c84-8b3d-7ee7fa9f941a,Podiatrist,,09692c8d-469b-4933-afc1-dcb19dd1ada7
89aefd79-dd8b-4927-99c5-f781374b1727,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,0044c690-f17a-4c84-8b3d-7ee7fa9f941a,Foot Care Nurse,,791931e9-5d61-4584-929d-4e8c68cad7a1
070aafa4-039e-48e1-9e71-d6c817c07909,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,2dc6c2ac-cbae-4e93-af39-c04551bb91c1,ENT Specialist,,e744b3ad-951e-4379-b9c8-4ddd63db2a60
e251e0dd-ce40-47df-b084-304a54b86b72,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,2dc6c2ac-cbae-4e93-af39-c04551bb91c1,Audiologist,,bcf280e4-ccb7-4d20-b6c7-861461b89cc2
14398660-0fbe-42a0-bb98-889dda05e1f4,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Lab Technician,,56986738-71cf-4c86-88e2-8883d1073e33
3f59eb68-fc77-431e-ba65-c7413cc89c32,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,65739938-a96e-4bf4-9865-23b8f9154865,Obstetrics Technician,,1a2a322d-5a23-40e9-9a94-07742393fe5e
f44c6647-5521-45e8-bacf-8b66d3cf9163,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,0044c690-f17a-4c84-8b3d-7ee7fa9f941a,Podiatrist,,ff300d96-7436-467d-8a6a-9be02fabf1db
b1000e86-1e4e-4a58-8882-9dcc3a38a9f3,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesiologist,,8b6a86c0-299a-4c03-852e-3f483072b3e3
eb26fb81-19a5-4de4-946b-2bb3d786b586,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Pathologist,,5b7feec3-ad43-4e14-9a2f-c72117fe41c3
5a80897d-c177-41c2-99c9-f955620383e7,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesiology Nurse,,0791488b-e0db-48b2-bd62-f4ce0c640f49
2ccee003-7b59-4241-9821-54f1edc6d30c,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,0044c690-f17a-4c84-8b3d-7ee7fa9f941a,Orthotic Specialist,,872296c7-87c2-415d-8c35-6c8374003a2e
117a60ec-e0d8-4775-aa2a-6016d29fab2f,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Pathologist,,26d6ec32-3848-4348-afa4-5063b191aeca
85da20fc-6371-4d27-ba4c-80d3e79d2cb6,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesiology Nurse,,199d9679-fbb3-486e-abed-cda1972f5943
d4c173ec-04a9-40a4-926a-c2d70e2451b1,b2409ad7-ccde-4c9f-9a0d-901f2e41ca3f,9b83a437-28b7-405b-abc2-ded76bd8e65f,Nutrition Counselor,,f3bf298c-ae30-4cef-849c-550d3e3f979c
1aa22767-8f53-4577-84d4-3f4f44a57020,b2409ad7-ccde-4c9f-9a0d-901f2e41ca3f,9b83a437-28b7-405b-abc2-ded76bd8e65f,Diet Technician,,f6e68035-3612-42fe-80da-c72e4365c89a
e3310c55-1844-413d-92ea-e1731cb68d60,b2409ad7-ccde-4c9f-9a0d-901f2e41ca3f,eb6b96ec-ea3a-4bf3-a994-6c6d3590a2e5,Rheumatology Nurse,,960ad3a1-e1bd-44e6-8771-6ddfe7a4d2f7
3a9675ff-dc66-41ff-b550-6ddc2adf9ed2,b2409ad7-ccde-4c9f-9a0d-901f2e41ca3f,eb6b96ec-ea3a-4bf3-a994-6c6d3590a2e5,Rheumatology Nurse,,99880164-8b01-4cc5-85a1-350b996ac4d8
59dbbcdc-167d-47b6-8cbd-028b31a3de42,b2409ad7-ccde-4c9f-9a0d-901f2e41ca3f,c5cf255f-278d-44f6-88df-480ea3b4e529,Genetic Counselor,,24344145-7f9b-4492-a977-d9fcea2464d9
3fd23f46-2111-4a6a-8bc1-b5cf65810eb1,b2409ad7-ccde-4c9f-9a0d-901f2e41ca3f,c5cf255f-278d-44f6-88df-480ea3b4e529,Geneticist,,2256a104-6b8d-491c-b6d0-bbd9e5ce89f8
