identifier,institution,department,jobTitle,email
e65d79f1-fc64-497c-9f3a-6204f7cf7116,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Pulmonary Function Technologist,jillrichardson@healthcare.org
aff3cc60-a7a2-4842-9ac5-13d314d0f793,81332876-37eb-4cd9-a87a-1613e443df78,9fbd4b9f-5675-4682-996d-66423cf87ff0,Orthodontist,melissavelasquez@healthcare.org
c3d7555b-8c65-4528-9169-b5bbf2861dbe,81332876-37eb-4cd9-a87a-1613e443df78,dd7524bc-dd82-416d-84fa-9dd191609261,Doula,earlmercer@healthcare.org
243f8229-ece4-4fdc-a8d6-0b0867f2cd88,81332876-37eb-4cd9-a87a-1613e443df78,7bd37c4b-948c-42c8-a0f2-4eb3af58e381,Histology Technician,stacylee@healthcare.org
6f79e82c-bea8-4e21-b620-4bebefc20d7d,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Sleep Technician,nataliewalker@healthcare.org
ee6d6c4d-fbac-46f5-87c8-a4cc6445d014,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Respiratory Therapist,rickeybrown@healthcare.org
04e93690-0b4e-4fdc-8907-68b00530aee3,81332876-37eb-4cd9-a87a-1613e443df78,9fbd4b9f-5675-4682-996d-66423cf87ff0,Dentist,ashleyrodriguez@healthcare.org
c948aff1-182e-4a8e-bcf2-ffb924a6485f,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Respiratory Therapist,tinahart@healthcare.org
00073cc2-c801-467c-9039-fca63c78c6a9,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Respiratory Therapist,tracyharris@healthcare.org
e76720f8-35b6-44b0-8a65-7102cb628a19,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Pulmonary Function Technologist,noahparsons@healthcare.org
b715cf06-aaae-48c4-ba2d-47f15937d3db,81332876-37eb-4cd9-a87a-1613e443df78,dd7524bc-dd82-416d-84fa-9dd191609261,Doula,kimberlypadilla@healthcare.org
26f787ed-d2bd-404f-93bc-b098efb1fa07,81332876-37eb-4cd9-a87a-1613e443df78,9fbd4b9f-5675-4682-996d-66423cf87ff0,Dental Assistant,jameswebb@healthcare.org
d95807d2-be77-440e-a15c-7024f2b5c748,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Sleep Technician,danielsanders@healthcare.org
6aaf3f5c-0b6c-4ca2-8907-af5d8a8f0865,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Respiratory Therapist,maryholland@healthcare.org
be6449c3-3dc5-4701-a76f-80a91db94322,81332876-37eb-4cd9-a87a-1613e443df78,9fbd4b9f-5675-4682-996d-66423cf87ff0,Dental Assistant,alanmorris@healthcare.org
3f9972f1-9653-4180-841c-918631f5382f,81332876-37eb-4cd9-a87a-1613e443df78,3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Sleep Technician,meganstewart@healthcare.org
98aa03b6-a0f0-4a56-ac00-caa08fbd4130,81332876-37eb-4cd9-a87a-1613e443df78,dd7524bc-dd82-416d-84fa-9dd191609261,Midwife,randybond@healthcare.org
529257df-5caf-4149-8d09-bdc7967006cb,81332876-37eb-4cd9-a87a-1613e443df78,dd7524bc-dd82-416d-84fa-9dd191609261,Doula,elizabethmcbride@healthcare.org
2ed3dea2-f3f9-4d86-b11f-02ace9052731,0ff18e02-42af-4fc3-8577-6e9add84f39e,fbb22429-55ab-42c5-8f08-502ee47e3d10,Rheumatologist,kevinarellano@healthcare.org
5380531c-09fa-4833-a2fe-66d1cb64acd7,0ff18e02-42af-4fc3-8577-6e9add84f39e,326ea68d-f4e3-4152-b12c-d4340b177efd,Infectious Disease Specialist,jacobcox@healthcare.org
9111f1f5-4059-47c9-9bdb-3d4b5ff02ae9,0ff18e02-42af-4fc3-8577-6e9add84f39e,b9e789c6-16f4-4941-ad28-3c0df230400a,Cardiologist,taylorhahn@healthcare.org
ed99ac9e-dd75-4d0f-86a5-5245f525e3d6,0ff18e02-42af-4fc3-8577-6e9add84f39e,fbb22429-55ab-42c5-8f08-502ee47e3d10,Arthritis Specialist,travistaylor@healthcare.org
fc01694a-1eac-45d5-964c-c436f18e44f8,0ff18e02-42af-4fc3-8577-6e9add84f39e,fbb22429-55ab-42c5-8f08-502ee47e3d10,Arthritis Specialist,kimberlywheeler@healthcare.org
dc91b762-b04e-432e-961f-7e5ee771ebab,0ff18e02-42af-4fc3-8577-6e9add84f39e,b9e789c6-16f4-4941-ad28-3c0df230400a,EKG Technician,lindaanderson@healthcare.org
598d5ca2-c485-409c-94f6-04c92ccd2ac3,0ff18e02-42af-4fc3-8577-6e9add84f39e,fbb22429-55ab-42c5-8f08-502ee47e3d10,Rheumatologist,charlesray@healthcare.org
89bc84b6-dda4-41e9-b331-cf4d3e903735,0ff18e02-42af-4fc3-8577-6e9add84f39e,326ea68d-f4e3-4152-b12c-d4340b177efd,Infectious Disease Specialist,johnreeves@healthcare.org
0344e247-f13e-46d2-8161-fe8753d58c58,0ff18e02-42af-4fc3-8577-6e9add84f39e,326ea68d-f4e3-4152-b12c-d4340b177efd,Epidemiologist,gregoryreyes@healthcare.org
3f5a0204-23f2-4a2d-8cc5-02e1fc62a7d0,0ff18e02-42af-4fc3-8577-6e9add84f39e,326ea68d-f4e3-4152-b12c-d4340b177efd,Infection Control Nurse,deborahtorres@healthcare.org
9d3eef19-d02c-4526-9662-d87b7fe5c73f,1beb3711-7d41-4602-aece-328bff7b118e,d2d6840d-1871-4121-89e8-060c0a8f541d,Pediatrician,brandonhendricks@healthcare.org
06de025e-03e9-42fa-8696-db0e0a30a255,1beb3711-7d41-4602-aece-328bff7b118e,d2d6840d-1871-4121-89e8-060c0a8f541d,Child Life Specialist,maryphillips@healthcare.org
aa46a794-a601-43ea-a2b5-df976b486220,1beb3711-7d41-4602-aece-328bff7b118e,7c26c722-253d-49ce-a08d-549b6b0efd01,Physical Therapist,matthewsimmons@healthcare.org
79da10b9-920c-43b8-8d26-d96f5b9999d7,1beb3711-7d41-4602-aece-328bff7b118e,d2d6840d-1871-4121-89e8-060c0a8f541d,School Nurse,lindaperry@healthcare.org
6fed84eb-fedb-452f-9cce-93d1e5c82361,1beb3711-7d41-4602-aece-328bff7b118e,d2d6840d-1871-4121-89e8-060c0a8f541d,Pediatric Nurse,melissafarrell@healthcare.org
30fff4f6-6876-426d-9173-c6c921adabb7,1beb3711-7d41-4602-aece-328bff7b118e,ad982a08-7ad0-4668-a892-d63b89aeb616,Speech Therapist,derekmyers@healthcare.org
4c407098-5dd6-4593-b1f2-c908e38dbb7e,1beb3711-7d41-4602-aece-328bff7b118e,d2d6840d-1871-4121-89e8-060c0a8f541d,Child Life Specialist,timothydavis@healthcare.org
4b4444b5-4700-4868-978e-651a0a999085,1beb3711-7d41-4602-aece-328bff7b118e,19b2b595-3051-4f6a-b51e-3a7bacdf3038,Hematology Nurse,katherineshaw@healthcare.org
31837385-04d3-4f1f-ad09-6ec0fe51894d,1beb3711-7d41-4602-aece-328bff7b118e,3a72a669-e03c-4361-a14e-10ee230c2ebd,Orthopedic Surgeon,kathrynsmith@healthcare.org
fb306736-05fc-47b7-a7fc-fdcd398e0b7a,1beb3711-7d41-4602-aece-328bff7b118e,19b2b595-3051-4f6a-b51e-3a7bacdf3038,Hematology Nurse,matthewcherry@healthcare.org
1905ccd1-aa30-41e1-8375-050815303ada,1beb3711-7d41-4602-aece-328bff7b118e,7c26c722-253d-49ce-a08d-549b6b0efd01,Physical Therapist,lesliewalker@healthcare.org
44e8b777-03b2-47e2-9639-6b7a72720168,1beb3711-7d41-4602-aece-328bff7b118e,d2d6840d-1871-4121-89e8-060c0a8f541d,School Nurse,michaelhobbs@healthcare.org
25edfea9-269d-43b6-8740-93ac314f7e99,ec62b2c8-2648-4e38-a074-05eb215663ab,582592e1-0d1f-40ad-830a-2393604c83ca,Pathologist,davidcarter@healthcare.org
27c8a86a-03fd-40b3-afbd-57df46121549,ec62b2c8-2648-4e38-a074-05eb215663ab,582592e1-0d1f-40ad-830a-2393604c83ca,Histology Technician,stevenhernandez@healthcare.org
ee8acafe-6ca3-4e8b-bdf4-1cf488e06c19,ec62b2c8-2648-4e38-a074-05eb215663ab,a41a5d31-dd5e-42d1-a518-020a99cb37c7,Medical Laboratory Scientist,angelakim@healthcare.org
915ad4d1-4700-43cd-ad39-14c01b20bbf6,ec62b2c8-2648-4e38-a074-05eb215663ab,e891f80c-970a-46dc-b444-adae1d21ae7c,Public Health Officer,joshuavega@healthcare.org
07fe7ec8-118d-4ca6-af52-9eb616292b04,ec62b2c8-2648-4e38-a074-05eb215663ab,a41a5d31-dd5e-42d1-a518-020a99cb37c7,Medical Laboratory Scientist,marvinbell@healthcare.org
feb6a282-54c5-427d-a630-f8e3286f793d,ec62b2c8-2648-4e38-a074-05eb215663ab,a41a5d31-dd5e-42d1-a518-020a99cb37c7,Pathologist,kevinwilson@healthcare.org
a0435943-69cd-491a-97ee-3e46229edea1,ec62b2c8-2648-4e38-a074-05eb215663ab,fd642ae2-6434-4207-b415-14cc77fd7fd1,ENT Specialist,teresamassey@healthcare.org
e6c0cc8e-3fec-4cd1-b33e-a67cc5ad1ab1,ec62b2c8-2648-4e38-a074-05eb215663ab,a41a5d31-dd5e-42d1-a518-020a99cb37c7,Pathologist,briannamorgan@healthcare.org
a3c9ce99-f131-4ac7-9f4b-6e251f1472db,ec62b2c8-2648-4e38-a074-05eb215663ab,582592e1-0d1f-40ad-830a-2393604c83ca,Pathologist,josephpatel@healthcare.org
c03f0034-7399-4177-a17a-56b10641ff10,ec62b2c8-2648-4e38-a074-05eb215663ab,fd642ae2-6434-4207-b415-14cc77fd7fd1,Audiologist,michaelhuber@healthcare.org
aba3770b-85c4-444f-b93b-5dbfc3aea2d1,ec62b2c8-2648-4e38-a074-05eb215663ab,a41a5d31-dd5e-42d1-a518-020a99cb37c7,Pathologist,joeflores@healthcare.org
1565fe5d-1455-41da-a5d0-1c19b80150f9,ec62b2c8-2648-4e38-a074-05eb215663ab,e891f80c-970a-46dc-b444-adae1d21ae7c,Public Health Officer,mrjeffreygonzalez@healthcare.org
57e6615c-3045-42ae-aaa0-cb4bb6a712d0,ec62b2c8-2648-4e38-a074-05eb215663ab,fd642ae2-6434-4207-b415-14cc77fd7fd1,Otolaryngologist,janicelong@healthcare.org
