identifier,text,city,postalCode,country
c8a70639-eb11-47b3-a7a9-c3787c65c1e5,"Jüri Pass 77, 33946 Siimchester, EE",Siimchester,33946,EE
9c6316b9-50f2-4455-af25-e2a25a921187,"Nurm Courts 15, 15030 Port Tiinamouth, EE",Port Tiinamouth,15030,EE
1759edc3-72ae-4244-8b01-63c1cd9d2b7d,"Alena-Strauss-Platz 111, 5575 Schärding, AT",Schärding,5575,AT
9cdeb3e6-0870-415c-afcd-81b5d24bace4,"Joeyhof 25, 7856 SH Middelburg, NL",Middelburg,7856 SH,NL
a1515607-964a-470c-bc87-9b741d878f9f,"Linda Ridge 103, 10625 Melnikstad, EE",Melnikstad,10625,EE
1db53334-fb03-43a1-9576-d4155ec17dbe,"Lennard-Krammer-Gasse 70, 7978 Eggenburg, AT",Eggenburg,7978,AT
7795e986-80ee-426e-8fa0-7a3f2e295065,"Pieterring 87, 7549 CU Holthees, NL",Holthees,7549 CU,NL
403d1f83-a859-490c-9670-f668637e0edc,"Pärn Knolls 108, 13527 South Tiinachester, EE",South Tiinachester,13527,EE
28fafd04-559b-4975-b2d6-50af313b32b7,"Aaronstraat 55, 2996 XN Oudega, NL",Oudega,2996 XN,NL
e245a460-0004-484c-8167-733f9a9e4310,"Zellerstr. 69, 2381 Neunkirchen, AT",Neunkirchen,2381,AT
ec3aa314-da9b-4017-b9c1-47c719a5711b,"Eda-Holl-Platz 15, 1809 Steyr, AT",Steyr,1809,AT
d974c146-e8ec-41b3-9145-91aef03d866a,"Tarapad 58, 9387 VI Helmond, NL",Helmond,9387 VI,NL
29f2c3c7-4505-44f6-8a8c-46c709215f4f,"Sokk River 113, 21398 Mareland, EE",Mareland,21398,EE
7b2e1b82-e89d-4815-8f92-8dc519724ce3,"Liiva Coves 49, 29759 Teearumouth, EE",Teearumouth,29759,EE
8e751eb7-64d0-4913-991b-8adf0202861c,"Timo-Brugger-Straße 139, 3159 Bruck an der Leitha, AT",Bruck an der Leitha,3159,AT
65e04993-7f41-4fed-9e70-e79933a1d1c2,"Sieberweg 26, 8467 Ried im Innkreis, AT",Ried im Innkreis,8467,AT
7fa74d8a-ff88-4c82-bf99-d273d5627386,"Raidma Islands 18, 16689 Popovchester, EE",Popovchester,16689,EE
d80d6a1c-c247-4fd6-83e9-ba024cea2df0,"Hendrikbaan 145, 5854 BC Vlist, NL",Vlist,5854 BC,NL
cc4da021-dd62-4222-99ef-e28b3bcb50b3,"Parts Radial 113, 77823 Tammfort, EE",Tammfort,77823,EE
7b38785b-0932-45b6-b11d-dff70e370526,"Alena-Horak-Ring 39, 5778 Trofaiach, AT",Trofaiach,5778,AT
a6245b59-8c94-4f98-b338-6c3e1af4787f,"Fennepad 78, 1959 TT Baars, NL",Baars,1959 TT,NL
30c32323-c1b1-49c4-9f1f-f97c71cff814,"Ülle Lock 80, 98939 New Ülleborough, EE",New Ülleborough,98939,EE
