original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
e33a8212-d774-4dcb-8969-37b7d94a5b7d,e33a8212-d774-4dcb-8969-37b7d94a5b7d_var4,Address,postal_format,postalCode,7228 YA,7228YA
577b78d4-e010-477e-ba6e-30bf70fdd411,577b78d4-e010-477e-ba6e-30bf70fdd411_var2,Address,city_typo,city,Retz,Reetz
d6acf304-5a2b-4c73-a04e-263e574b411a,d6acf304-5a2b-4c73-a04e-263e574b411a_var4,Address,postal_format,postalCode,53968,53968 
085c52f0-f19d-49dd-9bb6-cafb82acaff5,085c52f0-f19d-49dd-9bb6-cafb82acaff5_var3,Address,country_expansion,country,AT,Austria
4f8529fc-ca81-42d4-ae7b-259fc37164aa,4f8529fc-ca81-42d4-ae7b-259fc37164aa_var4,Address,postal_format,postalCode,80971,80971 
723c7bc3-64a2-4291-a492-ac551654fe52,723c7bc3-64a2-4291-a492-ac551654fe52_var4,Address,postal_format,postalCode,6986,6986 
64022306-649c-4312-991c-bb26c189fcb9,64022306-649c-4312-991c-bb26c189fcb9_var2,Address,city_typo,city,Sanderhaven,Sandrhaven
64f33f45-f633-4d9d-b3dd-4a2b40b7c7ba,64f33f45-f633-4d9d-b3dd-4a2b40b7c7ba_var1,Address,house_number_suffix,text,Paulina-Erlacher-Stra�e 80,Paulina-Erlacher-Stra�e 80C
c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7_var3,Address,country_expansion,country,AT,Austria
a7b40929-3f26-4191-9a09-4c0551c756d4,a7b40929-3f26-4191-9a09-4c0551c756d4_var4,Address,postal_format,postalCode,5024,5024 
21258915-7b10-477c-bf32-e5f786bbc79d,21258915-7b10-477c-bf32-e5f786bbc79d_var1,Address,house_number_suffix,text,Fabian-Ludwig-Platz 109,Fabian-Ludwig-Platz 109C
b85f2ec4-9d6f-41b5-8420-e63bc34dfc64,b85f2ec4-9d6f-41b5-8420-e63bc34dfc64_var1,Address,house_number_suffix,text,Ljubov Estate 34,Ljubov Estate 34C
d5964131-dcb3-4aaf-9a0b-de0e1ee9f778,d5964131-dcb3-4aaf-9a0b-de0e1ee9f778_var4,Address,postal_format,postalCode,3197,3197 
ff893bcf-c3e3-487b-9fae-c0ab3a70f605,ff893bcf-c3e3-487b-9fae-c0ab3a70f605_var1,Address,house_number_suffix,text,Chrishof 29,Chrishof 29A
b0537fbb-2bcd-4cf3-adfc-297ac2888198,b0537fbb-2bcd-4cf3-adfc-297ac2888198_var1,Address,house_number_suffix,text,Schmidlplatz 18,Schmidlplatz 18B
8f94f05f-f4b0-4218-9c6c-d0491ad8ff4f,8f94f05f-f4b0-4218-9c6c-d0491ad8ff4f_var4,Address,postal_format,postalCode,8055 QM,8055QM
eedbba8b-0f83-41ee-b2ac-89bdb2998fa3,eedbba8b-0f83-41ee-b2ac-89bdb2998fa3_var2,Address,city_typo,city,M�ttustown,M�ttstown
