original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
70bef8fb-6598-42bf-8a18-bafe2df4a748,3c16ef0a-4ed7-5f2b-98ed-7024e71532e9,Address,country_expansion,country,NL,Netherlands
ca5aa58d-2dd7-4003-9aa3-cdad289cd17d,304e011a-14fd-512e-a24a-30e09137ede4,Address,city_typo,city,Punthorst,Pnuthorst
51cd2c07-a8f7-4b61-b9d2-b2de92bba701,cd5e2cad-578d-5a58-9332-405e82afde0f,Address,postal_format,postalCode,59270,59270 
e38690e7-e27a-48e9-91c3-d1bcc6be6432,75883d2a-cd86-5150-afd8-15ff40163bfc,Address,country_expansion,country,NL,Netherlands
a54643b7-71b1-4f59-b268-495d0f2cd3b3,b64f911f-d765-58fb-a0f7-aebab1da84c4,Address,city_typo,city,Pietersbierum,Pietersbeirum
c3d2e249-a0b3-430f-8a23-12e869c458e7,bdbc1033-86ae-5b61-89d4-cd668e701ed5,Address,house_number_suffix,text,Levi-Schweiger-Weg 114,Levi-Schweiger-Weg 114B
15038b35-a28e-49e8-abb9-ac7bf62efe5e,3d38bcca-1526-5ba0-a79b-c4ee12631d86,Address,postal_format,postalCode,7551 DV,7551DV
c0fef09a-cd63-497e-994d-ecd0a83baf04,b327d16a-24f4-55f1-bc28-2244a53f6602,Address,house_number_suffix,text,Isabella-Trinkl-Platz 135,Isabella-Trinkl-Platz 135A
83448662-04a4-411a-80e1-a7683cd17950,e99d1b75-3add-5a58-b36f-f8266f02c690,Address,postal_format,postalCode,8196 WK,8196WK
5cec4a02-53fd-4a5f-997e-2f9b5f67b370,d8d08496-6a66-545d-96ac-0012de591e61,Address,house_number_suffix,text,Tiffany-Wimmer-Weg 50,Tiffany-Wimmer-Weg 50C
a5acf1da-2eee-4c46-b558-1ebb398a0e87,7706adf9-edd0-505c-9e12-3cd317133810,Address,city_typo,city,Jevgenifort,Jevgeifort
59eba97d-3e95-4ee8-b8e5-d3fe9826688f,d9ee126a-cca8-51a0-aee9-4ccd30a90953,Address,postal_format,postalCode,3707,3707 
94d06004-4290-41ce-a0c6-c23534edf9c1,0db4b89c-288b-5bc5-a632-6d09992982f1,Address,city_typo,city,Bad Leonfelden,Ba dLeonfelden
6b1190ef-e8cf-4812-ac57-53187ba55437,5a925351-a1e2-570c-9e49-9d41e563074b,Address,city_typo,city,Kristiinaburgh,Kristiinabugrh
6c910628-26c2-4bba-bdd2-071a8a0492d9,d6bd6f71-2381-5336-a4b8-3ca93c058027,Address,house_number_suffix,text,Reet Club 38,Reet Club 38C
c468c138-1871-4c59-be6c-482de83bf4c8,6dd12605-7239-530d-8818-aae4e456a74d,Address,postal_format,postalCode,9968,9968 
8e5f37fa-68f4-4b51-b3fa-861390ed41f4,8ea7191c-ca06-522c-86de-9e2a03ef46c3,Address,country_expansion,country,AT,Austria
e90a2364-3a03-473e-bb9b-df46f5930c38,0092ce94-59e8-5c61-b6fc-c7973d9f2d60,Address,country_expansion,country,AT,Austria
04496aef-90a2-4b0e-a7ef-99565684a380,51041278-69b5-5c88-b5a9-91d9351cb13d,Address,city_typo,city,Mägichester,Mägihcester
c9aadaa6-e440-4a7c-a953-61bfee628c9a,3852570a-a4f3-5633-b896-511c52daaf00,Address,house_number_suffix,text,Fernando-Polzer-Platz 77,Fernando-Polzer-Platz 77A
68cce369-339b-4ce8-8bb3-66b225a3fcce,eddd3f49-d8b2-5d3a-ad22-e92a3a897dfb,Address,house_number_suffix,text,Larissa-Eberharter-Ring 62,Larissa-Eberharter-Ring 62B
020da7e7-aef3-4182-bc42-940cb81a840c,c8451c5f-836c-5264-b563-e7c5f695faf7,Address,country_expansion,country,EE,Estonia
b5f5cf3e-3ae7-4934-88ee-fc0581b02aef,33cb7437-5132-5e4d-ba7a-1323776be394,Address,postal_format,postalCode,2431,2431 
cde7f769-6d4d-4b1a-a524-c559554829e5,2be4c54f-3940-58f1-8c11-656d90df8751,Address,country_expansion,country,NL,Netherlands
e19cff3f-dae4-4050-ac65-86314ac61a04,2b86c9a4-c5e5-5087-b73b-e4227cb7d700,Address,house_number_suffix,text,Ava-Schütz-Gasse 99,Ava-Schütz-Gasse 99C
dc413314-7f1f-4654-a90a-a00650807f5e,fc095138-8c79-5338-85f8-517f3588deca,Address,country_expansion,country,AT,Austria
bdcaca2c-ff1b-47e5-b423-6475e54acd13,1477b186-3034-5659-8b55-9f5bd520dd92,Address,city_typo,city,Mank,Mnak
3a581614-3763-4524-bcb9-ca3ef0d3f406,543cfefe-08eb-5764-815c-8de844277ec4,Address,house_number_suffix,text,Martdreef 99,Martdreef 99B
0b31eed4-42d1-4e27-a7d3-c6611f0b3735,b95e6f42-3d2e-5302-a77e-cefdac695a5a,Address,postal_format,postalCode,4309,4309 
ee41eb04-f811-4567-a01a-55d602cb637d,866117b8-7665-5d53-93bf-0c727cdcfb27,Address,city_typo,city,Wijnjewoude,Wijnjeewoude
