identifier,contactType,phone,email,availableLanguage,fax,anchor
f5a50464-2c56-49a3-84c7-284bd71e03e3,Administrative,021-9489241,FaulknerHoward@healthcare.org,['nl'],+31578 156593,23a7711a-8133-4876-b7eb-dcd9e87a1613
8f0fd122-716d-444c-adee-55621ba6e8ee,Administrative,339-733-2871,Garrett@healthcare.org,['et'],671.948.4185x83989,b421eaeb-5340-47ca-baf3-897a3e70f16a
76f235b8-3ce7-4a17-82a9-1edc782f6729,General Inquiries,886-684-8339,Green@healthcare.org,['et'],275.615.9179x533,09e469e6-ec62-42c8-a648-ee38e07405eb
053ec475-12dd-49a5-a0da-cfa4b9aa0921,General Inquiries,0935 233769,Nash@healthcare.org,"['nl', 'en']",+31(0)06-9602714,14aa451c-a69c-4b85-9432-f8db6a174c1c
d2f41736-6cb7-4f6e-8cf5-04fa0e4ff1c8,General Inquiries,(306)565-0300,LopezKey@healthcare.org,"['de', 'en']",393-244-2176,b9bdee2d-d663-449d-955e-18b1fa83ada4
9dfa7f39-3428-472d-a44c-0d585f52522e,General Inquiries,(690)297-7658x236,Williams@healthcare.org,"['de', 'en']",(224)255-5159,f24dfdd8-5091-4bdc-8ef0-66d44279b14d
6a333ec6-fd0b-4c69-9d14-bbd92bd92a7e,General Inquiries,547.779.3615x34926,Brady@healthcare.org,['et'],610-587-3176,8e751eb7-64d0-4913-991b-8adf0202861c
c5e4dc0b-ab8c-4e6c-96f5-edd37c65a7fc,Billing,+1-768-275-7738x93055,Garcia@healthcare.org,"['de', 'en']",524.492.6947x11801,a36bcb01-67e9-4363-905c-053b25fdacbe
b074aa2b-430a-4c98-8061-72ffc921e0ec,Administrative,+31634 896769,SantanaShaw@healthcare.org,"['nl', 'en']",(000) 2489451,ce1bb02a-cb4d-48d6-adb6-da351734a26c
688fe10b-4fdb-4c63-aeab-0b2ec2d15e89,General Inquiries,+31(0)11-6116207,Chan@healthcare.org,['nl'],+31(0)60-7541511,6d0c62c3-254b-47ae-9d0a-b994f20b575d
0afe1f4e-5567-4158-b9a3-c31b10e5af62,Billing,001-604-450-9322x7175,Smith@healthcare.org,['de'],4353574485,1f8941b6-e6a1-440b-b031-f4b9bb6b0095
477f735a-845e-4e88-bb4c-17cd4e539e7b,Administrative,4618126486,Carter@healthcare.org,"['et', 'en']",951-537-5806x6065,99e8c828-21da-432c-9c68-d4fd0bd7696f
ebd27603-6c92-4905-ac8a-c715f8e5d104,General Inquiries,+31(0)714-543910,Riggs@healthcare.org,['nl'],+31448 518321,86ae9d5c-65ff-4adc-81ae-f3f700109824
e31c4cb5-a782-4eca-8c0c-bb81637469e2,Administrative,001-660-550-1904x4329,Mathis@healthcare.org,"['et', 'en']",467-956-2566,f305ee95-afb1-40f4-94d4-dad6ddfae808
5d309473-2a4c-46fe-ac56-4d8f2e131e77,Administrative,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",091-8456708,9626d8c4-344a-4454-b0a6-1c5e707421d4
d272ac3a-5676-4919-9820-f024e634eeba,General Inquiries,+31(0)163 968373,WilliamsWilliams@healthcare.org,['nl'],+31919-155875,01d34690-a795-4c54-8a30-f7cd00fdec23
42cc7eff-b151-45d0-9c1f-76c7be6ebd76,Media Relations,001-930-948-1077x706,Daniel@healthcare.org,['et'],811.813.1263x791,df39ccaa-580c-49fc-bb69-e69041300879
cd076ba5-e337-4130-9bb4-6840f88b41b2,General Inquiries,(0844)-301912,Lam@healthcare.org,['nl'],+31(0)33-4088601,8397d412-7118-4b71-8707-e77b4bf0ae53
87075729-ed8d-4231-82e9-4b1f814d32ac,Billing,+1-862-637-6254x25660,Smith@healthcare.org,['de'],+1-287-409-1662,584d3c02-0ff9-4318-922a-3a6211091978
41f901b8-3c92-4943-9952-434e967a7ed5,Administrative,+1-219-972-9904x560,Newton@healthcare.org,"['de', 'en']",854-727-3852,6d5b7d50-1417-44f9-b7c1-44fb2b16ad04
68913ac5-0097-44f4-bdcb-4491b70616b3,General Inquiries,600.540.4943x8856,Arnold@healthcare.org,['et'],795-239-8522,58ba0bf3-675e-4c52-9eb9-5739b8acdd81
bdd91364-f657-4092-89ef-1c6172ffe280,Administrative,429.565.7086x93058,LeePatton@healthcare.org,['de'],+1-557-903-9342x6197,c0037457-0184-4803-9840-fccb2446ecee
6ef1c2f5-6c7a-4e49-aaf5-8acc097438c3,Billing,(492)964-8022,LongMartinez@healthcare.org,['et'],001-408-608-6259x118,abbf66c7-680a-4e2a-866b-d06fa2b4d215
32eaa3cf-65c4-4376-964b-bbee03566a1c,Billing,001-251-337-9378x25278,Johnson@healthcare.org,"['de', 'en']",350.411.6959x75685,e55e44b8-08a6-45b4-8321-0210a43c991d
62bbbab6-f3dc-471e-b06a-2bd2bc7faadf,Media Relations,+31607 599449,BuckBurke@healthcare.org,"['nl', 'en']",(0620)-743615,eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9
4b828698-a4f8-4eb6-84d9-26dce6a5342a,General Inquiries,7863408115,GibbsReese@healthcare.org,['de'],402.484.0065x2822,dba45b5e-1498-465b-b9fe-0a1b7efbe877
1d5829d6-3630-4428-889b-da269140dbb5,Administrative,(869)551-6637,Cook@healthcare.org,['de'],(937)569-1448x5809,12b34a24-667f-4eeb-8889-832c37773772
05cfcf06-409c-48c5-8e73-46c4f944f6bd,Billing,416-588-2223,Austin@healthcare.org,"['et', 'en']",8826759451,76a933cf-65fd-4f69-93a2-5c9b6e3a52d7
e0af2c66-aa58-49de-b97a-e3a701d391b8,Billing,(612)420-9981x39981,ReedFry@healthcare.org,['de'],(910)501-5751x7594,fef06b04-68fc-442a-b6f2-59264e60678b
e8874a76-08e0-448b-9faa-70e4a553eb82,General Inquiries,(227)990-6196x5387,Guerrero@healthcare.org,"['de', 'en']",+1-714-487-8674x238,eb6ec9e0-225f-4457-9662-5aa1056b565f
743e6e14-4cb5-4d84-9387-9e51017e459e,Administrative,820-929-8300,Baker@healthcare.org,"['de', 'en']",001-617-585-5103x374,5c05c1f3-241d-4e27-8bf4-1e101c622f82
33b3d121-d9c7-4684-92b2-9d4a79feb3b1,Billing,(054)-6921658,ValenciaThomas@healthcare.org,['nl'],(035)-5645641,c6b7e7cb-be0d-44ed-b306-1611ef96a214
992c47ab-397e-4263-8695-b2c6d5e4cbaa,Patient Services,+1-561-882-3366x706,Obrien@healthcare.org,"['de', 'en']",001-609-340-9555x72981,852d2ee5-0061-4d30-9907-3286329cd43a
