identifier,text,city,postalCode,country,anchor
ebda6334-3500-40ce-a4b4-370baeff8a03,,Oud Zuilen,5579 YN,NL,c8a70639-eb11-47b3-a7a9-c3787c65c1e5
66427692-e8cf-401b-b8bc-664eaa499e79,,Andreiside,45067,EE,d3290a4c-b5d3-4b16-a619-4cb1d71037d1
73aad31f-d553-4033-90d8-8572c1f524ea,,Reetbury,64161,EE,9cdeb3e6-0870-415c-afcd-81b5d24bace4
02c5476f-fdf9-40a7-afc1-891d5725c1b7,,Lengel,3250 EH,NL,971c702d-5bf4-4c04-ac64-2b4c49b25ded
aaed7e41-214d-40bd-9331-f7ba8a17a75a,,Sankt Valentin,3787,AT,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a
80bc43ce-88ec-4272-9b7b-ea4c029101ee,,Hainburg an der Donau,5910,AT,4745dd9e-2789-4389-9f32-77fd1d77ce40
2fe82d1d-5024-4de0-99bd-2a0994285222,,Lake Raivo,33773,EE,15ace7a1-ceca-4ee3-90da-8a9516408169
b0028aaf-90d8-4949-b030-28584e2bf6c3,,Ternitz,4294,AT,d3b564b0-8be0-4c3e-9c94-938160c6b3ed
8edbd841-5da0-47a4-9f9c-1b418f443163,,Sint Jansklooster,9210 KF,NL,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20
65588e21-0732-488e-b8cd-815e96f020f7,,Vorden,9898 VS,NL,e38690e7-e27a-48e9-91c3-d1bcc6be6432
05f2f2b5-42ca-4965-8845-b119c9859fee,,Frohnleiten,6578,AT,24aeba79-e4b8-4987-98ba-0f0e120d7126
ab8fbef9-c2dc-4fef-af20-487764c3e81b,,South Elena,57329,EE,c13e66af-3c95-40d3-be2a-ad3e82221345
47883e21-d439-4db3-9427-98036b2071f2,,Stiens,8173 CV,NL,47b3df41-67c2-4355-8312-1af68b32992a
8a8cdffb-f5da-4692-bdde-fb591063e0ea,,Elenafort,10405,EE,641659c0-78b6-4daf-9afb-9565068a3c38
b693c484-6065-4b22-bb1d-596e70cfca45,,Meterik,9641 EG,NL,6d62e40c-638d-421a-bbc5-9e92ca1209ad
8c7c39ef-e134-4222-8166-bf87df552d2c,,Wetsens,5380 XN,NL,56525ce0-3725-4d0c-b9c4-5c38b440ffe0
07a7305e-3c7e-4d9e-8cae-fcc0562634af,,West Anna,34769,EE,4053b188-339d-48f5-9658-b1b33012ae1c
9827fab9-79ef-4052-8899-5aa522a64762,,Tonden,6650 HE,NL,1b770deb-6f51-4a78-bea2-a33a51d11bcd
937e38c9-99fe-40be-a19d-bbbd48504ae2,,Zwettl,9873,AT,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2
cdadd43d-45ee-4be1-8177-2d67dd1b6576,,Bregenz,4948,AT,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8
3b4f394c-0bad-4e8c-b875-da47d06c7bc8,,Aderport,41550,EE,88239867-c5dd-467b-88f1-100bfa3222c4
b54a35b1-16fc-44f5-a2d8-381b401f7571,,Ybbs an der Donau,8336,AT,fd768f63-5163-4e1d-8df7-a26786fadb0e
a1807e2f-3af7-46fc-9b4f-42ca7d04acae,,Lake Peeterfort,56464,EE,067fece7-f1ff-46dc-b45a-a79bd855fb35
8df0cf86-0cdf-4c47-868c-66dc93049e9d,,Hainfeld,7929,AT,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a
8d59347b-65fa-4c18-9e91-a4c831c817d4,,Echteld,7621 AK,NL,4fae667b-b2e7-4e77-8fe1-cedfa5387901
bb2d54ae-0603-4f36-a1d3-c9dc97504328,,Frohnleiten,2476,AT,52a33c33-037e-4725-a5a1-bdaea747795e
6dc00c46-d2f0-4899-a025-43082ce470a2,,Waidhofen an der Ybbs,2963,AT,e9e7e1ba-916b-41ee-afae-feda6b325d48
1977fa9d-2f09-4f02-9fc9-ca9cf7decfe3,,Annuschester,41165,EE,21d4fb7e-2258-4c89-98cc-f9b4354af1bd
7b8abd74-d863-4b61-b05b-a211bad88510,,Rottenmann,4634,AT,ea31e67a-e168-4205-bc0a-94de4e245cf7
86f70fbb-af7e-40e1-964d-2ac6bc7def36,,Radenthein,7127,AT,68adc28f-8463-416a-be65-6befe0efc989
