identifier,text,city,postalCode,country,anchor
05fcc5dc-ee18-4ebd-b40c-a1303c014350,Lukassteeg 84,Oud Zuilen,,NL,c8a70639-eb11-47b3-a7a9-c3787c65c1e5
048509cf-5f2d-4d9e-8cbc-032af8d33753,Anne Stravenue 82,Andreiside,,EE,d3290a4c-b5d3-4b16-a619-4cb1d71037d1
68d6c188-6410-4356-b32f-1eb9e2426ad9,Kaasik Field 107,Reetbury,,EE,9cdeb3e6-0870-415c-afcd-81b5d24bace4
67b33c39-6181-4c3f-b23c-f9a6cdb391b4,Pimstraat 126,Lengel,,NL,971c702d-5bf4-4c04-ac64-2b4c49b25ded
6c950d7a-a923-4543-a920-d0e751a82367,Cornelius-Mitterer-Ring 83,Sankt Valentin,,AT,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a
8cd37847-59b3-4ddb-8ef5-3e2680b6cc02,Stefanie-Suppan-Ring 31,Hainburg an der Donau,,AT,4745dd9e-2789-4389-9f32-77fd1d77ce40
ce3bf21a-8cfc-49e4-a74b-b5a7faeed6ab,Sutt Route 145,Lake Raivo,,EE,15ace7a1-ceca-4ee3-90da-8a9516408169
c0a4d26a-05db-488b-bdd1-9e9442e3e3e2,Justin-Gross-Straße 126,Ternitz,,AT,d3b564b0-8be0-4c3e-9c94-938160c6b3ed
6f4d1694-92c0-4b93-b823-14e105dc9a4b,Noorweg 85,Sint Jansklooster,,NL,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20
b26c3dc2-3ec1-4b7d-8f48-81afe2f5da18,Kyanboulevard 125,Vorden,,NL,e38690e7-e27a-48e9-91c3-d1bcc6be6432
ab570f13-1d62-4ef3-8a64-256d09431ddd,Vito-Tanzer-Ring 46,Frohnleiten,,AT,24aeba79-e4b8-4987-98ba-0f0e120d7126
fb7d7b06-a648-4450-81a9-e23d4fe26b58,Jekaterina Island 140,South Elena,,EE,c13e66af-3c95-40d3-be2a-ad3e82221345
b9712f8b-97cb-4fe3-b6f1-9c4f33b5c0af,Lindseyhof 123,Stiens,,NL,47b3df41-67c2-4355-8312-1af68b32992a
6be8bb8b-aacc-481b-8c8f-9e3f75b6c79c,Sergey Forge 83,Elenafort,,EE,641659c0-78b6-4daf-9afb-9565068a3c38
b7f78787-b75b-4704-a613-a382a2464052,Timpad 65,Meterik,,NL,6d62e40c-638d-421a-bbc5-9e92ca1209ad
2e8ce167-aebc-4c85-ad17-4ef0677fa48c,Zakarialaan 46,Wetsens,,NL,56525ce0-3725-4d0c-b9c4-5c38b440ffe0
c4dfe21e-36c2-47bf-9fde-14be40f2ed80,Olga Key 51,West Anna,,EE,4053b188-339d-48f5-9658-b1b33012ae1c
596a18c7-d694-4a25-b8a7-daaca052940e,Sophiepad 68,Tonden,,NL,1b770deb-6f51-4a78-bea2-a33a51d11bcd
3efaf019-e6e7-4a47-a5d0-be9cee612c2e,Jessica-Bachmann-Straße 83,Zwettl,,AT,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2
d664cb30-9d59-4532-836f-a9baaf8f38e7,Haslauerplatz 84,Bregenz,,AT,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8
a098f9f4-44ef-4000-9e3f-f7826eda5c62,Nikiforov Mountains 28,Aderport,,EE,88239867-c5dd-467b-88f1-100bfa3222c4
a20cc485-66a1-4ee9-8815-aa7cf5314b56,Helmstr. 61,Ybbs an der Donau,,AT,fd768f63-5163-4e1d-8df7-a26786fadb0e
0c67aa69-7725-4314-abd1-b53a041893e9,Laura Ville 32,Lake Peeterfort,,EE,067fece7-f1ff-46dc-b45a-a79bd855fb35
43753e02-3a67-4cb3-8e27-9d5b034870ca,Zettlplatz 114,Hainfeld,,AT,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a
de99a5d8-13cd-42cd-a929-c4edfe99949b,Bilalring 122,Echteld,,NL,4fae667b-b2e7-4e77-8fe1-cedfa5387901
46a26c7f-6a29-4842-8a46-f7383822ae0a,Reichmannweg 137,Frohnleiten,,AT,52a33c33-037e-4725-a5a1-bdaea747795e
e52b1ade-90d8-49ae-b35f-6d3dc113b180,Steinkellnergasse 54,Waidhofen an der Ybbs,,AT,e9e7e1ba-916b-41ee-afae-feda6b325d48
b0fd5031-239d-44cb-96b5-d55df932fb5d,Laas Stream 41,Annuschester,,EE,21d4fb7e-2258-4c89-98cc-f9b4354af1bd
d41a186c-7b3e-42a9-9161-633decbaa857,Lara-Schön-Weg 67,Rottenmann,,AT,ea31e67a-e168-4205-bc0a-94de4e245cf7
4fbf42fd-d752-4228-bd65-6488b1d300b5,Benjamin-Tischler-Platz 73,Radenthein,,AT,68adc28f-8463-416a-be65-6befe0efc989
7bfac8ea-e496-4b50-863e-ff5d0434860e,Franz-Marx-Straße 1,Oberndorf bei Salzburg,,AT,8e5f37fa-68f4-4b51-b3fa-861390ed41f4
9064c3e1-9818-476d-b07b-30a4530dd27f,Mikastraat 133,Venhorst,,NL,5e146c30-bd2c-4b8d-b9eb-fa326c1b6811
ab0d12b6-64d9-426c-bdc9-7740a01adeaa,Alexander-Kopf-Weg 18,Grieskirchen,,AT,d24e3104-1dd2-4234-a131-24bd01275a63
87586b64-71c0-45fc-800d-160ab707a4f7,Marek Fords 19,New Viktoria,,EE,51cd2c07-a8f7-4b61-b9d2-b2de92bba701
bc32b6c8-7559-4812-b73f-7713a8d357a3,Aino Cape 70,Vainmouth,,EE,7176d181-3e2b-4653-a258-edf30ff0952a
cdd07f1d-4a13-412a-aa8a-27f7a314f182,Britthof 19,Renesse,,NL,fefd320b-f5ef-4a99-810f-5ddfa2251838
0e9ae091-e69b-48d9-bb7c-c5972abafc77,Felixstraat 76,Oldenzijl,,NL,d6a2c379-e0c6-48a7-8748-f7ea72789d75
d7fd53ea-64b4-449e-bbfc-97d45dd07d21,Gerritring 67,Egmond-Binnen,,NL,45a16970-a11b-46b0-8823-6adf3f7512c5
95fefea8-4d3a-4d7f-9271-75e677dbcd51,Annemijnboulevard 149,Bovenkarspel,,NL,20d5c16e-9611-49cf-bfbd-fd47dc7972f0
4db34161-dbaa-4de8-950c-cafa62f6850d,Mikepad 33,'s-Graveland,,NL,039d60ba-9c99-4735-95a6-52a708fce7af
a79ba414-9a71-4157-8bdd-73e0d70a84af,Daniweg 69,Angeren,,NL,8c3fa29f-fa4b-4bc6-9121-f31f5028361f
