identifier,contactType,phone,email,availableLanguage,fax
1a499e5a-edf1-46e5-9db4-af65575735b8,Administrative,021-9489241,FaulknerHoward@healthcare.nl,['nl'],+31578 156593
69058d69-75ce-4913-8ec8-3c036300c4f0,Administrative,339-733-2871,Garrett@healthcare.org,['et'],671.948.4185x83989
8b613ca9-1926-4c43-9ca0-ee329cd37960,General Inquiries,886-684-8339,Green@healthcare.org,['et'],275.615.9179x533
1b6fe81b-6d45-4db5-89bf-160641ac66e0,Patient Services,3132991615,Robinson@healthcare.org,"['de', 'en']",+1-303-621-7300x869
429642a9-0ddf-41d5-b054-4323d639e4af,Media Relations,001-323-902-2584,Mcneil@healthcare.org,"['et', 'en']",+1-920-376-9845x64280
6cc2162c-f1e0-4947-a9ec-f8fdf3dcb332,General Inquiries,0935 233769,Nash@healthcare.org,"['nl', 'en']",+31(0)06-9602714
dfa0f384-2770-44b5-96e9-8fdd5331d397,General Inquiries,(306)565-0300,LopezKey@healthcare.org,"['de', 'en']",393-244-2176
0a1a98ee-43f6-4c58-a16c-c708eeaa277e,General Inquiries,(690)297-7658x236,Williams@healthcare.org,"['de', 'en']",(224)255-5159
3e137f74-948f-40b1-bc38-8088fd5b1a5e,Patient Services,065-4611877,Peck@healthcare.org,"['nl', 'en']",+31517-176045
a06a38c3-ea1c-4e4f-9f2f-50395e069d84,General Inquiries,547.779.3615x34926,Brady@healthcare.org,['et'],610-587-3176
2b0e9983-a77b-47d6-b81f-6a144e4ca465,Billing,+1-768-275-7738x93055,Garcia@healthcare.org,"['de', 'en']",524.492.6947x11801
2c6bf8a5-4c03-4e82-99bf-c2e82016ab7a,Administrative,+31634 896769,SantanaShaw@healthcare.org,"['nl', 'en']",(000) 2489451
959e6916-eab3-4e0d-a6ae-c6a013a748df,Patient Services,(062)-7912560,Allen@healthcare.nl,['nl'],(0670)-172009
dc621e31-b745-4048-b434-75e5bc6a8d08,General Inquiries,+31194-264183,Ibarra@healthcare.org,"['nl', 'en']",067 5375100
5cbe3487-d051-4354-9efd-020f35659f61,General Inquiries,+31(0)11-6116207,Chan@healthcare.nl,['nl'],+31(0)60-7541511
7c2aeaa8-173f-4282-8f85-85f4dfdac187,Billing,001-604-450-9322x7175,Smith@healthcare.org,['de'],4353574485
a875ce70-068a-4131-9784-5b15622255da,Administrative,4618126486,Carter@healthcare.org,"['et', 'en']",951-537-5806x6065
3d8ef670-752d-4f11-ab70-b29a000e9296,Patient Services,+31825-717340,Griffin@healthcare.org,"['nl', 'en']",(0970)-341489
d81639d2-0c32-4e0f-8022-89cfb4be93bb,General Inquiries,+31(0)714-543910,Riggs@healthcare.nl,['nl'],+31448 518321
9cfe9ffb-f7ff-45ab-9bba-d6b9cde0bf11,Patient Services,+31(0)211 669728,FigueroaStrong@healthcare.nl,['nl'],057-6377857
7f258729-2042-4564-bace-f732f38e4721,Administrative,001-660-550-1904x4329,Mathis@healthcare.org,"['et', 'en']",467-956-2566
edcd6a00-e4ef-466d-b5fc-9f2acce4e0d9,Administrative,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",091-8456708
ea72b66b-36f0-414f-9286-1bf1c7ddbfb4,General Inquiries,+31(0)163 968373,WilliamsWililams@healthcare.org,['nl'],+31919-155875
af6ea0d8-afa6-485d-ac2b-b1b1d2285ba1,Media Relations,001-930-948-1077x706,Daniel@healthcare.org,['et'],811.813.1263x791
52b359f6-a27c-4c3c-8e5a-9dfec6daf2d3,General Inquiries,(0844)-301912,Lam@healthcare.org,['nl'],+31(0)33-4088601
dc73a425-61e7-416c-8f83-98489c158d18,General Inquiries,4884559026,Parker@healthcare.org,"['de', 'en']",412.937.9332x36599
089c5e3b-6edf-4417-9f99-f47da950e065,Administrative,+31429 635460,Delgado@healthcare.org,"['nl', 'en']",(0053) 573452
f5803a24-6625-4492-9972-f38cafcda4cf,Billing,+1-862-637-6254x25660,Smith@healthcare.org,['de'],+1-287-409-1662
b616a54d-dd04-4b55-94d3-afade4248fd1,Administrative,+1-219-972-9904x560,Newton@healthcare.org,"['de', 'en']",854-727-3852
97d4f959-be87-4bab-a5ae-e266dab65237,General Inquiries,600.540.4943x8856,Arnold@healthcare.org,['et'],795-239-8522
01b72e1c-9307-4a67-bc84-80fca0772385,Administrative,0749 318642,Jordan@healthcare.org,"['nl', 'en']",+31(0)12 9188966
82fea186-56c2-4850-8a08-7306cd341388,Administrative,429.565.7086x93058,LeePatton@healthcare.org,['de'],+1-557-903-9342x6197
d9f4971a-2218-4fb5-944d-05ed3c4ac363,General Inquiries,2709436666,KimTodd@healthcare.org,"['de', 'en']",(392)794-5067x820
7db38f42-5fbb-4d3a-ada3-496fee9bbc23,Billing,(492)964-8022,LogMartinez@healthcare.org,['et'],001-408-608-6259x118
407b884a-8eeb-4f91-a8dc-8da4ad2fb147,Billing,001-251-337-9378x25278,Johnson@healthcare.org,"['de', 'en']",350.411.6959x75685
331a2df9-3388-462d-9cf8-1b2225952783,Media Relations,+31607 599449,BuckBurke@healthcare.org,"['nl', 'en']",(0620)-743615
dd171a63-39ca-4ec6-881a-8d0f276fa643,General Inquiries,7863408115,GibbsReese@healthcare.org,['de'],402.484.0065x2822
9db6ab26-48e5-4a31-8b47-f2fc0e14029b,Media Relations,+3192-6902906,Burch@healthcare.org,"['nl', 'en']",+31(0)20 0580001
bf6952ad-eaa1-4495-85ee-520a8508ee4d,Administrative,(869)551-6637,Cook@healthcare.org,['de'],(937)569-1448x5809
c4daabef-517d-42ee-a3cb-61fa1037459f,Patient Services,(757)762-9481,Berg@healthcare.org,"['et', 'en']",(757)680-3429
780b6975-9630-4473-8f52-265852436fe7,Billing,416-588-2223,Austin@healthcare.org,"['et', 'en']",8826759451
da0af3a5-58ab-4772-b896-b22ae3d44f3a,Billing,(612)420-9981x39981,ReedFry@healthcare.org,['de'],(910)501-5751x7594
5ec554b6-b385-4210-baf4-6d1efc8a5f39,General Inquiries,(227)990-6196x5387,Guerrero@healthcare.org,"['de', 'en']",+1-714-487-8674x238
a69bafab-fe2d-45aa-bb1c-ef9dee90cd2a,Administrative,820-929-8300,Baker@healthcare.org,"['de', 'en']",001-617-585-5103x374
ff3a12d5-92b7-4416-9e65-972a98a74988,Billing,(054)-6921658,ValenciaThomas@healthcare.org,['nl'],(035)-5645641
11d2e85f-2108-4bfe-91dd-daee7501be15,General Inquiries,001-293-368-4735,PerezBecker@healthcare.org,['de'],456.336.0906x1435
20017306-dfc5-4828-bd0a-ece16bb3be23,Patient Services,+1-561-882-3366x706,Obrien@healthcare.org,"['de', 'en']",001-609-340-9555x72981
1afa43a9-d31d-4303-bd82-aa0d916adb32,Administrative,318.777.2785x2646,Fisher@healthcare.org,"['et', 'en']",873.957.6070
89b33d56-3ff4-4545-9a45-f8d1806e937c,Media Relations,510.425.0592x76367,Novak@healthcare.org,"['et', 'en']",(905)583-5288x9962
eab0f4a4-c686-447d-8be0-375a8e21c3df,Billing,+1-945-373-2585x7675,Bisop@healthcare.org,['et'],(231)226-7835
176d6400-32cf-42c6-9453-d884adaf608f,Appointments,(046)-8811970,FaulknerHoward.Midwifery@dept.healthcare.org,"['nl', 'en']",(0695) 410390
b389e494-415f-438a-a39b-2176aaca10a6,Appointments,+31394-102599,FaulknerHoward.Podiatric@dept.healthcare.org,['nl'],(018)-7656016
c1f574d1-9c1f-48d1-8c0a-cebb7e7ea5da,Emergency,059-3880588,FaulknerHowardToxicologic@dept.healthcare.org,"['nl', 'en']",0270 452519
aa4b6244-3d52-4bfc-9ad2-ddfb0c55af8a,Staff,(051) 8323639,FaulknerHwoard.Primary@dept.healthcare.org,['nl'],(0524)-583375
1959da92-36b8-4666-8c72-5a5dbd291fd7,Emergency,0388-571688,FaulknerHoward.Rheumatologic@dept.healthcare.org,['nl'],+31(0)11-9752436
