original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
929c8ac4-bf28-40fb-a8cb-2f6eee5e256e,2b95ecbc-2a47-4e4a-bd40-e0dae3f06701,Address,city_typo,city,Hantumeruitburen,Hnatumeruitburen
5ab5d4c1-01a9-4f82-a339-931759f6b809,7cb1ba1e-b641-4215-b118-81c4ff0628fc,Address,house_number_suffix,text,Sennasteeg 120,Sennasteeg 120C
6e695b3f-4a17-4d31-934c-cba77dc7b782,a4d093cf-a710-417b-8053-19ffd3c11099,Address,city_typo,city,Eggenburg,Eggenurg
4d1aa07e-aca2-4647-87fa-b649e2631aac,b28ae90b-5452-4e2e-b8f8-612ba1a3190a,Address,city_typo,city,East Anneburgh,East Anneurgh
a2c1e1d4-131b-4956-872a-5ac130c97d34,496538d6-6a72-4ca9-bef7-71eb6c980a39,Address,postal_format,postalCode,1419 XK,1419XK
35951baf-7432-4cbc-983a-f1862d6efa7d,3bd11160-d2e5-4abe-a53c-b4e64c3ba403,Address,city_typo,city,LoÃ«nga,LoÃ«bnga
d3b564b0-8be0-4c3e-9c94-938160c6b3ed,d2db526a-45aa-4b19-9693-cfeaa9667e5e,Address,postal_format,postalCode,4294,4294 
022c88c0-b563-446c-9cbf-0c64c039c71e,4a9a5291-8f90-40e4-9cc1-5f1ce7128de9,Address,city_typo,city,Linz,Lizn
e90a2364-3a03-473e-bb9b-df46f5930c38,18d53c21-13d0-4737-abb4-0b35e635776a,Address,house_number_suffix,text,ReischlstraÃe 16,ReischlstraÃe 16A
02a03b46-f8b8-4e14-a7d8-ed18ce4e682f,b1ca4966-f8f6-4f8a-a810-8b4ae0b23e3b,Address,house_number_suffix,text,Dana-Neumayr-StraÃe 111,Dana-Neumayr-StraÃe 111B
53475d8a-44ba-4427-9e49-dc9e29cf0d42,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
1c7bc6c8-d62f-4e8c-abca-09663eef04eb,ae6c3b1a-3f15-42a3-8c97-1a15202a930c,Address,postal_format,postalCode,83054,83054 
265c2480-2234-4048-9c0e-54d7c307fd76,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
05283e90-fd21-4213-b911-36d16b49d6af,ea6b8e12-caee-44fd-a834-e0e636063193,Address,house_number_suffix,text,Jurrering 133,Jurrering 133C
8057b537-92ec-41d0-b2bb-8a67ec5b03af,8fee583d-e77d-4d1a-8f1c-09ff7737bf5c,Address,house_number_suffix,text,Stockerstr. 105,Stockerstr. 105A
d6a2c379-e0c6-48a7-8748-f7ea72789d75,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
b366dcbc-abbf-4882-affa-0875e4a7c828,04bd6f82-bd42-4a59-bad9-35d8640f5379,Address,house_number_suffix,text,Timboulevard 130,Timboulevard 130A
e9b33269-bd4c-47dc-9c8f-43e5c5b24dc7,0001a267-c2d8-4ce0-8558-1b49ff568030,Address,country_expansion,country,EE,Estonia
b6371a3f-9187-4458-930d-14f22e9db14b,d731fb88-edd6-4670-929c-9f784aac339b,Address,postal_format,postalCode,2791,2791 
44cfc3ca-c3fa-4764-9fd8-a0ca3b036dfd,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
6bc9e970-c48a-4374-86dc-1579647640a1,0567812e-0ccc-43fb-a7af-e32bb5cd7c58,Address,city_typo,city,Å½ukovville,Å½kovville
62d55697-ec36-42c8-ad3f-a0b6de8a6d76,afdf94f1-3e59-4a93-b801-741963d76375,Address,house_number_suffix,text,Nina Courts 41,Nina Courts 41C
e6effcd1-6728-4f94-9370-bdf9d85d37fe,e42b3000-5e6e-48d3-8d01-6f6104dc2d2c,Address,postal_format,postalCode,9244,9244 
b95a9bfb-827f-4f52-b905-b6dc9e888d32,214e0a39-e6b9-486d-a6d4-7e9d2300d26e,Address,postal_format,postalCode,55297,55297 
c04bd397-54a9-4898-bcb7-b35d68298389,36503b2a-b616-4afb-a520-dd938cfda031,Address,house_number_suffix,text,Emirring 54,Emirring 54B
fecce64d-7b3b-4c45-ba36-7d69ff4af608,229a7510-a2ea-4575-a86f-d9bd46017986,Address,house_number_suffix,text,Milanlaan 109,Milanlaan 109B
814c8efb-9e65-4a3c-9164-9612336d5cc0,2a03269d-9b9d-46aa-865c-3db948c13ed7,Address,postal_format,postalCode,18879,18879 
fbb2b573-d757-49e8-96ee-7a6cc271a2b9,ccc9ccfc-8111-449f-97ea-568c40b0aa75,Address,city_typo,city,Alexandermouth,Alexandermoouth
51176e9b-5fa7-4396-b671-6ac7f78641eb,fe04a70d-f518-4ce8-b8e4-a280d1be24fe,Address,postal_format,postalCode,9317,9317 
b5f5cf3e-3ae7-4934-88ee-fc0581b02aef,846c50d8-3656-47ec-9495-cef4c717f0fc,Address,country_expansion,country,AT,Austria
c13e66af-3c95-40d3-be2a-ad3e82221345,b19e72cb-1018-49d5-83e9-4ed2bc1958cc,Address,postal_format,postalCode,57329,57329 
21ab9e3d-fdf4-4f09-bd87-d79311705ee3,f9acedc2-407e-4a0d-87c9-34cfea143e2c,Address,city_typo,city,KÃ¼tttown,KÃ¼etttown
0b31eed4-42d1-4e27-a7d3-c6611f0b3735,846c50d8-3656-47ec-9495-cef4c717f0fc,Address,country_expansion,country,AT,Austria
47006868-578e-451a-8a99-908598f1d552,471fdb28-6361-4b79-8186-76658296e1e5,Address,house_number_suffix,text,Zimmermannstr. 33,Zimmermannstr. 33C
5cf10f05-e927-4cd1-8763-9a9fa4134092,3791528d-1564-4572-98d6-172f987fbf6a,Address,city_typo,city,Drosendorf-Zissersdorf 1,Drosendorf-Zissersorf 1
d6b0d495-3961-4bfb-956a-5e5a2627f1dd,b0b58c15-0b26-49dc-9171-b25d5a1c82a9,Address,postal_format,postalCode,56893,56893 
054efa50-4962-473b-a0f9-986ab2363b7e,ab184266-b907-44fb-af2a-de8c4082eb7e,Address,city_typo,city,Hoofddorp,Hoofddopr
6659150a-4287-4640-bb86-058b00ce4721,3fde721c-ee9e-41fa-b78d-2e69f4dba8d9,Address,postal_format,postalCode,3433,3433 
c3629df7-6898-4668-9f18-1e4f394e61fe,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
bc67b332-a89d-4114-9841-c24912882f60,846c50d8-3656-47ec-9495-cef4c717f0fc,Address,country_expansion,country,AT,Austria
5f7e3898-2ddb-4eff-9da7-2833e1bfbdfa,eee5a279-e8ca-446a-a056-4a39a5dd8201,Address,postal_format,postalCode,6753 AG,6753AG
9cdeb3e6-0870-415c-afcd-81b5d24bace4,716d9414-0803-4b4a-9645-6e4ca8d7e826,Address,postal_format,postalCode,64161,64161 
3d05e7c4-49b0-4f3a-a4b4-1b9f68986032,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
335be677-df1b-425e-af66-be879a4c2227,a91dad33-6bae-4951-9f78-c19d5fae7da7,Address,city_typo,city,Dearsum,Deearsum
079b6afb-cce4-4ca7-9043-c53ae6739bcf,0001a267-c2d8-4ce0-8558-1b49ff568030,Address,country_expansion,country,EE,Estonia
5e146c30-bd2c-4b8d-b9eb-fa326c1b6811,a3441d16-4d64-4850-9838-d93010508005,Address,house_number_suffix,text,Mikastraat 133,Mikastraat 133A
0534756e-86ae-4731-ba72-ec894d34b9c9,55a98760-6627-4506-ae3a-fdeb2987e6f3,Address,postal_format,postalCode,2501 AW,2501AW
cc552e29-1187-4fe4-81b4-f9bd2a80c809,846c50d8-3656-47ec-9495-cef4c717f0fc,Address,country_expansion,country,AT,Austria
ea5fe267-5877-4d3a-a8b5-a07a9659a673,af1892e0-a421-4c5a-9ade-22862bd45cd5,Address,postal_format,postalCode,2375,2375 
0ce131dc-eece-4051-94b6-35d80f23d695,c13283d6-b7b5-40ed-b72a-0835a66e3113,Address,house_number_suffix,text,Deandreef 26,Deandreef 26B
eb63d7ef-1540-454d-a644-d4f4e0985dd3,5f1bd5f2-cb38-46ad-8927-477b15140bb4,Address,city_typo,city,KÃ¶flach,KÃ¶flah
8c9ebc8a-5984-4e66-8895-3e23f2c1c87d,b4fd27ed-2c94-435e-87c9-06819caa50e7,Address,house_number_suffix,text,Calvin-Mitter-StraÃe 50,Calvin-Mitter-StraÃe 50B
b6c3763f-c084-4b5f-beb2-85ef479935f6,846c50d8-3656-47ec-9495-cef4c717f0fc,Address,country_expansion,country,AT,Austria
5bc700fd-3e7a-48ac-98fd-da4de2d42608,5e8b0384-91c2-4040-a486-4092b13bd311,Address,postal_format,postalCode,8890,8890 
73522179-16d4-487e-ac18-2c289284cc11,8b5439a4-6bb7-47d6-8b0d-2f8b83b45dd0,Address,house_number_suffix,text,NadeÅ¾da Parkway 139,NadeÅ¾da Parkway 139A
787c4a51-736d-4f07-8be6-2444e55766e3,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Address,country_expansion,country,NL,Netherlands
aa07c6e1-b284-4450-bec2-64ee8d6ba9fc,0e8892af-4b32-44a7-a243-087f2616483b,Address,postal_format,postalCode,4124 IT,4124IT
b90f8320-e2a3-4bd5-95c0-57741912f354,4b1fc6bc-5944-422d-97f7-02183f25e3c3,Address,house_number_suffix,text,Steinlechnerring 79,Steinlechnerring 79A
3899c22a-d4ed-41bd-9692-74a2acbe4ff6,3ba80188-7c5c-48c4-82ab-d35ff27b0421,Address,city_typo,city,Antsside,Antside
f7f6b599-6f1c-4ff4-bf84-8dfcefd622d7,599d8c29-ccc9-47e7-803d-5d27b46a3d73,Address,house_number_suffix,text,Petra-Falkner-StraÃe 107,Petra-Falkner-StraÃe 107A
c78ad66d-4a9b-4c00-992e-dd37379c05da,651caad3-6cdf-4d0f-9738-e57c836446b9,Address,city_typo,city,Oosterland,Oosetrland
3b6b8130-f687-4f7a-b683-4a01bdb5ff1d,9711809e-341b-4cdd-b5af-db6404c4faf0,Address,city_typo,city,Uithuizermeeden,Uithuidzermeeden
4e48ce3c-38a1-408d-b06f-0d4ac4092209,6955b8ee-4ad8-40c3-9c84-eec5bdd686cf,Address,postal_format,postalCode,2114 MG,2114MG
