identifier,text,city,postalCode,country
daf66c5f-2577-4ffa-887a-746319c16a0d,Sulzergasse 127,Kufstein,9573,AT
19d5f970-98b3-4c6e-8a14-b90a7795e986,Andrei Parkway 88,Maiechester,20239,EE
bb0378eb-7a62-422e-9d69-d9fc4b1cb8bd,Ceylindreef 78,Zuidlaren,1398 JL,NL
ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,Majaring 76,Maasvlakte Rotterdam,2121 YN,NL
7d859725-c707-4ef9-86c3-744cc88e03b6,Jordyring 13,Den Velde,5324 WR,NL
27649a62-b02d-452c-9b05-0db28ee4fd02,Masonboulevard 35,De Bult,1117 FZ,NL
8b279c29-a274-40d7-b4a5-cc36692a7bce,Benteboulevard 95,Vorchten,5736 ES,NL
1095e497-3d79-4f0b-a6cd-3595d4f0d65d,Hahnweg 92,Grein,3985,AT
3856be31-f568-49c6-833c-14694f06ea18,Zakariasingel 13,Arcen,9541 QT,NL
6756264d-c864-4f78-beaf-167952b04994,Femkelaan 52,Gapinge,4271 LL,NL
4598244b-f0bd-4405-a50d-d400a27ee80d,Maryam-Buchegger-Straße 80,Gänserndorf,2354,AT
541d1a81-4815-442c-a2bb-62833d83ad7c,Bilalhof 68,Muntendam,1625 AP,NL
6bc9e970-c48a-4374-86dc-1579647640a1,Elena Station 124,Žukovville,95238,EE
568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,Hauserweg 75,Ferlach,8522,AT
99755cb9-7c76-4592-a73e-3f3b5c27761d,Meelis Haven 129,Markberg,37304,EE
ea4f44cf-eafd-480b-9ec8-633fb73888a4,Johann-Neulinger-Platz 32,Litschau,7229,AT
60c36cdd-9937-4592-985a-eb983d9f3e80,Chris-Grünberger-Platz 54,Vils,3867,AT
d35f581e-3648-431f-ae9e-8d0384983111,Raphael-Lengauer-Platz 79,Wilhelmsburg,9664,AT
b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,Richard-Hummer-Weg 9,Lienz,6840,AT
853a9135-3ee2-451b-be88-c93319db1d7b,Katarina-Rohrer-Gasse 42,Perg,9956,AT
faa83536-d3d7-49d5-a430-1b871322439a,Biedermannweg 31,Schrattenthal,5842,AT
a4b0c73b-f74e-41a1-a2e5-b72606b9370b,Katharina-Foidl-Straße 113,Kindberg,8973,AT
eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,Mati Inlet 51,Toomasville,82891,EE
ad82e067-ab35-4414-8ed2-b26b1fda2e53,Klaas Pine 145,Lake Kristiinaburgh,77679,EE
