identifier,institution,department,jobTitle,email
5daf0820-9785-4a83-a7f9-9c9a22b379e8,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1f217475-66f0-4769-8909-c1ba18fa5472,Doula,ashleywilliams@healthcare.org
7ae4e43d-7d52-4610-8e6a-b0581d95cd58,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1f217475-66f0-4769-8909-c1ba18fa5472,Midwife,alexbaldin@healthcare.org
f3d34739-21fa-4eae-99d7-2a85d3fe512d,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,Pulmonary Function Technologist,chriistinelewis@healthcare.org
2843b89e-82b3-4a81-a40d-e6cadbf5995c,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,Pulmonary Function Technologist,elizabethknenedy@healthcare.org
f63b6e0a-e040-4da9-96fb-6648b37c7879,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,aef82d2e-51f8-4e44-924b-ba5b82042c0b,Obstetrician,reneejohnson@healthcare.org
423dc073-0a12-4538-851e-d79eff31d319,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,aef82d2e-51f8-4e44-924b-ba5b82042c0b,Labor & Delivery Nurse,briannathompson@healthcare.org
e7e3a731-121b-4395-8472-d9f275214880,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,Neurological Nurse,christopherteele@healthcare.org
248b927c-e1d5-4c65-969c-1e18e875238b,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,Neurologist,robinmeyer@healthcare.org
3b04efb9-9f31-40a4-abb0-584de1e15620,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,93c3150d-77c3-404f-9f7a-46b8450000a1,Surgical Nurse,stuarthutchinson@healthcare.org
5bf2a877-4af1-4167-952c-0925f47738fc,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,93c3150d-77c3-404f-9f7a-46b8450000a1,Surgical Nurse,paulurton@healthcare.org
4540685c-6232-4fcf-ab22-05d69b781c7b,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,3ca58162-4509-47a7-a2bc-5350a627e31d,Neonatal Nurse,jadegardner@healthcare.org
6194cf15-2e09-42c8-9c8b-de5ed0f19725,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,3ca58162-4509-47a7-a2bc-5350a627e31d,Obstetrician,paulmorrris@healthcare.org
23a58d65-10c2-4a78-a703-7ab731877842,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,56c16359-352f-4341-83fa-a677b1a8e5c6,Renal Dietitian,karehnoward@healthcare.org
57877273-c306-4174-92de-aaee7d08591b,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,56c16359-352f-4341-83fa-a677b1a8e5c6,Dialysis Nurse,ercicmoore@healthcare.org
2535b6f2-3210-4d45-9e45-8beca33e0d86,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,Neurologist,timxothythompson@healthcare.org
221ccc12-f33b-498b-a34d-c7dfde132db3,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1f217475-66f0-4769-8909-c1ba18fa5472,Obstetric Nurse,ronaldmorreno@healthcare.org
cd4b5295-6d70-4eea-8e3d-5f76e9f77d0d,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1f217475-66f0-4769-8909-c1ba18fa5472,Doula,markcortez@healthcare.org
083b51c6-fef0-43ab-ba39-bee39234a4e5,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1f217475-66f0-4769-8909-c1ba18fa5472,Obstetric Nurse,sarahphillips@healthcare.org
39e4f4b8-d56d-4f3b-abd0-14b5b71231f1,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,EEG Technician,deeborahlewis@healthcare.org
9379b357-3b90-4b8a-9242-858df5d7f0fa,fc6c6519-2c48-45be-91f8-38bdfd3562d2,6bfed001-18bc-4a21-b887-d3e9a3171056,CT Scan Technician,heahterhogan@healthcare.org
1501d8a4-1f1a-468e-b636-56ef284dadf3,fc6c6519-2c48-45be-91f8-38bdfd3562d2,6bfed001-18bc-4a21-b887-d3e9a3171056,CT Scan Technician,kathleyenmullins@healthcare.org
