identifier,text,city,postalCode,country
6ad9f1f3-6cec-49a1-b70d-62cef6449a3a,Sulzergasse 127B,Kufstein,9573,AT
7b63c53e-6b9f-42e4-8f88-e955994d36b8,Andrei Parkway 88,Maiechester,20239 ,EE
82889986-1a44-4c69-8d38-5ea560b073b4,Ceylindreef 78B,Zuidlaren,1398 JL,NL
558c1de6-a069-435d-b2d6-7f481f94bc1d,Majaring 76B,Maasvlakte Rotterdam,2121 YN,NL
47d6af77-8705-4c59-ac95-a96fa9f52e8b,Jordyring 13B,Den Velde,5324 WR,NL
f758abe9-f534-480f-a4bc-d1dbd3a50b38,Masonboulevard 35,De Bult,1117 FZ,NL
b4e4d345-209d-42fb-bf2b-3196cc360c99,Benteboulevard 95B,Vorchten,5736 ES,NL
679dbeb2-2136-402b-811b-c2471abca0b2,Hahnweg 92,Grein,3985,Austria
4da4229a-053a-41be-bb8c-cf6c7117e000,Zakariasingel 13,Arcen,9541 QT,NL
8cd26987-f9a7-4823-9c2f-e4108859dbf2,Femkelaan 52B,Gapinge,4271 LL,NL
c47b51c8-4feb-46d6-a99f-fdcbb56aaa20,Maryam-Buchegger-Straße 80,GÃ¤nserndorrf,2354,AT
a26599c2-c1e3-4595-982d-515d344bbc43,Bilalhof 68,Muntendam,1625AP,NL
019329ac-a429-41fc-ae6d-e7afd8cc3a1f,Elena Station 124B,Žukovville,95238,EE
a2e534a2-1ae3-4981-a16d-51361091ee65,Hauserweg 75,Ferlach,8522 ,AT
4af53614-5cb6-4067-a92e-f8fd7a0f5d74,Meelis Haven 129C,Markberg,37304,EE
585de319-b16e-4ff3-9341-743c240f4f1f,Johann-Neulinger-Platz 32,Litschau,7229 ,AT
8fdfdc06-c58a-423e-873e-53f9a5430e9b,Chris-Grünberger-Platz 54,Vils,3867,Austria
20422917-a16b-4b65-b7e8-6b8691f72585,Raphael-Lengauer-Platz 79,Wlhelmsburg,9664,AT
0658e919-edb5-43c6-b3e1-fd7cb9d65bd3,Richard-Hummer-Weg 9,Liennz,6840,AT
fdce7129-5e40-43ea-96e2-a428d9964a8c,Katarina-Rohrer-Gasse 42A,Perg,9956,AT
08aeffd2-e7f4-415e-9bbb-294bf83fd529,Biedermannweg 31B,Schrattenthal,5842,AT
394d583d-eaec-487f-98b8-d9c8de52548b,Katharina-Foidl-StraÃe 113A,Kindberg,8973,AT
57c5a063-667a-49a3-b13d-dac96fdaacf9,Mati Inlet 51,Toomasville,82891 ,EE
4e8f1f2f-2dda-49ab-8334-ee02549937e1,Klaas Pine 145B,Lake Kristiinaburgh,77679,EE
