original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
0e8cff18-9e9d-4b77-ba34-b580eda0a0af,b43baeb2-62b1-4c36-99a2-e67258cf1235,Address,house_number_suffix,text,Leahbaan 26,Leahbaan 26B
1095e497-3d79-4f0b-a6cd-3595d4f0d65d,679dbeb2-2136-402b-811b-c2471abca0b2,Address,country_expansion,country,AT,Austria
3899c22a-d4ed-41bd-9692-74a2acbe4ff6,32fd16b8-2e2d-4257-9bd2-e411bfc5e5ce,Address,house_number_suffix,text,Siim Corners 52,Siim Corners 52C
541d1a81-4815-442c-a2bb-62833d83ad7c,a26599c2-c1e3-4595-982d-515d344bbc43,Address,postal_format,postalCode,1625 AP,1625AP
603fa8f0-1549-4dee-830b-4d6d9575d095,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
eedbba8b-0f83-41ee-b2ac-89bdb2998fa3,e9b93ff7-1d3c-4297-b080-5fb4cb77938d,Address,house_number_suffix,text,Linda Expressway 107,Linda Expressway 107B
853a9135-3ee2-451b-be88-c93319db1d7b,fdce7129-5e40-43ea-96e2-a428d9964a8c,Address,house_number_suffix,text,Katarina-Rohrer-Gasse 42,Katarina-Rohrer-Gasse 42A
7c5246f1-8fe5-475b-b771-877e141e39e7,fe5773b7-d827-412d-86ad-579c63f3b2d0,Address,city_typo,city,Bunschoten-Spakenburg,Bunnschoten-Spakenburg
eae9c546-446c-4893-89d3-cdb9ebb9aa72,86e83feb-1163-40a8-aaf2-f91817533642,Address,postal_format,postalCode,6850 ER,6850ER
100cfe80-2132-4c24-81b3-77bd59eae69a,17c81b33-341f-40eb-8766-b0a5676d41fd,Address,house_number_suffix,text,Maritweg 143,Maritweg 143C
335be677-df1b-425e-af66-be879a4c2227,cb811cf8-aa07-4228-9eb8-19928c81bfd9,Address,postal_format,postalCode,8883 YA,8883YA
7d859725-c707-4ef9-86c3-744cc88e03b6,47d6af77-8705-4c59-ac95-a96fa9f52e8b,Address,house_number_suffix,text,Jordyring 13,Jordyring 13B
d35f581e-3648-431f-ae9e-8d0384983111,20422917-a16b-4b65-b7e8-6b8691f72585,Address,city_typo,city,Wilhelmsburg,Wlhelmsburg
6bc9e970-c48a-4374-86dc-1579647640a1,019329ac-a429-41fc-ae6d-e7afd8cc3a1f,Address,house_number_suffix,text,Elena Station 124,Elena Station 124B
5a8fe4b2-8ffd-4977-85b8-93b04d36c61a,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
aace1c9a-1c59-4fa1-b543-be48696b7284,80ab3c8a-4209-49dd-9726-06429894fa79,Address,city_typo,city,Sandermouth,Sanddermouth
71494031-67ef-4e9e-803f-00347399a177,ef025bd0-46d6-485f-96cd-cf3680d42938,Address,postal_format,postalCode,9277 GF,9277GF
ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,558c1de6-a069-435d-b2d6-7f481f94bc1d,Address,house_number_suffix,text,Majaring 76,Majaring 76B
636164d8-bb88-41b8-9be5-f8a138462e03,667694b6-1426-4b05-aaec-c7b0a317671e,Address,city_typo,city,Abramovfurt,Abrmovfurt
406ec398-9a4a-4a9c-a735-a17352ec0382,5b698429-b19f-422e-ae97-c6bf68e9bc65,Address,city_typo,city,Abbenbroek,Abenbroek
929c8ac4-bf28-40fb-a8cb-2f6eee5e256e,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
970ea1aa-c76f-48ae-adf3-d0246f88c633,07b664b9-e53c-4a14-bfb1-1b3c751d7562,Address,house_number_suffix,text,Mirteweg 112,Mirteweg 112C
c04bd397-54a9-4898-bcb7-b35d68298389,31e1388d-c7c8-4724-87c1-7407164ffabc,Address,house_number_suffix,text,Emirring 54,Emirring 54A
1ae3237f-aa88-4965-9654-7b4d317588ff,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
b9d2aef5-0fd2-4271-b440-d4eb03ed8da8,1781dd2c-0c7a-48c8-8c17-a1be7a9f5c11,Address,house_number_suffix,text,Jensweg 69,Jensweg 69B
f2aaaaf0-e8eb-4ae2-9bc1-c77afa29fad9,65f29fcf-5bcf-4114-84a1-29c7921bd2b2,Address,house_number_suffix,text,Kikipad 130,Kikipad 130A
055c64dd-e478-40a6-9368-e0d60b46b634,723dbbdc-7c06-484f-981f-c83194cb02f1,Address,postal_format,postalCode,2967 UN,2967UN
1ba43eaf-84f4-4346-9301-6d9e87d3b238,7429dbf7-cf0f-4899-ab00-46c384032064,Address,postal_format,postalCode,28799,28799 
da595d3e-a0fe-4e1b-b910-18255057df41,3e063cad-3ae3-4e1b-b603-788e2ab826e4,Address,house_number_suffix,text,Kuus Passage 1,Kuus Passage 1B
daac3c58-e266-44c0-9848-d32e65f628ac,e8484384-60bd-4eaa-91f1-0799a2d76535,Address,postal_format,postalCode,4744 MC,4744MC
02299f58-9071-414d-b4f2-ba8e32fa6380,9879da72-a05a-4068-9847-764592f88d11,Address,postal_format,postalCode,6019 MI,6019MI
a775cc44-ee07-4366-8d2f-e15174c88f42,0fadfe00-a606-4aea-809c-333e5acff386,Address,postal_format,postalCode,6222 LR,6222LR
f01688e4-b43b-4ab8-802b-7d666abb6f15,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
9b935e61-28d1-4f89-87f9-e252d474ae8e,3570a717-347f-4a92-bc58-bb5b432d6382,Address,postal_format,postalCode,69451,69451 
269dc3b6-c740-43ac-b14f-7e995a24e786,46b96bbf-83cf-4c9f-9ff0-e41f9c5bf566,Address,city_typo,city,Geldrop,Geldrpo
eafe0d1f-6e79-4d5f-9314-70c8acb14314,2aa31a70-e17c-4390-8a00-af4dd0e24036,Address,city_typo,city,Lake Matiport,Lake Matipotr
9f78299c-b9a9-4a03-bf8d-c9f2e3a10464,c60079b4-d390-41e0-9b5a-3f7f6bea78ee,Address,house_number_suffix,text,Jortring 2,Jortring 2C
568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,a2e534a2-1ae3-4981-a16d-51361091ee65,Address,postal_format,postalCode,8522,8522 
b2b5591a-9d7f-442b-85e2-b0787a3e9905,3e399322-a415-4b71-b55c-7ef0fb15bff5,Address,city_typo,city,Kattendijke,Kattendije
69259d81-2a2e-4ea7-9834-aeaf0f332bab,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
8b279c29-a274-40d7-b4a5-cc36692a7bce,b4e4d345-209d-42fb-bf2b-3196cc360c99,Address,house_number_suffix,text,Benteboulevard 95,Benteboulevard 95B
61ef4435-69ea-4db8-9541-b40f7635abe4,273326e5-ad5c-4f4b-afd5-75acd0ed68cd,Address,postal_format,postalCode,2946 BJ,2946BJ
5768ba9a-1fa9-4bd6-af25-cbe207fe7ec8,44b91381-97ec-49ce-a2c8-8f5741f4f6dd,Address,house_number_suffix,text,Joeyboulevard 98,Joeyboulevard 98B
43419ace-febd-4b72-ae24-df89e9c5c130,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,57c5a063-667a-49a3-b13d-dac96fdaacf9,Address,postal_format,postalCode,82891,82891 
ea5fe267-5877-4d3a-a8b5-a07a9659a673,e2009e67-2154-4690-8675-543b7aa16f6b,Address,house_number_suffix,text,Obermayrring 94,Obermayrring 94B
4a8b2fae-6209-41c3-afb6-88bbe3a56430,5e64eda4-791a-4d58-960d-971966e28281,Address,house_number_suffix,text,Jolijnsteeg 97,Jolijnsteeg 97C
f84b85e7-da12-4d3a-bcaa-db1a7dcd07ad,0537b076-04ed-42e4-8e0b-1a29dea66d2e,Address,house_number_suffix,text,Katrin Parks 68,Katrin Parks 68C
2802e605-3fe6-4c84-9615-4be95b698ec7,201efe5a-968b-4093-97b1-745088f89613,Address,country_expansion,country,EE,Estonia
ad82e067-ab35-4414-8ed2-b26b1fda2e53,4e8f1f2f-2dda-49ab-8334-ee02549937e1,Address,house_number_suffix,text,Klaas Pine 145,Klaas Pine 145B
cc552e29-1187-4fe4-81b4-f9bd2a80c809,e76c07c8-6b35-461b-b318-b5c2cb033a17,Address,postal_format,postalCode,3548,3548 
c78ad66d-4a9b-4c00-992e-dd37379c05da,0683aa92-85eb-45c7-a435-890bcba72e1d,Address,city_typo,city,Oosterland,Oosterlaand
daf66c5f-2577-4ffa-887a-746319c16a0d,6ad9f1f3-6cec-49a1-b70d-62cef6449a3a,Address,house_number_suffix,text,Sulzergasse 127,Sulzergasse 127B
98e63241-243f-4229-ace4-8fdc68d60b08,c98cd4fd-f9f1-459d-a904-479fdc9bcb55,Address,postal_format,postalCode,6073,6073 
de4452be-1567-43c9-af7a-98c53abe5a8d,8cb9869f-a054-402c-a847-c4936e8c9537,Address,house_number_suffix,text,Andreev Mountains 144,Andreev Mountains 144A
317f1e9b-2ee6-416d-b51e-7fc8d6ab5c68,424cf91e-9470-41b8-867a-7d8c04a2e90e,Address,city_typo,city,Haringhuizen,Haringhuuizen
b31190b6-21e4-4b25-adb2-bb78765d13de,1647a334-a205-45a5-bfe0-08fc1b82bf7d,Address,house_number_suffix,text,Hannalaan 34,Hannalaan 34A
022c88c0-b563-446c-9cbf-0c64c039c71e,679dbeb2-2136-402b-811b-c2471abca0b2,Address,country_expansion,country,AT,Austria
8c4990e1-820d-4c8e-a991-334cba4dede6,c62e652b-6a3d-4af7-ad68-1b3fd75ef186,Address,city_typo,city,Ternitz,Terntz
b366dcbc-abbf-4882-affa-0875e4a7c828,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,Address,country_expansion,country,NL,Netherlands
47006868-578e-451a-8a99-908598f1d552,8d69de6f-861a-478d-8960-ad130cdfa4f1,Address,house_number_suffix,text,Zimmermannstr. 33,Zimmermannstr. 33B
b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,0658e919-edb5-43c6-b3e1-fd7cb9d65bd3,Address,city_typo,city,Lienz,Liennz
a4b0c73b-f74e-41a1-a2e5-b72606b9370b,394d583d-eaec-487f-98b8-d9c8de52548b,Address,house_number_suffix,text,Katharina-Foidl-StraÃe 113,Katharina-Foidl-StraÃe 113A
c44117e6-2c98-49d9-bd88-deb7fc584d66,c3409010-3c5c-4186-b7f6-732de3f9e2d7,Address,postal_format,postalCode,56228,56228 
9883502e-7f32-4e78-a7fe-651efd8c2a6f,fce51bc6-5fcc-4792-907f-2cb648a0599b,Address,city_typo,city,GoÃ«nga,GoÃ«nnga
b95a9bfb-827f-4f52-b905-b6dc9e888d32,77f867a4-0c20-4132-9a54-ef4b1fda4bb0,Address,house_number_suffix,text,JÃµgi Causeway 101,JÃµgi Causeway 101C
700e6a4f-2543-43f8-b349-f09340601a0d,5d8b9009-3bb3-4da4-a84e-5413452a36ad,Address,postal_format,postalCode,1088 FP,1088FP
a7176911-8230-488e-8b29-03f37d2c1e7e,af174767-e50a-4fb0-b6d6-4c31c3a55a3e,Address,city_typo,city,Wernhout,Wernhotu
db03dadf-a10f-4588-b1e1-9146f654f453,353fc8ed-c90e-4c33-9923-952d23456218,Address,postal_format,postalCode,2678 UN,2678UN
bc67b332-a89d-4114-9841-c24912882f60,ac379788-9e50-4872-9898-7fad61c5e1dd,Address,house_number_suffix,text,Anabella-Hartl-Gasse 91,Anabella-Hartl-Gasse 91A
6a2ca004-0465-46d5-a086-f2af3059c498,7f87bc49-374d-4321-a1fb-c024226493ca,Address,postal_format,postalCode,7486,7486 
f3e50e26-2e07-4578-8e4b-b53cf3dacf72,4828bfee-eaaf-4e71-8fcd-204a3f83a35c,Address,city_typo,city,Zuidland,Zuiland
5f7e3898-2ddb-4eff-9da7-2833e1bfbdfa,a2ac42d0-5603-44b0-b7c6-626bfa24cac6,Address,city_typo,city,Den Hoorn,Den Heoorn
