identifier,contactType,phone,email,availableLanguage,fax,changed
f3b0fd8b-6ea3-4267-866f-f5b103c1cde7,Administrative,021-9489241,FaulknerHoward@healthcare.nl,['nl'],+31578 156593,True
0a969959-6ee2-445b-a577-91226c03c280,Administrative,339-733-2871,Ggarrett@healthcare.org,['et'],671.948.4185x83989,True
7b35801d-5f1d-4881-814f-7b2826cb7f66,General Inquiries,886-684-8339,Green@healthcare.org,['et'],275.615.9179x533,
ec295d94-7280-4949-96cb-88722b9b6839,General Inquiries,0935 233769,Nash@healthcare.org,"['nl', 'en']",+31(0)06-9602714,
3077b79f-2fed-443d-bfff-e9b1fb0aa9c2,General Inquiries,(306)565-0300,LopezeKy@healthcare.org,"['de', 'en']",393-244-2176,True
35107c0d-3286-48fd-b189-7de67cd0b662,General Inquiries,(690)297-7658x236,Willbiams@healthcare.org,"['de', 'en']",(224)255-5159,True
20ae9100-9e10-4cd0-9ad3-631fb6bb17a0,General Inquiries,547.779.3615x34926,Brady@healthcare.et,['et'],610-587-3176,True
8f521948-9ece-4bbc-b578-8ea75a21fe0c,Billing,+1-768-275-7738x93055,Garcia@healthcare.de,"['de', 'en']",524.492.6947x11801,True
4ef80402-43e5-4441-ad84-12323e4e2200,Administrative,+31634 896769,SantanSahaw@healthcare.org,"['nl', 'en']",(000) 2489451,True
af984c46-1b21-4507-ac1e-3f23f8f21d41,General Inquiries,+31(0)11-6116207,Chhan@healthcare.org,['nl'],+31(0)60-7541511,True
3c9eaf67-5aae-4420-ba57-75aa00dd713b,Billing,001-604-450-9322x7175,Smmith@healthcare.org,['de'],4353574485,True
185b6504-3ef6-41e9-8ece-a9b9680ca490,Administrative,4618126486,Cater@healthcare.org,"['et', 'en']",951-537-5806x6065,True
92695059-97c9-4d08-b570-3d590bdc6bec,General Inquiries,+31(0)714-543910,Riggs@healthcare.nl,['nl'],+31448 518321,True
e6575795-af14-43b5-a8f8-590ee88a28cd,Administrative,001-660-550-1904x4329,Mathis@healthcare.et,"['et', 'en']",467-956-2566,True
dc4574eb-2a47-4992-ae4d-51e1801e490e,Administrative,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",091-8456708,
260870bc-5b84-444f-ba60-13b1761d019d,General Inquiries,+31(0)163 968373,Williamsilliams@healthcare.org,['nl'],+31919-155875,True
8b225526-5aa3-4dfd-a933-0af723b8f989,Media Relations,001-930-948-1077x706,Daniel@healthcare.et,['et'],811.813.1263x791,True
4d9ef176-c2df-404d-89a4-6ae41ddda768,General Inquiries,(0844)-301912,Lam@healthcare.nl,['nl'],+31(0)33-4088601,True
69b45cff-b58c-4e7a-903b-e7cf5a995fc0,Billing,+1-862-637-6254x25660,Smith@healthcare.de,['de'],+1-287-409-1662,True
23b71f04-a1be-4e4b-b1bd-33f1616b05b6,Administrative,+1-219-972-9904x560,Newton@healthcare.de,"['de', 'en']",854-727-3852,True
c82033ce-8ab1-473a-9208-169f045d9547,General Inquiries,600.540.4943x8856,Arnold@healthcare.et,['et'],795-239-8522,True
9a029f3b-ad58-4b3e-9ea7-2058059f7308,Administrative,429.565.7086x93058,LeePatton@healthcare.org,['de'],+1-557-903-9342x6197,
11997c8b-68e4-40c6-9235-282c88d866c7,Billing,(492)964-8022,LongMartinez@healthcare.et,['et'],001-408-608-6259x118,True
2ebe2dfb-25b5-4dda-8274-2794539996f4,Billing,001-251-337-9378x25278,Johnson@healthcare.de,"['de', 'en']",350.411.6959x75685,True
069edec2-df8b-462c-8308-406366ff30f3,Media Relations,+31607 599449,BuckBurke@healthcare.nl,"['nl', 'en']",(0620)-743615,True
7bed84e6-10cc-4808-9b49-94b86d154c3b,General Inquiries,7863408115,GibbsReese@healthcare.org,['de'],402.484.0065x2822,
dbe249e0-3fa0-4b33-a532-3cbb47ba79b0,Administrative,(869)551-6637,Coook@healthcare.org,['de'],(937)569-1448x5809,True
d74d354b-8313-4b7f-8c35-3db0cd054846,Billing,416-588-2223,Austin@healthcare.org,"['et', 'en']",8826759451,
38b2dcff-98a0-4e99-9eb4-201d4407d8f2,Billing,(612)420-9981x39981,ReedFry@healthcare.de,['de'],(910)501-5751x7594,True
e6f8fa7c-a346-4da9-a6a3-3b8481878982,General Inquiries,(227)990-6196x5387,Guejrrero@healthcare.org,"['de', 'en']",+1-714-487-8674x238,True
daab1ce2-1e4b-41c8-ba43-e65a33b24ebd,Administrative,820-929-8300,Bakeer@healthcare.org,"['de', 'en']",001-617-585-5103x374,True
4c0d8f5b-04ac-45a2-9964-304597e06545,Billing,(054)-6921658,ValenciaThomas@healthcare.nl,['nl'],(035)-5645641,True
492b8c93-f79c-4a14-b39c-deef78bfc599,Patient Services,+1-561-882-3366x706,Obriaen@healthcare.org,"['de', 'en']",001-609-340-9555x72981,True
729f641e-23dc-41ca-ae8a-d57a78ec140e,Administrative,318.777.2785x2646,Fihser@healthcare.org,"['et', 'en']",873.957.6070,True
5ffda8ca-fd80-4189-9548-afac42694713,Billing,+1-945-373-2585x7675,Bishop@healthcare.et,['et'],(231)226-7835,True
97b9efba-ec6d-4166-8cbb-720e115e4bd3,Appointments,(046)-8811970,FaulknerHoward.Midwifery@dept.healthcare.org,"['nl', 'en']",(0695) 410390,
c3efdf7c-2a87-48ee-91d6-60f6e385fe41,Appointments,+31394-102599,FaulkenrHoward.Podiatric@dept.healthcare.org,['nl'],(018)-7656016,True
988ac556-cc71-4279-9bd4-f03229b78fbd,Emergency,059-3880588,FaulknerHoward.Toxicologic@dept.healthcare.nl,"['nl', 'en']",0270 452519,True
eac1a894-f1c9-459d-a82b-e04dd01d38ab,Staff,(051) 8323639,FaulknerHoward.Primary@dept.healthcare.nl,['nl'],(0524)-583375,True
9b7645e6-bbd9-4fe4-865d-f2ae52a00fa8,Emergency,0388-571688,FaulknerHowakrd.Rheumatologic@dept.healthcare.org,['nl'],+31(0)11-9752436,True
d92db7ba-1c17-429a-8640-f4d295966d82,Information,(082) 4906649,FaulknerHoward.Speech@dept.healthcare.nl,"['nl', 'en']",(045) 8771652,True
a55bad05-adc9-482c-8516-8a2214cfc947,Emergency,001-458-761-8374x46670,Garrett.Labboratory@dept.healthcare.org,"['et', 'en']",232.434.2284,True
86f46f90-d451-4f36-b0ea-ca00d20d259d,Referrals,940.373.0626x86368,Garrett.Gynecologic@dept.healthcare.et,['et'],(618)801-0367,True
73a51c79-cfdc-471e-897d-aebc9f7cc72e,Emergency,473-772-9840,Garrett.Anesthesia@dept.healthcare.org,"['et', 'en']",+1-655-948-4207x39657,
13de515f-73be-4609-bf40-c4ed728d4c10,Referrals,936.734.8282,Garrett.Podiatric@dept.healthcare.et,"['et', 'en']",364-678-0347x103,True
67dc5f15-3a13-4251-9ce2-182df0c4a89f,Appointments,3928436755,Garrett.Otolaryngologic@dept.healthcare.org,"['et', 'en']",802-509-8453,
af161d96-a295-48b4-854e-7513dbc6da37,Appointments,+1-402-781-6459x305,Green.Diet@dept.healthcare.org,['et'],+1-847-979-5417x21848,
6a6f2a98-df3b-42f2-b19c-825db2ce5db1,Appointments,001-216-444-1588x1009,Green.Rheumatologmic@dept.healthcare.org,['et'],566-270-5216,True
ac8787ae-87a5-4cf0-9573-80ec90868599,Appointments,+1-407-382-8239,Green.Genetic@dept.healthcare.et,"['et', 'en']",001-374-244-3600,True
59205044-5f38-41eb-abe8-47e80457ec9e,Information,001-711-953-4757x78811,Green.Pulmonary@dept.healthcare.et,['et'],(468)378-6813x2685,True
15817d4d-2a42-4f77-8e0b-9e32f4e83a9d,Staff,397-985-3806x55803,Green.Public@dept.healthcare.et,"['et', 'en']",356-293-8088,True
aeca28c7-de1b-43c1-b814-2613772ca5b1,Information,001-237-952-0782x64973,Green.Community@dept.healthcare.org,"['et', 'en']",+1-892-897-5956x928,
0b276ed7-78ce-4570-8604-74ef32e752e4,Emergency,592-453-2482x89177,Green.AAnesthesia@dept.healthcare.org,['et'],+1-559-731-8734x648,True
4ca002b3-4f47-4a55-80ff-c69d41ddcaa9,Appointments,960-710-5249x87486,Green.Pfublic@dept.healthcare.org,['et'],311.518.0985,True
a772c1fe-895d-4f98-b353-2edd1173e34e,Emergency,544.622.9322,Green.Respiratory@dept.healthcare.et,['et'],742.994.3126x2390,True
320e8285-7ae3-4cf2-bced-fd5fb7afee99,Emergency,(778)908-5327,Green.Urologic@dept.healthcare.et,"['et', 'en']",643.515.7458,True
edefa039-07f8-4d1d-aa9a-62288e385252,Referrals,+31(0)72 1174446,Nash.Midwifery@dept.healthcare.nl,['nl'],094 5710437,True
