identifier,institution,department,jobTitle,email,changed
023d3d23-792e-445a-8772-3b4515cbbace,696f4257-1c66-48bf-8abd-92829c689a7f,833cf90f-f555-4628-9d15-3fb4968051b7,Obstetric Nurse,sahwngreen@healthcare.org,True
e8bff12a-1758-45f2-83e5-12e3536a1a58,696f4257-1c66-48bf-8abd-92829c689a7f,833cf90f-f555-4628-9d15-3fb4968051b7,Midwife,taylozrrios@healthcare.org,True
d14c6503-2e71-4653-ac12-723c17093ba3,696f4257-1c66-48bf-8abd-92829c689a7f,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Podiatrist,alexxandriajones@healthcare.org,True
9d3efd7c-9b23-4829-9bfa-4d33c4783d69,696f4257-1c66-48bf-8abd-92829c689a7f,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,joshuuabarnett@healthcare.org,True
4bb24168-97f9-409b-9a1f-f744d06d1117,696f4257-1c66-48bf-8abd-92829c689a7f,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,sheilajohnnson@healthcare.org,True
6d6fc75b-e352-4374-bd50-377a34e3368e,696f4257-1c66-48bf-8abd-92829c689a7f,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,jordanlpez@healthcare.org,True
4fb7f56f-c5c3-4f21-9687-91681f10559c,696f4257-1c66-48bf-8abd-92829c689a7f,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Medical Assistant,chasesnydr@healthcare.org,True
dd937fb5-8048-4e87-b12d-a6b1c84b1549,696f4257-1c66-48bf-8abd-92829c689a7f,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Primary Care Nurse,ronniegibsn@healthcare.org,True
438b7716-405f-479d-9b6b-7c1af3a35dc1,696f4257-1c66-48bf-8abd-92829c689a7f,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,lindaacain@healthcare.org,True
03691ee1-7088-4f27-bdb8-f3432bbe8b5c,696f4257-1c66-48bf-8abd-92829c689a7f,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,robinjohnson@healthcare.org,
22ea6164-d4c4-4ce2-9484-d68a2796ee75,696f4257-1c66-48bf-8abd-92829c689a7f,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Communication Disorders Specialist,karennjackson@healthcare.org,True
d23c2c53-4af8-4695-aad6-2eb2d6a33051,696f4257-1c66-48bf-8abd-92829c689a7f,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Pathologist,msallisonnkightdvm@healthcare.org,True
88c66721-83a8-445a-b122-0597561a1e0a,696f4257-1c66-48bf-8abd-92829c689a7f,080638c9-4967-49fb-b2e0-2961ac73189c,Rheumatologist,jamiegriffith@healthcare.org,
5f6ee850-0903-42f0-82ba-0012df98d16a,696f4257-1c66-48bf-8abd-92829c689a7f,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Pathologist,timothyfrenchphd@healthcare.org,
51152efe-5355-4542-b00f-60009a243459,696f4257-1c66-48bf-8abd-92829c689a7f,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Therapist,sandrasandoval@healthcare.org,
5482bf85-7445-4aae-bb62-bf3835f32920,696f4257-1c66-48bf-8abd-92829c689a7f,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,davidharrison@healthcare.org,
212a5c3f-eb13-44da-aee6-ddac52d5bd42,696f4257-1c66-48bf-8abd-92829c689a7f,833cf90f-f555-4628-9d15-3fb4968051b7,Doula,stephnmiller@healthcare.org,True
691b7437-153f-4797-b09c-a41a70dbba07,696f4257-1c66-48bf-8abd-92829c689a7f,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,lorettatorres@healthcare.org,True
87d087ca-cf6b-44ba-958d-1269fa6a930b,696f4257-1c66-48bf-8abd-92829c689a7f,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,ausitnwade@healthcare.org,True
68ce52c5-e661-4dfb-b6a3-7820d4c9890d,696f4257-1c66-48bf-8abd-92829c689a7f,833cf90f-f555-4628-9d15-3fb4968051b7,Obstetric Nurse,ashlytyler@healthcare.org,True
2cca5b70-c3d2-4a11-9879-348fb183ccc9,696f4257-1c66-48bf-8abd-92829c689a7f,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,ctaherineramirez@healthcare.org,True
7ae2709e-8d79-4010-8a65-b55c716bf54e,b6401ffe-b8c9-4b7d-b8b8-397ee22be68a,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Medical Laboratory Scientist,kevincooper@healthcare.org,
fd4db479-b17c-470d-b29f-55633a400db2,b6401ffe-b8c9-4b7d-b8b8-397ee22be68a,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Pathologist,karenmitchell@healthcare.org,
1a9100df-69c9-45ca-a81e-6c85a58e5756,b6401ffe-b8c9-4b7d-b8b8-397ee22be68a,65739938-a96e-4bf4-9865-23b8f9154865,Women's Health Nurse,mwichaelpetersen@healthcare.org,True
03f8d13e-e29f-4eb5-b685-eadd7569edc1,b6401ffe-b8c9-4b7d-b8b8-397ee22be68a,65739938-a96e-4bf4-9865-23b8f9154865,Obstetrics Technician,graceadas@healthcare.org,True
3aca0c65-b879-41a0-8462-39f8399bb7ed,b6401ffe-b8c9-4b7d-b8b8-397ee22be68a,4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesiologist,pamelabowers@healthcare.org,
