identifier,contactType,phone,email,availableLanguage,fax
23a7711a-8133-4876-b7eb-dcd9e87a1613,Administrative,021-9489241,FaulknerHoward@healthcare.org,['nl'],+31578 156593
b421eaeb-5340-47ca-baf3-897a3e70f16a,Administrative,339-733-2871,Garrett@healthcare.org,['et'],671.948.4185x83989
09e469e6-ec62-42c8-a648-ee38e07405eb,General Inquiries,886-684-8339,Green@healthcare.org,['et'],275.615.9179x533
14aa451c-a69c-4b85-9432-f8db6a174c1c,General Inquiries,0935 233769,Nash@healthcare.org,"['nl', 'en']",+31(0)06-9602714
b9bdee2d-d663-449d-955e-18b1fa83ada4,General Inquiries,(306)565-0300,LopezKey@healthcare.org,"['de', 'en']",393-244-2176
f24dfdd8-5091-4bdc-8ef0-66d44279b14d,General Inquiries,(690)297-7658x236,Williams@healthcare.org,"['de', 'en']",(224)255-5159
8e751eb7-64d0-4913-991b-8adf0202861c,General Inquiries,547.779.3615x34926,Brady@healthcare.org,['et'],610-587-3176
a36bcb01-67e9-4363-905c-053b25fdacbe,Billing,+1-768-275-7738x93055,Garcia@healthcare.org,"['de', 'en']",524.492.6947x11801
ce1bb02a-cb4d-48d6-adb6-da351734a26c,Administrative,+31634 896769,SantanaShaw@healthcare.org,"['nl', 'en']",(000) 2489451
6d0c62c3-254b-47ae-9d0a-b994f20b575d,General Inquiries,+31(0)11-6116207,Chan@healthcare.org,['nl'],+31(0)60-7541511
1f8941b6-e6a1-440b-b031-f4b9bb6b0095,Billing,001-604-450-9322x7175,Smith@healthcare.org,['de'],4353574485
99e8c828-21da-432c-9c68-d4fd0bd7696f,Administrative,4618126486,Carter@healthcare.org,"['et', 'en']",951-537-5806x6065
86ae9d5c-65ff-4adc-81ae-f3f700109824,General Inquiries,+31(0)714-543910,Riggs@healthcare.org,['nl'],+31448 518321
f305ee95-afb1-40f4-94d4-dad6ddfae808,Administrative,001-660-550-1904x4329,Mathis@healthcare.org,"['et', 'en']",467-956-2566
9626d8c4-344a-4454-b0a6-1c5e707421d4,Administrative,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",091-8456708
01d34690-a795-4c54-8a30-f7cd00fdec23,General Inquiries,+31(0)163 968373,WilliamsWilliams@healthcare.org,['nl'],+31919-155875
df39ccaa-580c-49fc-bb69-e69041300879,Media Relations,001-930-948-1077x706,Daniel@healthcare.org,['et'],811.813.1263x791
8397d412-7118-4b71-8707-e77b4bf0ae53,General Inquiries,(0844)-301912,Lam@healthcare.org,['nl'],+31(0)33-4088601
584d3c02-0ff9-4318-922a-3a6211091978,Billing,+1-862-637-6254x25660,Smith@healthcare.org,['de'],+1-287-409-1662
6d5b7d50-1417-44f9-b7c1-44fb2b16ad04,Administrative,+1-219-972-9904x560,Newton@healthcare.org,"['de', 'en']",854-727-3852
58ba0bf3-675e-4c52-9eb9-5739b8acdd81,General Inquiries,600.540.4943x8856,Arnold@healthcare.org,['et'],795-239-8522
c0037457-0184-4803-9840-fccb2446ecee,Administrative,429.565.7086x93058,LeePatton@healthcare.org,['de'],+1-557-903-9342x6197
abbf66c7-680a-4e2a-866b-d06fa2b4d215,Billing,(492)964-8022,LongMartinez@healthcare.org,['et'],001-408-608-6259x118
e55e44b8-08a6-45b4-8321-0210a43c991d,Billing,001-251-337-9378x25278,Johnson@healthcare.org,"['de', 'en']",350.411.6959x75685
eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9,Media Relations,+31607 599449,BuckBurke@healthcare.org,"['nl', 'en']",(0620)-743615
dba45b5e-1498-465b-b9fe-0a1b7efbe877,General Inquiries,7863408115,GibbsReese@healthcare.org,['de'],402.484.0065x2822
12b34a24-667f-4eeb-8889-832c37773772,Administrative,(869)551-6637,Cook@healthcare.org,['de'],(937)569-1448x5809
76a933cf-65fd-4f69-93a2-5c9b6e3a52d7,Billing,416-588-2223,Austin@healthcare.org,"['et', 'en']",8826759451
fef06b04-68fc-442a-b6f2-59264e60678b,Billing,(612)420-9981x39981,ReedFry@healthcare.org,['de'],(910)501-5751x7594
eb6ec9e0-225f-4457-9662-5aa1056b565f,General Inquiries,(227)990-6196x5387,Guerrero@healthcare.org,"['de', 'en']",+1-714-487-8674x238
5c05c1f3-241d-4e27-8bf4-1e101c622f82,Administrative,820-929-8300,Baker@healthcare.org,"['de', 'en']",001-617-585-5103x374
c6b7e7cb-be0d-44ed-b306-1611ef96a214,Billing,(054)-6921658,ValenciaThomas@healthcare.org,['nl'],(035)-5645641
852d2ee5-0061-4d30-9907-3286329cd43a,Patient Services,+1-561-882-3366x706,Obrien@healthcare.org,"['de', 'en']",001-609-340-9555x72981
e93b4418-b170-41ed-9b04-0be38f41d3e4,Administrative,318.777.2785x2646,Fisher@healthcare.org,"['et', 'en']",873.957.6070
a54e6c8f-ecb3-477a-acef-5e55840658d1,Billing,+1-945-373-2585x7675,Bishop@healthcare.org,['et'],(231)226-7835
a49999cf-87e5-4bbc-a2e9-e671ab341860,Appointments,(046)-8811970,FaulknerHoward.Midwifery@dept.healthcare.org,"['nl', 'en']",(0695) 410390
6251d74d-61f9-4408-b833-0558fb2323e7,Appointments,+31394-102599,FaulknerHoward.Podiatric@dept.healthcare.org,['nl'],(018)-7656016
5804a881-1d8c-4a3b-a261-479043a061c4,Emergency,059-3880588,FaulknerHoward.Toxicologic@dept.healthcare.org,"['nl', 'en']",0270 452519
d733f669-852d-4585-88df-6b197c3ad037,Staff,(051) 8323639,FaulknerHoward.Primary@dept.healthcare.org,['nl'],(0524)-583375
2a9e9a38-1d5a-474c-8da8-40fd4adb0798,Emergency,0388-571688,FaulknerHoward.Rheumatologic@dept.healthcare.org,['nl'],+31(0)11-9752436
0c661a49-4995-4cf1-baaf-500ca74b3d20,Information,(082) 4906649,FaulknerHoward.Speech@dept.healthcare.org,"['nl', 'en']",(045) 8771652
03e3c25b-700b-4433-b5d6-147620f12d46,Emergency,001-458-761-8374x46670,Garrett.Laboratory@dept.healthcare.org,"['et', 'en']",232.434.2284
3f79dd31-beb7-48d6-ab02-1118ae63ad3a,Referrals,940.373.0626x86368,Garrett.Gynecologic@dept.healthcare.org,['et'],(618)801-0367
82e2f424-0dbc-4d25-9aac-e3a3c2f89ef4,Emergency,473-772-9840,Garrett.Anesthesia@dept.healthcare.org,"['et', 'en']",+1-655-948-4207x39657
9090d244-c1d4-4db0-909b-f39cacb1691c,Referrals,936.734.8282,Garrett.Podiatric@dept.healthcare.org,"['et', 'en']",364-678-0347x103
0438b3d4-a81b-4fe3-bda4-8455acac00dc,Appointments,3928436755,Garrett.Otolaryngologic@dept.healthcare.org,"['et', 'en']",802-509-8453
6fa68010-0ddd-49b7-80b4-25aae7eb533c,Appointments,+1-402-781-6459x305,Green.Diet@dept.healthcare.org,['et'],+1-847-979-5417x21848
afbae6c3-4b51-4edb-bb76-8615f6b1465d,Appointments,001-216-444-1588x1009,Green.Rheumatologic@dept.healthcare.org,['et'],566-270-5216
d5562dab-f4a9-44e3-ba4f-4535e45d8903,Appointments,+1-407-382-8239,Green.Genetic@dept.healthcare.org,"['et', 'en']",001-374-244-3600
940f737e-548c-4ec4-a536-5ca8d66a45e9,Information,001-711-953-4757x78811,Green.Pulmonary@dept.healthcare.org,['et'],(468)378-6813x2685
976ae5fb-66f1-40a0-ba1a-262bba13834f,Staff,397-985-3806x55803,Green.Public@dept.healthcare.org,"['et', 'en']",356-293-8088
a5dc7c7b-cfa8-4592-8055-6e426b496a3b,Information,001-237-952-0782x64973,Green.Community@dept.healthcare.org,"['et', 'en']",+1-892-897-5956x928
996d6642-3cf8-4ff0-b49d-f1fff13a9049,Emergency,592-453-2482x89177,Green.Anesthesia@dept.healthcare.org,['et'],+1-559-731-8734x648
d05d2cb9-6b76-411f-bc87-65b6b04a2620,Appointments,960-710-5249x87486,Green.Public@dept.healthcare.org,['et'],311.518.0985
