identifier,contactType,phone,email,availableLanguage,fax,anchor
6aec34db-0567-4adc-b163-72c9ae20cac6,,021-9489241,FaulknerHoward@healthcare.org,['nl'],+31578 156593,23a7711a-8133-4876-b7eb-dcd9e87a1613
465c4bf0-dfe7-4cd8-af9e-3b709285108f,,339-733-2871,Garrett@healthcare.org,['et'],671.948.4185x83989,b421eaeb-5340-47ca-baf3-897a3e70f16a
de73f2d2-7ae6-4563-b2dc-883f72c06c5f,,886-684-8339,Green@healthcare.org,['et'],275.615.9179x533,09e469e6-ec62-42c8-a648-ee38e07405eb
340ea36d-bf99-4323-b9dd-85781d3677b9,,0935 233769,Nash@healthcare.org,"['nl', 'en']",+31(0)06-9602714,14aa451c-a69c-4b85-9432-f8db6a174c1c
195b0842-008c-408b-8106-03d1ef1e951b,,(306)565-0300,LopezKey@healthcare.org,"['de', 'en']",393-244-2176,b9bdee2d-d663-449d-955e-18b1fa83ada4
19f76b87-90ee-4eaa-9fa1-aa4168a15a08,,(690)297-7658x236,Williams@healthcare.org,"['de', 'en']",(224)255-5159,f24dfdd8-5091-4bdc-8ef0-66d44279b14d
99944caf-8600-41c8-a483-73aefbab41e2,,547.779.3615x34926,Brady@healthcare.org,['et'],610-587-3176,8e751eb7-64d0-4913-991b-8adf0202861c
5983f256-40ba-40d1-8937-904bdd03844b,,+1-768-275-7738x93055,Garcia@healthcare.org,"['de', 'en']",524.492.6947x11801,a36bcb01-67e9-4363-905c-053b25fdacbe
f96719da-5ed0-41f3-80b2-10e37893c5ca,,+31634 896769,SantanaShaw@healthcare.org,"['nl', 'en']",(000) 2489451,ce1bb02a-cb4d-48d6-adb6-da351734a26c
29e1c6f6-db75-47cc-934b-7aa3e22b8ff7,,+31(0)11-6116207,Chan@healthcare.org,['nl'],+31(0)60-7541511,6d0c62c3-254b-47ae-9d0a-b994f20b575d
34d87b15-4bd9-4435-b77d-d9129db59b1d,,001-604-450-9322x7175,Smith@healthcare.org,['de'],4353574485,1f8941b6-e6a1-440b-b031-f4b9bb6b0095
633cf2aa-5fb9-4cf7-89a7-ca73100f2eed,,4618126486,Carter@healthcare.org,"['et', 'en']",951-537-5806x6065,99e8c828-21da-432c-9c68-d4fd0bd7696f
bd90e501-c920-41b9-97a8-61569593a40a,,+31(0)714-543910,Riggs@healthcare.org,['nl'],+31448 518321,86ae9d5c-65ff-4adc-81ae-f3f700109824
5cb13f56-d951-4615-afbc-69f52c949595,,001-660-550-1904x4329,Mathis@healthcare.org,"['et', 'en']",467-956-2566,f305ee95-afb1-40f4-94d4-dad6ddfae808
8292ebf9-e105-4e8a-8615-b5f3fc3effe1,,060 3125023,PriceRobinson@healthcare.org,"['nl', 'en']",091-8456708,9626d8c4-344a-4454-b0a6-1c5e707421d4
