identifier,text,city,postalCode,country,anchor
6d43ae51-3784-4822-b0e8-a02aad71aa58,Lukassteeg 84,Oud Zuilen,5579 YN,NL,c8a70639-eb11-47b3-a7a9-c3787c65c1e5
1cb03f57-d876-4b4b-a4b7-87bf0870df7c,Anne Stravenue 82,Andreiside,45067,Estonia,d3290a4c-b5d3-4b16-a619-4cb1d71037d1
d22beebb-723c-4980-872e-65f1b604c920,Kaasik Field 107,Reetbury,64161 ,EE,9cdeb3e6-0870-415c-afcd-81b5d24bace4
34115f23-d12a-438d-aff3-08287fa692cf,Pimstraat 126,Lengel,3250 EH,NL,971c702d-5bf4-4c04-ac64-2b4c49b25ded
c8e28126-0a90-48df-91b5-0c56e3ddadc4,Cornelius-Mitterer-Ring 83,Sankt Valentlin,3787,AT,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a
69bc1418-8030-4487-bcf1-d5b8c854a26d,Stefanie-Suppan-Ring 31,Hainburg an der Donau,5910,AT,4745dd9e-2789-4389-9f32-77fd1d77ce40
ce6f0acc-2879-4199-96ba-a5fb392ad84c,Sutt Route 145A,Lake Raivo,33773,EE,15ace7a1-ceca-4ee3-90da-8a9516408169
b57bc570-96b9-4104-ac02-dd7bd7e0417f,Justin-Gross-Straße 126,Tenritz,4294,AT,d3b564b0-8be0-4c3e-9c94-938160c6b3ed
fb935cdf-247d-4d41-8cf4-27d2c85de341,Noorweg 85,Sint Jansklooster,9210KF,NL,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20
f7c1ee0b-f595-41f8-9204-b3a2d0a54811,Kyanboulevard 125,Vorden,9898 VS,NL,e38690e7-e27a-48e9-91c3-d1bcc6be6432
be000f7f-cd1f-4c6b-8af1-143c7dee9581,Vito-Tanzer-Ring 46,Frohnleiten,6578 ,AT,24aeba79-e4b8-4987-98ba-0f0e120d7126
12d4db02-e7ef-449c-b05f-133bfc96e5f0,Jekaterina Island 140,South Elena,57329,EE,c13e66af-3c95-40d3-be2a-ad3e82221345
bb15f4cf-ed83-46fd-aa7c-7c9d02d25a29,Lindseyhof 123,Stiens,8173 CV,NL,47b3df41-67c2-4355-8312-1af68b32992a
7b13fcca-2464-45e7-a005-693eb7f77f5e,Sergey Forge 83,Elenafort,10405,Estonia,641659c0-78b6-4daf-9afb-9565068a3c38
c41fcc81-adc4-483c-a998-6c233994b70c,Timpad 65,Meterik,9641 EG,Netherlands,6d62e40c-638d-421a-bbc5-9e92ca1209ad
d659d450-f1af-43a0-9330-57a70c854961,Zakarialaan 46,Wesens,5380 XN,NL,56525ce0-3725-4d0c-b9c4-5c38b440ffe0
e2aeea49-640f-42f1-b17d-edd1546dbb6c,Olga Key 51,Westt Anna,34769,EE,4053b188-339d-48f5-9658-b1b33012ae1c
2222285c-bcb9-4c30-935e-e7f28fe5f88e,Sophiepad 68,Tonden,6650HE,NL,1b770deb-6f51-4a78-bea2-a33a51d11bcd
e46efadd-8ccd-40cd-91b8-42c3ffb1ed52,Jessica-Bachmann-StraÃe 83B,Zwettl,9873,AT,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2
66736623-7832-46bd-a75d-72fc770daef5,Haslauerplatz 84,Bregenz,4948,AT,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8
d40bfd32-540e-49ea-aed4-48412faf0835,Nikiforov Mountains 28,Aderport,41550,Estonia,88239867-c5dd-467b-88f1-100bfa3222c4
005bd2c1-febe-4465-9c03-ad5f552dfcf6,Helmstr. 61,Ybbs an der Donau,8336 ,AT,fd768f63-5163-4e1d-8df7-a26786fadb0e
5d74e2fa-c660-4e18-8741-e6ccec437e8e,Laura Ville 32,Lakge Peeterfort,56464,EE,067fece7-f1ff-46dc-b45a-a79bd855fb35
bb4bb7ff-9e8b-4cb7-b63a-831d5c0fa1a5,Zettlplatz 114,Hainfeld,7929,AT,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a
0c3895fd-5153-40ce-a88e-32ea82bd09ea,Bilalring 122A,Echteld,7621 AK,NL,4fae667b-b2e7-4e77-8fe1-cedfa5387901
709a4d93-2618-4543-a0fe-fc110affaf48,Reichmannweg 137,Frohnleiten,2476,AT,52a33c33-037e-4725-a5a1-bdaea747795e
a8505325-f465-4a15-bb9b-2d65bc92e27b,Steinkellnergasse 54C,Waidhofen an der Ybbs,2963,AT,e9e7e1ba-916b-41ee-afae-feda6b325d48
9cf4d93f-f532-4ec3-8b64-3b0bc6e6f650,Laas Stream 41,Annuscehster,41165,EE,21d4fb7e-2258-4c89-98cc-f9b4354af1bd
836ede5d-6248-40ab-9731-6bd96fa9a021,Lara-Schön-Weg 67,Rottenmann,4634 ,AT,ea31e67a-e168-4205-bc0a-94de4e245cf7
2d4b7021-a462-4f43-9142-a4bd237f9e99,Benjamin-Tischler-Platz 73,Rnadenthein,7127,AT,68adc28f-8463-416a-be65-6befe0efc989
9b01a512-4741-426c-bdfe-667f391fe72d,Franz-Marx-Straße 1,Oberndorf bei Slazburg,2976,AT,8e5f37fa-68f4-4b51-b3fa-861390ed41f4
8bd74bf8-ebc6-4489-bfec-194117c6602d,Mikastraat 133,Vehorst,1059 KC,NL,5e146c30-bd2c-4b8d-b9eb-fa326c1b6811
f2584346-4eeb-4698-af21-ecec4f16b497,Alexander-Kopf-Weg 18,Grieskirchen,9040 ,AT,d24e3104-1dd2-4234-a131-24bd01275a63
884a5898-20ab-471d-8274-9b0dd7443312,Marek Fords 19,New Viktoria,59270 ,EE,51cd2c07-a8f7-4b61-b9d2-b2de92bba701
38465feb-c517-4ffa-a8b3-68906c2ff455,Aino Cape 70,Vainmouth,72093 ,EE,7176d181-3e2b-4653-a258-edf30ff0952a
eed44fcc-e9ed-449a-99c3-4b7a4660ea86,Britthof 19,Renesse,9458 SS,Netherlands,fefd320b-f5ef-4a99-810f-5ddfa2251838
68529fa3-aa18-41d6-b381-63efacc6824e,Felixstraat 76,Oldenzijl,4196 EO,NL,d6a2c379-e0c6-48a7-8748-f7ea72789d75
4addf158-e4d7-4435-a94d-a47d0ad751d0,Gerritring 67,Egmound-Binnen,6400 YE,NL,45a16970-a11b-46b0-8823-6adf3f7512c5
4640cf32-2476-487b-8c92-1762f4e6c7d6,Annemijnboulevard 149,Bovenkarspel,1203 IS,NL,20d5c16e-9611-49cf-bfbd-fd47dc7972f0
2109dfc9-da9f-49fa-af55-8e26aa8831f9,Mikepad 33,'s-Graveland,5492CV,NL,039d60ba-9c99-4735-95a6-52a708fce7af
