row,identifier,column,original,new,variation
0,daf66c5f-2577-4ffa-887a-746319c16a0d,postalCode,9573,9573 ,Postal Code Formatting Variations
0,daf66c5f-2577-4ffa-887a-746319c16a0d,city,Kufstein,Kufsetin,City and Locality Name Variations
0,daf66c5f-2577-4ffa-887a-746319c16a0d,text,Sulzergasse 127,Sulzergassr 127,Street Name Manipulation
1,19d5f970-98b3-4c6e-8a14-b90a7795e986,city,Maiechester,aMiechester,City and Locality Name Variations
1,19d5f970-98b3-4c6e-8a14-b90a7795e986,text,Andrei Parkway 88,Andrei Parkway 88B,Street Number Manipulation
1,19d5f970-98b3-4c6e-8a14-b90a7795e986,postalCode,20239,2023 9,Postal Code Formatting Variations
2,bb0378eb-7a62-422e-9d69-d9fc4b1cb8bd,country,NL,Netherlands,Country Representation Variations
3,ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,text,Majaring 76,Majaring 76A,Street Number Manipulation
4,7d859725-c707-4ef9-86c3-744cc88e03b6,country,NL,Netherlands,Country Representation Variations
4,7d859725-c707-4ef9-86c3-744cc88e03b6,text,Jordyring 13,Jordyring 13-1,Street Number Manipulation
5,27649a62-b02d-452c-9b05-0db28ee4fd02,country,NL,Netherlands,Country Representation Variations
6,8b279c29-a274-40d7-b4a5-cc36692a7bce,text,Benteboulevard 95,Benteboulevarq 95,Street Name Manipulation
6,8b279c29-a274-40d7-b4a5-cc36692a7bce,city,Vorchten,Vorchetn,City and Locality Name Variations
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,postalCode,3985,3985 ,Postal Code Formatting Variations
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,text,Hahnweg 92,Hahnwen 92,Street Name Manipulation
7,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,country,AT,Austria,Country Representation Variations
8,3856be31-f568-49c6-833c-14694f06ea18,text,Zakariasingel 13,Zakariasingel 13B,Street Number Manipulation
8,3856be31-f568-49c6-833c-14694f06ea18,city,Arcen,Arecn,City and Locality Name Variations
9,6756264d-c864-4f78-beaf-167952b04994,postalCode,4271 LL,4271LL,Postal Code Formatting Variations
10,4598244b-f0bd-4405-a50d-d400a27ee80d,postalCode,2354,2354 ,Postal Code Formatting Variations
10,4598244b-f0bd-4405-a50d-d400a27ee80d,city,Gänserndorf,äGnserndorf,City and Locality Name Variations
10,4598244b-f0bd-4405-a50d-d400a27ee80d,country,AT,Austria,Country Representation Variations
11,541d1a81-4815-442c-a2bb-62833d83ad7c,text,Bilalhof 68,Bilalhof 68B,Street Number Manipulation
11,541d1a81-4815-442c-a2bb-62833d83ad7c,postalCode,1625 AP,1625AP,Postal Code Formatting Variations
12,6bc9e970-c48a-4374-86dc-1579647640a1,country,EE,Estonia,Country Representation Variations
12,6bc9e970-c48a-4374-86dc-1579647640a1,text,Elena Station 124,Elena Station 124-1,Street Number Manipulation
12,6bc9e970-c48a-4374-86dc-1579647640a1,postalCode,95238,9523 8,Postal Code Formatting Variations
13,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,city,Ferlach,Ferlcah,City and Locality Name Variations
13,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,text,Hauserweg 75,Hauserweg 75B,Street Number Manipulation
13,568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,country,AT,Austria,Country Representation Variations
14,99755cb9-7c76-4592-a73e-3f3b5c27761d,city,Markberg,Makrberg,City and Locality Name Variations
14,99755cb9-7c76-4592-a73e-3f3b5c27761d,text,Meelis Haven 129,Meelis Haven 129-1,Street Number Manipulation
14,99755cb9-7c76-4592-a73e-3f3b5c27761d,country,EE,Estonia,Country Representation Variations
15,ea4f44cf-eafd-480b-9ec8-633fb73888a4,postalCode,7229,7229 ,Postal Code Formatting Variations
15,ea4f44cf-eafd-480b-9ec8-633fb73888a4,city,Litschau,Litscahu,City and Locality Name Variations
16,60c36cdd-9937-4592-985a-eb983d9f3e80,text,Chris-Grünberger-Platz 54,Chris-Grünberger-Platz 54-1,Street Number Manipulation
16,60c36cdd-9937-4592-985a-eb983d9f3e80,country,AT,Austria,Country Representation Variations
16,60c36cdd-9937-4592-985a-eb983d9f3e80,postalCode,3867,3867 ,Postal Code Formatting Variations
17,d35f581e-3648-431f-ae9e-8d0384983111,text,Raphael-Lengauer-Platz 79,Raphael-Lengauer-Platr 79,Street Name Manipulation
17,d35f581e-3648-431f-ae9e-8d0384983111,postalCode,9664,9664 ,Postal Code Formatting Variations
18,b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,country,AT,Austria,Country Representation Variations
18,b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,city,Lienz,iLenz,City and Locality Name Variations
19,853a9135-3ee2-451b-be88-c93319db1d7b,text,Katarina-Rohrer-Gasse 42,Katarina-Rohrer-Gasse 42A,Street Number Manipulation
19,853a9135-3ee2-451b-be88-c93319db1d7b,city,Perg,Pegr,City and Locality Name Variations
20,faa83536-d3d7-49d5-a430-1b871322439a,city,Schrattenthal,Schrattetnhal,City and Locality Name Variations
20,faa83536-d3d7-49d5-a430-1b871322439a,postalCode,5842,5842 ,Postal Code Formatting Variations
21,a4b0c73b-f74e-41a1-a2e5-b72606b9370b,city,Kindberg,Kindbegr,City and Locality Name Variations
22,eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,text,Mati Inlet 51,Mate Inlet 51,Street Name Manipulation
22,eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,country,EE,Estonia,Country Representation Variations
23,ad82e067-ab35-4414-8ed2-b26b1fda2e53,text,Klaas Pine 145,Klaai Pine 145,Street Name Manipulation
23,ad82e067-ab35-4414-8ed2-b26b1fda2e53,country,EE,Estonia,Country Representation Variations
24,1c7bc6c8-d62f-4e8c-abca-09663eef04eb,country,EE,Estonia,Country Representation Variations
25,da595d3e-a0fe-4e1b-b910-18255057df41,text,Kuus Passage 1,Kuus Passage 1B,Street Number Manipulation
26,21ab9e3d-fdf4-4f09-bd87-d79311705ee3,country,EE,Estonia,Country Representation Variations
27,eafe0d1f-6e79-4d5f-9314-70c8acb14314,text,Jefimov Locks 88,Jefimop Locks 88,Street Name Manipulation
27,eafe0d1f-6e79-4d5f-9314-70c8acb14314,city,Lake Matiport,Lake aMtiport,City and Locality Name Variations
27,eafe0d1f-6e79-4d5f-9314-70c8acb14314,postalCode,30371,3037 1,Postal Code Formatting Variations
28,1ae3237f-aa88-4965-9654-7b4d317588ff,country,NL,Netherlands,Country Representation Variations
29,15f82b2f-bc89-4faf-8cf4-627782dcf736,city,Beinsdorp,Beisndorp,City and Locality Name Variations
29,15f82b2f-bc89-4faf-8cf4-627782dcf736,postalCode,1040 RN,1040RN,Postal Code Formatting Variations
29,15f82b2f-bc89-4faf-8cf4-627782dcf736,text,Lucashof 89,Lucashof 89-1,Street Number Manipulation
30,100cfe80-2132-4c24-81b3-77bd59eae69a,text,Maritweg 143,Maritwek 143,Street Name Manipulation
30,100cfe80-2132-4c24-81b3-77bd59eae69a,city,Den Dungen,Den Dunegn,City and Locality Name Variations
31,e31b328e-3a32-4205-9e26-b29d8615ad73,city,Losser,oLsser,City and Locality Name Variations
31,e31b328e-3a32-4205-9e26-b29d8615ad73,text,Sethring 78,Sethrine 78,Street Name Manipulation
31,e31b328e-3a32-4205-9e26-b29d8615ad73,country,NL,Netherlands,Country Representation Variations
32,b2b5591a-9d7f-442b-85e2-b0787a3e9905,text,Kyaraweg 147,Kyaraweg 147B,Street Number Manipulation
