identifier,text,city,postalCode,country
daf66c5f-2577-4ffa-887a-746319c16a0d,Sulzergassr 127,Kufsetin,9573 ,AT
19d5f970-98b3-4c6e-8a14-b90a7795e986,Andrei Parkway 88B,aMiechester,2023 9,EE
bb0378eb-7a62-422e-9d69-d9fc4b1cb8bd,Ceylindreef 78,Zuidlaren,1398 JL,Netherlands
ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,Majaring 76A,Maasvlakte Rotterdam,2121 YN,NL
7d859725-c707-4ef9-86c3-744cc88e03b6,Jordyring 13-1,Den Velde,5324 WR,Netherlands
27649a62-b02d-452c-9b05-0db28ee4fd02,Masonboulevard 35,De Bult,1117 FZ,Netherlands
8b279c29-a274-40d7-b4a5-cc36692a7bce,Benteboulevarq 95,Vorchetn,5736 ES,NL
1095e497-3d79-4f0b-a6cd-3595d4f0d65d,Hahnwen 92,Grein,3985 ,Austria
3856be31-f568-49c6-833c-14694f06ea18,Zakariasingel 13B,Arecn,9541 QT,NL
6756264d-c864-4f78-beaf-167952b04994,Femkelaan 52,Gapinge,4271LL,NL
4598244b-f0bd-4405-a50d-d400a27ee80d,Maryam-Buchegger-Straße 80,äGnserndorf,2354 ,Austria
541d1a81-4815-442c-a2bb-62833d83ad7c,Bilalhof 68B,Muntendam,1625AP,NL
6bc9e970-c48a-4374-86dc-1579647640a1,Elena Station 124-1,Žukovville,9523 8,Estonia
568d6f3e-f4b4-45aa-adfd-a2912fdb5c0d,Hauserweg 75B,Ferlcah,8522,Austria
99755cb9-7c76-4592-a73e-3f3b5c27761d,Meelis Haven 129-1,Makrberg,37304,Estonia
ea4f44cf-eafd-480b-9ec8-633fb73888a4,Johann-Neulinger-Platz 32,Litscahu,7229 ,AT
60c36cdd-9937-4592-985a-eb983d9f3e80,Chris-Grünberger-Platz 54-1,Vils,3867 ,Austria
d35f581e-3648-431f-ae9e-8d0384983111,Raphael-Lengauer-Platr 79,Wilhelmsburg,9664 ,AT
b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,Richard-Hummer-Weg 9,iLenz,6840,Austria
853a9135-3ee2-451b-be88-c93319db1d7b,Katarina-Rohrer-Gasse 42A,Pegr,9956,AT
faa83536-d3d7-49d5-a430-1b871322439a,Biedermannweg 31,Schrattetnhal,5842 ,AT
a4b0c73b-f74e-41a1-a2e5-b72606b9370b,Katharina-Foidl-Straße 113,Kindbegr,8973,AT
eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,Mate Inlet 51,Toomasville,82891,Estonia
ad82e067-ab35-4414-8ed2-b26b1fda2e53,Klaai Pine 145,Lake Kristiinaburgh,77679,Estonia
1c7bc6c8-d62f-4e8c-abca-09663eef04eb,Sarv Circle 23,Anneville,83054,Estonia
da595d3e-a0fe-4e1b-b910-18255057df41,Kuus Passage 1B,Võsubury,30330,EE
21ab9e3d-fdf4-4f09-bd87-d79311705ee3,Raivo Ford 78,Kütttown,36650,Estonia
eafe0d1f-6e79-4d5f-9314-70c8acb14314,Jefimop Locks 88,Lake aMtiport,3037 1,EE
1ae3237f-aa88-4965-9654-7b4d317588ff,Elizelaan 2,Rien,2167 YB,Netherlands
15f82b2f-bc89-4faf-8cf4-627782dcf736,Lucashof 89-1,Beisndorp,1040RN,NL
100cfe80-2132-4c24-81b3-77bd59eae69a,Maritwek 143,Den Dunegn,3352 ZE,NL
e31b328e-3a32-4205-9e26-b29d8615ad73,Sethrine 78,oLsser,9549 RA,Netherlands
b2b5591a-9d7f-442b-85e2-b0787a3e9905,Kyaraweg 147B,Kattendijke,2578 DX,NL
f2aaaaf0-e8eb-4ae2-9bc1-c77afa29fad9,Kikipad 130,iMll,8908 UH,Netherlands
054efa50-4962-473b-a0f9-986ab2363b7e,Félinewep 114,Hoofddorp,5994 VN,NL
3b6b8130-f687-4f7a-b683-4a01bdb5ff1d,Lexdreef 34,Uithuizermeeden,1278TQ,NL
44cfc3ca-c3fa-4764-9fd8-a0ca3b036dfd,Rensring 147-1,Achterevld,1965WF,NL
2542cff6-0710-41c5-802e-3a7aa1515f1e,Sennaring 75,Beilne,3698 CH,NL
335be677-df1b-425e-af66-be879a4c2227,Nikkiweg 141A,Dearsum,8883 YA,Netherlands
970ea1aa-c76f-48ae-adf3-d0246f88c633,Mirtewex 112,Garsthuizen,4179 IJ,NL
df66946a-0116-4168-bac8-a7602d5df04a,Ilseboulevard 58B,lEburg,6941 VQ,NL
700e6a4f-2543-43f8-b349-f09340601a0d,Colinbaan 105A,Ameide,1088FP,NL
a7fd116e-d8f5-417f-85bd-ca63a100ba8f,Katepad 61B,Wilp,3670 EC,NL
929c8ac4-bf28-40fb-a8cb-2f6eee5e256e,Dewilaan 36,Hantumeruitburen,1392BN,NL
eae9c546-446c-4893-89d3-cdb9ebb9aa72,Rikpan 149,Dirksland,6850ER,Netherlands
f67d2311-33a8-49fd-9091-6a5f97ad1730,Kaisingec 138,Opende,5830 BU,Netherlands
317f1e9b-2ee6-416d-b51e-7fc8d6ab5c68,Lunarins 21,Hairnghuizen,6081 ZG,Netherlands
b41fdcad-e36a-4265-ae51-686507afe1c5,Morrisboulevard 110,Emmeloodr,6368NR,NL
69259d81-2a2e-4ea7-9834-aeaf0f332bab,Olafstraat 113B,Lutjebroek,6617 WI,NL
5f7e3898-2ddb-4eff-9da7-2833e1bfbdfa,Ravisteeg 77,Den Hoorn,6753 AG,Netherlands
9883502e-7f32-4e78-a7fe-651efd8c2a6f,Suusbaan 58B,Goënag,1048 FS,NL
b31190b6-21e4-4b25-adb2-bb78765d13de,Hannalaan 34,Oudeomlen,9767 IG,NL
c04bd397-54a9-4898-bcb7-b35d68298389,Emirrinp 54,nAerveen,8763WJ,NL
25b09e48-1ca1-4fa7-83b8-bbaa7e24238e,Novapad 64,Zandopl,3393KY,NL
45baf444-bb7e-41bf-9b2f-fda39f013834,Lottering 12,Hoogmade,2406DQ,NL
b098a39f-12e9-43c1-a33a-812367ac9755,Michaelweg 27,oWltersum,7527KK,NL
fbfa7549-13ee-4ee8-950e-18400e60f583,Stanpad 81,IJsslestein,1567 IW,Netherlands
db03dadf-a10f-4588-b1e1-9146f654f453,Pienweg 7,Loon,2678UN,Netherlands
055c64dd-e478-40a6-9368-e0d60b46b634,Corneliahov 35,Snakkerburen,2967UN,NL
c78ad66d-4a9b-4c00-992e-dd37379c05da,Jesselaan 86B,Oosterland,3429 II,Netherlands
b366dcbc-abbf-4882-affa-0875e4a7c828,Timboulevard 130A,uLnteren,6148FA,NL
d693bf11-7721-4931-9734-2123e3ed9637,Tijnboulevard 98,Deursen-Dennenburg,9369CH,NL
35152cba-ec4f-46ab-aa07-cfddee9cee1f,Elizawez 94,Meerssen,6745 ZI,Netherlands
d2865c01-77f7-4d19-8ee5-ddf0d996f125,Maritboulevard 50,Eppenhuizen,2638 JB,Netherlands
93a7468c-10c1-4f57-bed6-8dc13265b5b3,Finnbaai 52,Leons,6614 ID,NL
94e5efab-8e36-47af-b1c2-d7b2ed384c44,Robinsteeg 109B,Rottum,2535FY,Netherlands
f01688e4-b43b-4ab8-802b-7d666abb6f15,Silstraav 6,Riethoven,5767 JG,Netherlands
358d3e42-ed1e-454f-9fb7-86f4f61ed233,Gärtnerstr. 91B,Dürnstein,8549 ,Austria
62fe8d68-95f4-4a1f-a1d2-92ab36f4851f,Engelring 10B,Amstetten,8231 ,AT
98e63241-243f-4229-ace4-8fdc68d60b08,Alexa-Grassl-Straße 18,Schärding,6073 ,AT
bc67b332-a89d-4114-9841-c24912882f60,Anabella-Hartl-Gasse 91A,Mattighofen,1357 ,Austria
6a2ca004-0465-46d5-a086-f2af3059c498,Luisa-Stöckl-Ring 60A,Viotsberg,7486 ,AT
09fa0833-e2fe-46d1-8b64-acd73331cc05,Anabella-Klug-Ring 92A,Lagnenlois,3169 ,AT
3e903735-4716-4271-b69c-39b9a73d23a6,Anna-Maria-Nussbaumer-Straße 19,Lnagenlois,7071 ,AT
425aaf83-4eaa-4a65-942f-4290d7bda791,Beatrice-Aschauer-Gassm 40,Frauenkirchen,4961,Austria
47006868-578e-451a-8a99-908598f1d552,Zimmermannstr. 33,Oberpullendrof,5885 ,Austria
269dc3b6-c740-43ac-b14f-7e995a24e786,Jurrelaan 50,Geldrp,7340 LP,Netherlands
5768ba9a-1fa9-4bd6-af25-cbe207fe7ec8,Joeyboulevard 98,Ulrum,9055 LG,Netherlands
71494031-67ef-4e9e-803f-00347399a177,Aydendreef 123A,Akersloot,9277 GF,Netherlands
406ec398-9a4a-4a9c-a735-a17352ec0382,Chloélaan 150A,Abbenbroek,9819 EB,NL
9f78299c-b9a9-4a03-bf8d-c9f2e3a10464,Jortring 2B,Eext,2459 FM,Netherlands
eee13dc0-e1e4-49cf-8dba-6d8f7ab8572c,Timosingel 89,Warstiens,6328KH,Netherlands
48d46113-b50a-4a15-a0ff-f2cb6857548c,Mathijsstraat 61,Ubbea,8664 SC,NL
2985c817-a937-4c86-9f40-ec4712d527a0,Barthof 44,Boekel,6770LM,NL
c3629df7-6898-4668-9f18-1e4f394e61fe,Elikboulevard 29,Tiel,7443CE,NL
a775cc44-ee07-4366-8d2f-e15174c88f42,Wesselhof 101,Norden,6222LR,NL
f1521976-65d6-4b7f-8f9a-fd63236e747e,Saarbaan 80,Weiteveen,4009 AY,NL
02299f58-9071-414d-b4f2-ba8e32fa6380,Merelring 6,Ouderkerk aan den IJssel,6019 MI,Netherlands
a2c1e1d4-131b-4956-872a-5ac130c97d34,Aiméesingel 113,Njeholtpade,1419 XK,Netherlands
f3e50e26-2e07-4578-8e4b-b53cf3dacf72,Evipad 110,Zuidland,6480AA,Netherlands
5a8fe4b2-8ffd-4977-85b8-93b04d36c61a,Ceylinsingel 98B,Heenliet,3713 EU,NL
0e1cae7a-8122-4b3a-a0b8-024401e32354,Pascal-Krammer-Platz 68A,Wilhelmsburg,1802,Austria
c77239f2-2d47-40cc-a5c5-063d4c444d95,Widhalmstr. 51,Radstadt,7118,AT
8057b537-92ec-41d0-b2bb-8a67ec5b03af,Stockerstr. 105,Gerasdorf bei Wien,6380,AT
f95cad47-3b5a-4257-a195-ace68506d5ba,Vincent-Friedrich-Ring 121,Friedbrg,2489,AT
022c88c0-b563-446c-9cbf-0c64c039c71e,Annika-Schuler-Gasse 17,Linz,8046,Austria
4a8b2fae-6209-41c3-afb6-88bbe3a56430,Jolijnsteeg 97,Oudwoude,8582AO,Netherlands
7c5246f1-8fe5-475b-b771-877e141e39e7,Marinusstraat 115,Bunschoten-Spakenburg,8945QR,Netherlands
0e8cff18-9e9d-4b77-ba34-b580eda0a0af,Leazbaan 26,Pernis Rotterdam,4372KD,NL
6f30a7a2-5853-40c4-b053-7fbb2bcdacf3,Lindseydreef 49A,Munnekeburen,4505YN,NL
603fa8f0-1549-4dee-830b-4d6d9575d095,Puckboulevard 64,Lgemeer,6939 BJ,Netherlands
b9d2aef5-0fd2-4271-b440-d4eb03ed8da8,Jefsweg 69,Nispen,3419RX,NL
daac3c58-e266-44c0-9848-d32e65f628ac,Youssefhof 97B,Warmond,4744 MC,NL
43419ace-febd-4b72-ae24-df89e9c5c130,Juliebaan 30B,Barendrecht,2296TV,NL
