row,identifier,column,original,new,variation
0,12f175ff-ae3b-46ec-9a27-d85888c132ad,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation
0,12f175ff-ae3b-46ec-9a27-d85888c132ad,fax,+1-303-621-7300x869,+1-303-621-73006869,Fax Number Typo
1,eb21a3f6-e6fd-48e8-969c-91c278601602,phone,001-323-902-2584,001-324-902-2584,Phone Number Typo
1,eb21a3f6-e6fd-48e8-969c-91c278601602,fax,+1-920-376-9845x64280,+1-920-376-9245x64280,Fax Number Typo
1,eb21a3f6-e6fd-48e8-969c-91c278601602,email,Mcneil@healthcare.org,Mcnecl@healthcare.org,Email Typo
2,122411e6-ba89-42dd-85e6-9ea9db66bfda,availableLanguage,"['nl', 'en']","['Dutch', 'English']",Language Representation Variation
3,0932f5b6-f11d-4ff7-8e37-05265582a3bd,fax,(0670)-172009,(0670)-170009,Fax Number Typo
4,ef151673-a1df-4da7-9d44-c93e7799a8e2,phone,+31194-264183,+31194-564183,Phone Number Typo
5,74151acc-f5a3-4893-bf7a-27482cbb93c2,phone,+31825-717340,+318251717340,Phone Number Typo
5,74151acc-f5a3-4893-bf7a-27482cbb93c2,fax,(0970)-341489,(0970)-341889,Fax Number Typo
5,74151acc-f5a3-4893-bf7a-27482cbb93c2,email,Griffin@healthcare.org,Greffin@healthcare.org,Email Typo
6,9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,phone,+31(0)211 669728,+34(0)211 669728,Phone Number Typo
6,9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,availableLanguage,['nl'],['Dutch'],Language Representation Variation
7,23254d81-2bdf-4727-9501-e917496dc27b,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation
7,23254d81-2bdf-4727-9501-e917496dc27b,email,Parker@healthcare.org,Ptrker@healthcare.org,Email Typo
9,57627626-2037-4089-b11f-a10a0b2975c6,email,Jordan@healthcare.org,Joraan@healthcare.org,Email Typo
10,4e98ce25-1733-4a7c-93e8-36639c14940d,email,KimTodd@healthcare.org,KemTodd@healthcare.org,Email Typo
11,7680891b-6bb6-404e-a0db-22d329e316ad,phone,+3192-6902906,+3192-6903906,Phone Number Typo
11,7680891b-6bb6-404e-a0db-22d329e316ad,email,Burch@healthcare.org,Bunch@healthcare.org,Email Typo
12,29502326-7644-4183-9aab-d22d75ef8aab,email,Berg@healthcare.org,Bexg@healthcare.org,Email Typo
12,29502326-7644-4183-9aab-d22d75ef8aab,phone,(757)762-9481,(757)792-9481,Phone Number Typo
12,29502326-7644-4183-9aab-d22d75ef8aab,fax,(757)680-3429,(757)680-3129,Fax Number Typo
13,fae3fcee-7636-4fd9-8376-ffa876fe579f,fax,456.336.0906x1435,456.336.0906x9435,Fax Number Typo
13,fae3fcee-7636-4fd9-8376-ffa876fe579f,phone,001-293-368-4735,011-293-368-4735,Phone Number Typo
14,eec9fa67-4cc6-42fc-b006-ff85166a1a98,availableLanguage,"['et', 'en']","['Estonian', 'English']",Language Representation Variation
15,42f81126-6c2c-40a7-a4e9-031675f80092,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation
15,42f81126-6c2c-40a7-a4e9-031675f80092,email,Robinson.Midwifery@dept.healthcare.org,Robinson.Midwiiery@dept.healthcare.org,Email Typo
15,42f81126-6c2c-40a7-a4e9-031675f80092,fax,001-889-320-4978x96373,001-8898320-4978x96373,Fax Number Typo
16,d41cc2bc-e335-4f8b-91d5-6acf680fe5e2,email,Robinson.Respiratory@dept.healthcare.org,Robijson.Respiratory@dept.healthcare.org,Email Typo
17,74286356-3c91-4458-a4b2-7e8301cbd9c2,email,Robinson.Obstetric@dept.healthcare.org,Robinson.Obstttric@dept.healthcare.org,Email Typo
17,74286356-3c91-4458-a4b2-7e8301cbd9c2,phone,319.544.6541x9175,309.544.6541x9175,Phone Number Typo
17,74286356-3c91-4458-a4b2-7e8301cbd9c2,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation
18,091523be-650f-4375-a0fc-01e2bcd635cc,email,Robinson.Neurologic@dept.healthcare.org,Robinyon.Neurologic@dept.healthcare.org,Email Typo
19,b5eca796-dc5f-4db7-87b5-2a8b0af01e69,phone,+1-491-974-9486x23198,+7-491-974-9486x23198,Phone Number Typo
20,5536212a-58d7-46da-8f01-3f4e73961f8e,phone,566-904-3319x238,566-904-3519x238,Phone Number Typo
20,5536212a-58d7-46da-8f01-3f4e73961f8e,availableLanguage,"['de', 'en']","['German', 'English']",Language Representation Variation
21,c6d82ceb-a1ac-4d49-8d4d-daab72824622,availableLanguage,['de'],['German'],Language Representation Variation
21,c6d82ceb-a1ac-4d49-8d4d-daab72824622,email,Robinson.Renal@dept.healthcare.org,Rnbinson.Renal@dept.healthcare.org,Email Typo
22,c784499d-6909-4290-9496-a305314a332e,availableLanguage,['et'],['Estonian'],Language Representation Variation
22,c784499d-6909-4290-9496-a305314a332e,phone,(813)857-7256,(813)897-7256,Phone Number Typo
23,24fa9196-f801-4987-8008-cccf565e5ae7,availableLanguage,['et'],['Estonian'],Language Representation Variation
23,24fa9196-f801-4987-8008-cccf565e5ae7,email,Mcneil.Diet@dept.healthcare.org,Mcneid.Diet@dept.healthcare.org,Email Typo
23,24fa9196-f801-4987-8008-cccf565e5ae7,fax,+1-527-660-1015,+1-527-060-1015,Fax Number Typo
24,2a630fd1-71cf-439d-aa1f-ff41af1b7013,fax,741-463-4637,741-463-4677,Fax Number Typo
