identifier,contactType,phone,email,availableLanguage,fax
12f175ff-ae3b-46ec-9a27-d85888c132ad,Patient Services,3132991615,Robinson@healthcare.org,"['German', 'English']",+1-303-621-73006869
eb21a3f6-e6fd-48e8-969c-91c278601602,Media Relations,001-324-902-2584,Mcnecl@healthcare.org,"['et', 'en']",+1-920-376-9245x64280
122411e6-ba89-42dd-85e6-9ea9db66bfda,Patient Services,065-4611877,Peck@healthcare.org,"['Dutch', 'English']",+31517-176045
0932f5b6-f11d-4ff7-8e37-05265582a3bd,Patient Services,(062)-7912560,Allen@healthcare.org,['nl'],(0670)-170009
ef151673-a1df-4da7-9d44-c93e7799a8e2,General Inquiries,+31194-564183,Ibarra@healthcare.org,"['nl', 'en']",067 5375100
74151acc-f5a3-4893-bf7a-27482cbb93c2,Patient Services,+318251717340,Greffin@healthcare.org,"['nl', 'en']",(0970)-341889
9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,Patient Services,+34(0)211 669728,FigueroaStrong@healthcare.org,['Dutch'],057-6377857
23254d81-2bdf-4727-9501-e917496dc27b,General Inquiries,4884559026,Ptrker@healthcare.org,"['German', 'English']",412.937.9332x36599
b4480761-505e-4c9b-8bc8-8bcf7b1d4049,Administrative,+31429 635460,Delgado@healthcare.org,"['nl', 'en']",(0053) 573452
57627626-2037-4089-b11f-a10a0b2975c6,Administrative,0749 318642,Joraan@healthcare.org,"['nl', 'en']",+31(0)12 9188966
4e98ce25-1733-4a7c-93e8-36639c14940d,General Inquiries,2709436666,KemTodd@healthcare.org,"['de', 'en']",(392)794-5067x820
7680891b-6bb6-404e-a0db-22d329e316ad,Media Relations,+3192-6903906,Bunch@healthcare.org,"['nl', 'en']",+31(0)20 0580001
29502326-7644-4183-9aab-d22d75ef8aab,Patient Services,(757)792-9481,Bexg@healthcare.org,"['et', 'en']",(757)680-3129
fae3fcee-7636-4fd9-8376-ffa876fe579f,General Inquiries,011-293-368-4735,PerezBecker@healthcare.org,['de'],456.336.0906x9435
eec9fa67-4cc6-42fc-b006-ff85166a1a98,Media Relations,510.425.0592x76367,Novak@healthcare.org,"['Estonian', 'English']",(905)583-5288x9962
42f81126-6c2c-40a7-a4e9-031675f80092,Information,001-883-421-4756x8056,Robinson.Midwiiery@dept.healthcare.org,"['German', 'English']",001-8898320-4978x96373
d41cc2bc-e335-4f8b-91d5-6acf680fe5e2,Appointments,+1-438-533-7131,Robijson.Respiratory@dept.healthcare.org,"['de', 'en']",+1-298-796-9647
74286356-3c91-4458-a4b2-7e8301cbd9c2,Emergency,309.544.6541x9175,Robinson.Obstttric@dept.healthcare.org,"['German', 'English']",(463)307-4285
091523be-650f-4375-a0fc-01e2bcd635cc,Emergency,(771)442-8397,Robinyon.Neurologic@dept.healthcare.org,['de'],001-929-864-3122
b5eca796-dc5f-4db7-87b5-2a8b0af01e69,Emergency,+7-491-974-9486x23198,Robinson.Surgical@dept.healthcare.org,"['de', 'en']",+1-630-332-9229x9211
5536212a-58d7-46da-8f01-3f4e73961f8e,Staff,566-904-3519x238,Robinson.Obstetric@dept.healthcare.org,"['German', 'English']",304-969-8825x98634
c6d82ceb-a1ac-4d49-8d4d-daab72824622,Emergency,001-848-696-7998x32041,Rnbinson.Renal@dept.healthcare.org,['German'],677.448.6297
c784499d-6909-4290-9496-a305314a332e,Emergency,(813)897-7256,Mcneil.Radiography@dept.healthcare.org,['Estonian'],(591)818-7210x867
24fa9196-f801-4987-8008-cccf565e5ae7,Staff,9156573359,Mcneid.Diet@dept.healthcare.org,['Estonian'],+1-527-060-1015
2a630fd1-71cf-439d-aa1f-ff41af1b7013,Referrals,(274)327-9086,Mcneil.Optometric@dept.healthcare.org,"['et', 'en']",741-463-4677
e16e3336-77b1-4e21-bccc-c53ac36a4162,Emergency,001-645-542-2315x0579,Mcneil.Plastic@dept.healthcare.org,['et'],4172823695
84ddf869-b816-4f1a-9677-013ba8e19b83,Emergency,001-286-594-3160x875,Mcneil.qediatric@dept.healthcare.org,"['Estonian', 'English']",+1-846-578-4101x566
eb5d11e8-b6d2-4ba9-a517-3d1cf7fc0bd9,Referrals,001-999-947-8546x92506,Mcneil.Optometric@dept.healthcare.org,['Estonian'],313-453-609552271
7df8b7f0-44a1-44d0-96df-fc21b1c2ed56,Referrals,+3140-4154313,Peqk.Podiatric@dept.healthcare.org,"['nl', 'en']",(033) 6184256
80082244-1ac5-443b-b7dd-3c21e618d25d,Staff,+31(0)85-2214427,Pech.Speech@dept.healthcare.org,"['nl', 'en']",032-9317356
66ab247a-75fe-400c-8407-32b4ef1772f4,Emergency,(059)-4724061,Peck.Anesthesia@dept.healthcare.org,"['nl', 'en']",(0991)-163416
a7486875-29bd-4604-bed2-7848c6950d85,Staff,+3118 9245773,Peck.Musculoskeletal@dept.healthcare.org,"['Dutch', 'English']",+31(0)29-9252052
49556582-7e54-4d03-aef4-2592ec1c6fe4,Staff,+31913-064853,Peck.Infectkous@dept.healthcare.org,['Dutch'],+31717-201745
047595fb-338b-4372-a00c-ea03b7d52dce,Appointments,+31(0)984-690815,Peck.Neurologic@dept.healthcare.org,"['Dutch', 'English']",0621 408435
a1fa46f3-4668-4cdd-b5f9-8f4110a15299,Information,+31(0)327-020290,Pejk.Radiography@dept.healthcare.org,"['Dutch', 'English']",+31503 374495
0aa1ee6f-1b04-4aa4-a3f3-3d5519248947,Appointments,+319964776098,Pecu.Rheumatologic@dept.healthcare.org,"['Dutch', 'English']",+31832-948469
5aa970d9-801a-4ff7-a6cd-d662c4e813db,Information,+31(0)153 066453,Allen.Pathology@dept.healthcare.org,"['Dutch', 'English']",(099) 9073842
cec1871a-b5c8-4060-89c7-35079d592a7b,Staff,009-3476195,Allek.Renal@dept.healthcare.org,"['Dutch', 'English']",+31753 990157
d24f6919-7d1d-439e-b453-6a9b7ecbcd45,Emergency,+31(0)872-201716,Allen.Gastroenterologic@dept.healthcare.org,"['Dutch', 'English']",+35219-957937
7e39fd94-f850-4bec-a7f5-794c007ea2cb,Staff,+31747 877914,Allen.Speech@dept.healthcare.org,['Dutch'],(0675) 727514
c47090c6-bad8-4464-959b-0d078f022246,Information,(0874)-206546,AllenmPediatric@dept.healthcare.org,['nl'],000 3615679
28986430-fabd-4787-bd5a-95ecc315c8b0,Emergency,(0338) 006752,IbarradPrimary@dept.healthcare.org,['nl'],+31090 036407
88bf1035-d8cf-4d5c-b35c-f88bfae203e1,Staff,(0884) 832251,Ibarrk.Gynecologic@dept.healthcare.org,['nl'],+3146 6848215
50bbd1c7-f01c-4cc7-bb87-c961fa17e092,Staff,(000) 0035114,Ibarra.Optometric@dept.healthcare.org,"['Dutch', 'English']",0701-634499
689f2d23-100a-4f24-8dd1-5beb5d98abc9,Referrals,054-0275361,Ibarra.Endocrine@dept.healthcare.org,"['nl', 'en']",+31(0)58-1259381
e9e1a3d1-1a12-4068-815c-77ed779571dd,Emergency,(0359)-559966,Ibarra.Splech@dept.healthcare.org,"['nl', 'en']",+3156 6532566
da47b8f9-cee4-4404-9648-1f4b0c747a90,Staff,+31(0)119-890522,Ibagra.Neurologic@dept.healthcare.org,['nl'],+3176-7445627
5351c342-5b7c-48ed-b239-6f882516de06,Information,(01451 901789,Ibarra.Optometric@dept.healthcare.org,['nl'],(001) 7131339
6efeb18f-aaa6-4ef9-bbb6-ba4c140ab78e,Staff,+31(0)778 505017,Ibatra.Pulmonary@dept.healthcare.org,['Dutch'],(003)-8016162
4f5ab827-3b33-445b-952b-c38cce0790d7,Appointments,(6806) 446410,Griffin.Muscvloskeletal@dept.healthcare.org,['nl'],0927 808299
