row,identifier,column,original,new,variation
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,email,ashleywilliams@healthcare.org,ashledwilliams@healthcare.org,Email Typo
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,email,alexbaldwin@healthcare.org,alefbaldwin@healthcare.org,Email Typo
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,jobTitle,Midwife,Midwief,Job Title Typo
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,email,reneejohnson@healthcare.org,rendejohnson@healthcare.org,Email Typo
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,jobTitle,Obstetrician,Obstterician,Job Title Typo
6,5d0857ae-1630-4516-bc90-c415a77cda6a,jobTitle,Neurological Nurse,Neurologicla Nurse,Job Title Typo
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,jobTitle,Surgical Nurse,Surigcal Nurse,Job Title Typo
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,email,stuarthutchinson@healthcare.org,stuarthubchinson@healthcare.org,Email Typo
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,email,paulburton@healthcare.org,paulburtln@healthcare.org,Email Typo
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,jobTitle,Surgical Nurse,Surgcial Nurse,Job Title Typo
10,81abda59-e980-4615-beaf-c6c521dba421,email,jadegardner@healthcare.org,judegardner@healthcare.org,Email Typo
10,81abda59-e980-4615-beaf-c6c521dba421,jobTitle,Neonatal Nurse,Neonaatl Nurse,Job Title Typo
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,email,paulmorris@healthcare.org,paulmorkis@healthcare.org,Email Typo
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,jobTitle,Obstetrician,bOstetrician,Job Title Typo
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,jobTitle,Renal Dietitian,Renal Diettiian,Job Title Typo
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,email,karenhoward@healthcare.org,karknhoward@healthcare.org,Email Typo
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,email,ericmoore@healthcare.org,ericmoqre@healthcare.org,Email Typo
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,jobTitle,Dialysis Nurse,Dailysis Nurse,Job Title Typo
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,jobTitle,Neurologist,Neuroloigst,Job Title Typo
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,email,timothythompson@healthcare.org,timathythompson@healthcare.org,Email Typo
15,f679abc5-4912-4df7-a28f-87a00f7b2413,email,ronaldmoreno@healthcare.org,rynaldmoreno@healthcare.org,Email Typo
15,f679abc5-4912-4df7-a28f-87a00f7b2413,jobTitle,Obstetric Nurse,Obstteric Nurse,Job Title Typo
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,jobTitle,Doula,Doual,Job Title Typo
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,email,markcortez@healthcare.org,markportez@healthcare.org,Email Typo
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,jobTitle,CT Scan Technician,CT Scan Tecnhician,Job Title Typo
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,email,jamesknapp@healthcare.org,jamfsknapp@healthcare.org,Email Typo
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,jobTitle,Nutrition Counselor,Nturition Counselor,Job Title Typo
22,cbf5b541-6cfe-48dc-a0c6-f318029e1c3f,email,brentjones@healthcare.org,brxntjones@healthcare.org,Email Typo
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,email,angelweaver@healthcare.org,angelweaqer@healthcare.org,Email Typo
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,jobTitle,Ophthalmologist,Ophthalmologsit,Job Title Typo
24,f47591bc-c718-4812-8ba6-6229d8191e6c,jobTitle,Vision Therapist,Vision Tehrapist,Job Title Typo
24,f47591bc-c718-4812-8ba6-6229d8191e6c,email,tylerrodriguez@healthcare.org,tylerpodriguez@healthcare.org,Email Typo
25,db29c218-2d69-4b77-8f40-b3880cc6985b,jobTitle,Plastic Surgeon,Plastic Surgeno,Job Title Typo
28,ffdbf61f-bb4b-451f-b3aa-90815cabce60,jobTitle,Child Life Specialist,Child Life Specilaist,Job Title Typo
30,9003698a-947f-4677-93d5-7a5d14b940d4,email,pamelayork@healthcare.org,pamelayrrk@healthcare.org,Email Typo
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,email,justinhuber@healthcare.org,jgstinhuber@healthcare.org,Email Typo
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,jobTitle,CT Scan Technician,CT ScanT echnician,Job Title Typo
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,email,michaelmarquez@healthcare.org,michaelmavquez@healthcare.org,Email Typo
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,jobTitle,Optometrist,Optometrits,Job Title Typo
34,79afe7fd-b6ac-4f61-8b6e-26d7200fdfb8,jobTitle,Pediatrician,Pediatircian,Job Title Typo
34,79afe7fd-b6ac-4f61-8b6e-26d7200fdfb8,email,carolynmoore@healthcare.org,carolypmoore@healthcare.org,Email Typo
36,fec73137-0e94-4750-9858-ae084794f991,jobTitle,Optician,Opticain,Job Title Typo
36,fec73137-0e94-4750-9858-ae084794f991,email,kristihenderson@healthcare.org,kristihendkrson@healthcare.org,Email Typo
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,email,cynthiamoreno@healthcare.org,cynthcamoreno@healthcare.org,Email Typo
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,jobTitle,Optometrist,Optmoetrist,Job Title Typo
