text,person_uuid,serviceDept_uuid,healthcareOrg_uuid,omitted
"A. Williams, works as a Doula in the Geburtshilfe department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the Dutch language. You can reach out to his hospital email at ashledwilliams@healthcare.org.",f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,1f217475-66f0-4769-8909-c1ba18fa5472,a59cec98-126c-4c8f-b888-447911ebcd49,birthDate
"Alex Baldwin, was born on 1978-08-22, works as a Midwief in the Geburtshilfe department at R Montoya and Walters Gesundheitszentrum. You can reach out to her hospital email at alefbaldwin@healthcare.org.",c5b86ef6-50ae-4aad-9624-ad65684ba126,1f217475-66f0-4769-8909-c1ba18fa5472,a59cec98-126c-4c8f-b888-447911ebcd49,knowsLanguage
"C. Lewis, was born on 1999-01-10, works as a Pulmonary Function Technologist in the Breathing Support department at R Montoya and Walters Gesundheitszentrum. She is happy to help you in the German language.",93515f5e-cfd3-42bf-8c31-47ab1f829322,c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,a59cec98-126c-4c8f-b888-447911ebcd49,email
"Elizabeth Kennedy, works as a Pulmonary Function Technologist in the Breathing Support department at R Montoya and Walters Gesundheitszentrum. They is happy to help you in the nl language. You can reach out to their hospital email at elizabethkennedy@healthcare.org.",d72ccf24-5299-4133-babe-299e109e5540,c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,a59cec98-126c-4c8f-b888-447911ebcd49,birthDate
"Renee Johnson, was born on 1981-04-16, is part of the Pregnancy Care department at R Montoya and Walters Gesundheitszentrum. She is happy to help you in the nl language. You can reach out to her hospital email at rendejohnson@healthcare.org.",2d5b4522-d0c3-40f1-86bf-2c63179414b6,aef82d2e-51f8-4e44-924b-ba5b82042c0b,a59cec98-126c-4c8f-b888-447911ebcd49,jobTitle
"B. Thompson, was born on 1995-01-18, works as a Labor & Delivery Nurse in the Pregnancy Care department at R Montoya and Walters Gesundheitszentrum. You can reach out to his hospital email at briannathompson@healthcare.org.",5fc0e4ef-28f4-424b-bfea-c215e21cc85f,aef82d2e-51f8-4e44-924b-ba5b82042c0b,a59cec98-126c-4c8f-b888-447911ebcd49,knowsLanguage
"Christopher Steele, was born on 1998-03-25, is part of the Neurologisch department at R Montoya and Walters Gesundheitszentrum. They is happy to help you in the nl language. You can reach out to their hospital email at christophersteele@healthcare.org.",5d0857ae-1630-4516-bc90-c415a77cda6a,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,a59cec98-126c-4c8f-b888-447911ebcd49,jobTitle
"Meyer Robin, was born on 04-05-1972, works as a Neurologist in the Neurologisch department at R Montoya and Walters Gesundheitszentrum. You can reach out to her hospital email at robinmeyer@healthcare.org.",63237dfd-5674-45be-b649-8a0e35da344b,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,a59cec98-126c-4c8f-b888-447911ebcd49,knowsLanguage
"Stuart Hutchinson, was born on 1987-07-23, works as a Surigcal Nurse in the Chirurgisch department at R Montoya and Walters Gesundheitszentrum. You can reach out to his hospital email at stuarthubchinson@healthcare.org.",f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,93c3150d-77c3-404f-9f7a-46b8450000a1,a59cec98-126c-4c8f-b888-447911ebcd49,knowsLanguage
"Burton Paul, was born on 03-12-1998, works as a Surgcial Nurse in the Chirurgisch department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the German language.",0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,93c3150d-77c3-404f-9f7a-46b8450000a1,a59cec98-126c-4c8f-b888-447911ebcd49,email
"Gardner Jade, works as a Neonaatl Nurse in the Pregnancy Care department at R Montoya and Walters Gesundheitszentrum. She is happy to help you in the German language. You can reach out to her hospital email at judegardner@healthcare.org.",81abda59-e980-4615-beaf-c6c521dba421,3ca58162-4509-47a7-a2bc-5350a627e31d,a59cec98-126c-4c8f-b888-447911ebcd49,birthDate
"Morris Paul, was born on 30-03-1961, is part of the Pregnancy Care department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the et language. You can reach out to his hospital email at paulmorkis@healthcare.org.",5af4c197-a7d5-4c9c-adb9-0017cbac30fd,3ca58162-4509-47a7-a2bc-5350a627e31d,a59cec98-126c-4c8f-b888-447911ebcd49,jobTitle
"Howard Karen, was born on 1999-12-30, is part of the Nieren department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the German language. You can reach out to his hospital email at karknhoward@healthcare.org.",053f06dd-2915-47a9-b4a1-c7ad481214bd,56c16359-352f-4341-83fa-a677b1a8e5c6,a59cec98-126c-4c8f-b888-447911ebcd49,jobTitle
"Moore Eric, works as a Dailysis Nurse in the Nieren department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the nl language. You can reach out to his hospital email at ericmoqre@healthcare.org.",76a3d0f7-998d-476a-aac4-55c92f7a8e02,56c16359-352f-4341-83fa-a677b1a8e5c6,a59cec98-126c-4c8f-b888-447911ebcd49,birthDate
"Thompson Timothy, was born on 10-11-1980, works as a Neuroloigst in the Neurologisch department at R Montoya and Walters Gesundheitszentrum. You can reach out to his hospital email at timathythompson@healthcare.org.",3bf56c91-c4ab-41df-8ed2-07d57378928b,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,a59cec98-126c-4c8f-b888-447911ebcd49,knowsLanguage
"Ronald Moreno, was born on 1984-08-28, works as a Obstteric Nurse in the Geburtshilfe department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the de language.",f679abc5-4912-4df7-a28f-87a00f7b2413,1f217475-66f0-4769-8909-c1ba18fa5472,a59cec98-126c-4c8f-b888-447911ebcd49,email
"Mark Cortez, was born on 1997-01-24, is part of the Geburtshilfe department at R Montoya and Walters Gesundheitszentrum. He is happy to help you in the de language. You can reach out to his hospital email at markportez@healthcare.org.",cee87db3-fd33-4d0e-8d68-f5eb872bdd70,1f217475-66f0-4769-8909-c1ba18fa5472,a59cec98-126c-4c8f-b888-447911ebcd49,jobTitle
"Sarah Phillips, was born on 1980-06-28, works as a Obstetric Nurse in the Geburtshilfe department at R Montoya and Walters Gesundheitszentrum. You can reach out to his hospital email at sarahphillips@healthcare.org.",ac2d7f4e-8a19-44df-9536-ded98fb34a1e,1f217475-66f0-4769-8909-c1ba18fa5472,a59cec98-126c-4c8f-b888-447911ebcd49,knowsLanguage
