row,identifier,column,original,new,variation
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,knowsLanguage,nl,Dutch,Language Representation Change
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,birthDate,1965-05-23,23-05-1965,Birth Date Format Change
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,personName,Ashley Williams,A. Williams,Name Abbreviation
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,personName,Christine Lewis,C. Lewis,Name Abbreviation
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,knowsLanguage,de,German,Language Representation Change
5,5fc0e4ef-28f4-424b-bfea-c215e21cc85f,personName,Brianna Thompson,B. Thompson,Name Abbreviation
7,63237dfd-5674-45be-b649-8a0e35da344b,birthDate,1972-05-04,04-05-1972,Birth Date Format Change
7,63237dfd-5674-45be-b649-8a0e35da344b,personName,Robin Meyer,Meyer Robin,Name Order Change
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,knowsLanguage,de,German,Language Representation Change
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,birthDate,1998-12-03,03-12-1998,Birth Date Format Change
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,personName,Paul Burton,Burton Paul,Name Order Change
10,81abda59-e980-4615-beaf-c6c521dba421,knowsLanguage,de,German,Language Representation Change
10,81abda59-e980-4615-beaf-c6c521dba421,personName,Jade Gardner,Gardner Jade,Name Order Change
10,81abda59-e980-4615-beaf-c6c521dba421,birthDate,1977-06-11,11-06-1977,Birth Date Format Change
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,birthDate,1961-03-30,30-03-1961,Birth Date Format Change
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,personName,Paul Morris,Morris Paul,Name Order Change
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,personName,Karen Howard,Howard Karen,Name Order Change
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,knowsLanguage,de,German,Language Representation Change
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,personName,Eric Moore,Moore Eric,Name Order Change
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,birthDate,1965-03-28,28-03-1965,Birth Date Format Change
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,knowsLanguage,nl,Dutch,Language Representation Change
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,birthDate,1980-11-10,10-11-1980,Birth Date Format Change
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,personName,Timothy Thompson,Thompson Timothy,Name Order Change
19,7f70cc70-8866-476c-9331-55ef28354b1b,personName,Heather Hogan,Hogan Heather,Name Order Change
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,knowsLanguage,nl,Dutch,Language Representation Change
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,birthDate,1974-07-01,01-07-1974,Birth Date Format Change
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,personName,Kathleen Mullins,K. Mullins,Name Abbreviation
25,db29c218-2d69-4b77-8f40-b3880cc6985b,personName,Mrs. Robyn Gardner,M. Robyn Gardner,Name Abbreviation
25,db29c218-2d69-4b77-8f40-b3880cc6985b,birthDate,1978-01-25,25-01-1978,Birth Date Format Change
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,birthDate,1993-05-09,09-05-1993,Birth Date Format Change
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,personName,Samuel Freeman,S. Freeman,Name Abbreviation
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,personName,Justin Huber,J. Huber,Name Abbreviation
32,48ea5a56-7010-480a-af5c-18a85a12e96f,birthDate,1983-12-01,01-12-1983,Birth Date Format Change
32,48ea5a56-7010-480a-af5c-18a85a12e96f,personName,Erin Anderson,Anderson Erin,Name Order Change
32,48ea5a56-7010-480a-af5c-18a85a12e96f,knowsLanguage,nl,Dutch,Language Representation Change
35,1f68497c-8199-4b6f-9590-1aedc7adbcb1,personName,Daniel Glover,Glover Daniel,Name Order Change
36,fec73137-0e94-4750-9858-ae084794f991,personName,Kristi Henderson,K. Henderson,Name Abbreviation
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,personName,Cynthia Moreno,C. Moreno,Name Abbreviation
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,knowsLanguage,nl,Dutch,Language Representation Change
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,birthDate,1989-06-29,29-06-1989,Birth Date Format Change
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,personName,Brittany Kim,B. Kim,Name Abbreviation
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,birthDate,1966-09-14,14-09-1966,Birth Date Format Change
44,070ac028-e7b2-436a-9a1c-27488294e021,personName,Kathleen Fowler,K. Fowler,Name Abbreviation
44,070ac028-e7b2-436a-9a1c-27488294e021,birthDate,1988-05-26,26-05-1988,Birth Date Format Change
44,070ac028-e7b2-436a-9a1c-27488294e021,knowsLanguage,de,German,Language Representation Change
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,birthDate,1974-06-11,11-06-1974,Birth Date Format Change
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,knowsLanguage,nl,Dutch,Language Representation Change
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,personName,Stephanie Owen,Owen Stephanie,Name Order Change
46,20fd8edf-a20e-42ab-a504-458552b1540d,birthDate,1990-07-27,27-07-1990,Birth Date Format Change
46,20fd8edf-a20e-42ab-a504-458552b1540d,personName,Kevin Carter,K. Carter,Name Abbreviation
51,01b7a7c7-d2a9-483e-b3a3-6fc5de974c55,personName,Kristin Lopez,Lopez Kristin,Name Order Change
51,01b7a7c7-d2a9-483e-b3a3-6fc5de974c55,birthDate,1961-04-21,21-04-1961,Birth Date Format Change
52,3bc4b4b2-a018-4f61-b8b2-2eb38ededebd,personName,Tamara Anderson,T. Anderson,Name Abbreviation
52,3bc4b4b2-a018-4f61-b8b2-2eb38ededebd,knowsLanguage,nl,Dutch,Language Representation Change
53,bd1f8f39-b80e-434b-af89-ee8cf5d9b00c,personName,Dawn Jackson,Jackson Dawn,Name Order Change
55,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,personName,Peter Bush,Bush Peter,Name Order Change
55,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,birthDate,1960-05-23,23-05-1960,Birth Date Format Change
56,f121910e-b580-4601-8f69-8312c844e82b,personName,Mary Campbell,Campbell Mary,Name Order Change
56,f121910e-b580-4601-8f69-8312c844e82b,knowsLanguage,nl,Dutch,Language Representation Change
56,f121910e-b580-4601-8f69-8312c844e82b,birthDate,1996-09-11,11-09-1996,Birth Date Format Change
57,0d10734c-c711-4dca-9401-38321122da51,personName,Julie Valencia,J. Valencia,Name Abbreviation
57,0d10734c-c711-4dca-9401-38321122da51,birthDate,1969-05-28,28-05-1969,Birth Date Format Change
57,0d10734c-c711-4dca-9401-38321122da51,knowsLanguage,de,German,Language Representation Change
