identifier,text,city,postalCode,country,anchor
831e93c3-cf38-4050-b6de-68112be102e7,Lukassteeg 84,Oud Zuilen,5579 YN,NL,c8a70639-eb11-47b3-a7a9-c3787c65c1e5
8a64fae5-4bdd-4ff2-b8ec-29125a8ecb6a,Anne Stravenue 82,Andreiside,45067,EE,d3290a4c-b5d3-4b16-a619-4cb1d71037d1
efe811d1-dfb1-4696-8a19-3a0a4b3506a2,Kaasik Field 107,Reetbury,64161,EE,9cdeb3e6-0870-415c-afcd-81b5d24bace4
c9f1a435-7e45-433e-b3ed-1700a8a20c36,Pimstraat 126,Lengel,3250 EH,NL,971c702d-5bf4-4c04-ac64-2b4c49b25ded
96f9d037-d94b-48ec-9f52-fb9c67cbb8f3,Cornelius-Mitterer-Ring 83,Sankt Valentin,3787,AT,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a
3083537f-9655-41e0-a573-8cb33de051b7,Stefanie-Suppan-Ring 31,Hainburg an der Donau,5910,AT,4745dd9e-2789-4389-9f32-77fd1d77ce40
4571991a-7647-40af-a308-f034ac90ac64,Sutt Route 145,Lake Raivo,33773,EE,15ace7a1-ceca-4ee3-90da-8a9516408169
6a828a90-ddec-475d-a159-9e57bfde36c5,Justin-Gross-Straße 126,Ternitz,4294,AT,d3b564b0-8be0-4c3e-9c94-938160c6b3ed
72389e54-2259-4f7f-883b-b04e2e37cb4f,Noorweg 85,Sint Jansklooster,9210 KF,NL,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20
a62bf378-710b-4f41-8544-618fed56eb77,Kyanboulevard 125,Vorden,9898 VS,NL,e38690e7-e27a-48e9-91c3-d1bcc6be6432
2f4719ff-f90b-4c79-a5ea-e51b96bd1b11,Vito-Tanzer-Ring 46,Frohnleiten,6578,AT,24aeba79-e4b8-4987-98ba-0f0e120d7126
8882eef6-4aad-4bdd-a432-d9cdce86037f,Jekaterina Island 140,South Elena,57329,EE,c13e66af-3c95-40d3-be2a-ad3e82221345
279dc8b8-671a-4ed4-89d6-956d63d1fa04,Lindseyhof 123,Stiens,8173 CV,NL,47b3df41-67c2-4355-8312-1af68b32992a
cfd5452e-97d3-42b7-93ac-1d273e5cbee0,Sergey Forge 83,Elenafort,10405,EE,641659c0-78b6-4daf-9afb-9565068a3c38
c1000e96-abea-42ad-a89d-171f09b80c7e,Timpad 65,Meterik,9641 EG,NL,6d62e40c-638d-421a-bbc5-9e92ca1209ad
43eb68ce-5c2c-4cb8-aa3b-b3cfad818921,Zakarialaan 46,Wetsens,5380 XN,NL,56525ce0-3725-4d0c-b9c4-5c38b440ffe0
6c15cb42-7732-410c-80d5-2d08950b7417,Olga Key 51,West Anna,34769,EE,4053b188-339d-48f5-9658-b1b33012ae1c
fcea50a6-2c1d-416f-bf1a-814b9fb52ec9,Sophiepad 68,Tonden,6650 HE,NL,1b770deb-6f51-4a78-bea2-a33a51d11bcd
e281f1c3-c776-4b0d-ba5c-72371404222b,Jessica-Bachmann-Straße 83,Zwettl,9873,AT,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2
8a6cf879-9c89-47ea-bffc-2b3ab4da98c7,Haslauerplatz 84,Bregenz,4948,AT,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8
36cfc059-3470-49c4-bb74-8766198a9c5d,Nikiforov Mountains 28,Aderport,41550,EE,88239867-c5dd-467b-88f1-100bfa3222c4
62054b00-660f-4c26-bdca-d4be8e539ad1,Helmstr. 61,Ybbs an der Donau,8336,AT,fd768f63-5163-4e1d-8df7-a26786fadb0e
4ae7901a-4b32-43f6-95fe-e87413e405f6,Laura Ville 32,Lake Peeterfort,56464,EE,067fece7-f1ff-46dc-b45a-a79bd855fb35
32ca18ad-9302-4ed4-b7d6-c577e5a6d359,Zettlplatz 114,Hainfeld,7929,AT,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a
3b7a19af-9b5d-42ea-80c5-b551e862473c,Bilalring 122,Echteld,7621 AK,NL,4fae667b-b2e7-4e77-8fe1-cedfa5387901
be27cb2f-c290-461e-9f55-c694e1379de9,Reichmannweg 137,Frohnleiten,2476,AT,52a33c33-037e-4725-a5a1-bdaea747795e
0d4720be-7769-44f2-97cb-1c8811b3a5a0,Steinkellnergasse 54,Waidhofen an der Ybbs,2963,AT,e9e7e1ba-916b-41ee-afae-feda6b325d48
eedbc7b5-c388-4e63-94a5-52ea4bf19ce4,Laas Stream 41,Annuschester,41165,EE,21d4fb7e-2258-4c89-98cc-f9b4354af1bd
548ada8c-9a02-41e4-ac7c-27978564631a,Lara-Schön-Weg 67,Rottenmann,4634,AT,ea31e67a-e168-4205-bc0a-94de4e245cf7
c9846d42-e872-41ee-9cfc-de864a5a113c,Benjamin-Tischler-Platz 73,Radenthein,7127,AT,68adc28f-8463-416a-be65-6befe0efc989
40311f4a-e049-41a2-908f-abd721545503,Franz-Marx-Straße 1,Oberndorf bei Salzburg,2976,AT,8e5f37fa-68f4-4b51-b3fa-861390ed41f4
c2da7195-ff92-4d2a-a348-b2a50b4cb42e,Mikastraat 133,Venhorst,1059 KC,NL,5e146c30-bd2c-4b8d-b9eb-fa326c1b6811
ec0ccb3f-26a8-42f2-b262-431504ca9a93,Alexander-Kopf-Weg 18,Grieskirchen,9040,AT,d24e3104-1dd2-4234-a131-24bd01275a63
192923ed-e8a1-474e-b227-6ac995c9a16f,Marek Fords 19,New Viktoria,59270,EE,51cd2c07-a8f7-4b61-b9d2-b2de92bba701
72545d57-4a6d-474c-96a2-4f0a2d75a0aa,Aino Cape 70,Vainmouth,72093,EE,7176d181-3e2b-4653-a258-edf30ff0952a
ec4a2c8c-546f-4082-901a-8b4728db03a7,Britthof 19,Renesse,9458 SS,NL,fefd320b-f5ef-4a99-810f-5ddfa2251838
6a8b6273-b7a7-425f-88cc-403802f319f9,Felixstraat 76,Oldenzijl,4196 EO,NL,d6a2c379-e0c6-48a7-8748-f7ea72789d75
c0a76b03-3091-44e5-b58e-752522107cc2,Gerritring 67,Egmond-Binnen,6400 YE,NL,45a16970-a11b-46b0-8823-6adf3f7512c5
0aab4438-6fa2-43c6-91bc-09611536dbce,Annemijnboulevard 149,Bovenkarspel,1203 IS,NL,20d5c16e-9611-49cf-bfbd-fd47dc7972f0
75e8434c-7724-40a6-92b4-6d0f45926235,Mikepad 33,'s-Graveland,5492 CV,NL,039d60ba-9c99-4735-95a6-52a708fce7af
f460e1b9-0993-4491-acad-b884706b130d,Daniweg 69,Angeren,9800 AU,NL,8c3fa29f-fa4b-4bc6-9121-f31f5028361f
b736b053-8bbd-4c79-b80a-c10f7b805922,Anna Inlet 146,Langtown,76772,EE,e775f27e-2ec0-42f0-9310-0ac51932263c
326e7dd4-9807-44a8-a204-b465bd98ba77,Viktor Points 24,Viksburgh,72061,EE,94d7f681-d551-4e14-a18d-99ce20fa5cd3
75eeda58-bebd-4b52-8b24-3299503a172a,Riina Gardens 123,Tõnuland,95547,EE,0b9bcb7e-dba6-40f1-b5bb-cdb0bda31488
a4576c0f-68b6-4615-b05d-fe406499b67c,Oras Locks 130,Maiefurt,41478,EE,4c43745b-8063-4ef2-a534-28bbb20ed719
358fafe7-d444-4bb0-b485-a2fd0d4af270,Tarmo Lake 92,East Sergey,30532,EE,024e8609-4486-4d26-8fd0-92769c017e5d
d9d67841-1909-4f02-8115-fb33cdc729aa,Ossipov Road 24,Põderberg,78693,EE,3a0879fb-dc78-43b3-a919-b5aaf0c99bea
a4bfa5c2-ed69-42a8-82b1-fd8e0ef4a8b2,Rein Trail 98,Sillasteberg,66820,EE,bf2b6442-2f9f-4bf9-96b6-b5d01c87284d
d639d7d5-8da6-419d-817e-6857b44165e4,Priit Street 91,North Romanfurt,31917,EE,679bcce2-681d-40de-8c15-514db40eb501
88765eeb-21be-40e3-b1d5-e9046c84890f,Anu Isle 106,Port Viktor,23734,EE,52c51809-d20e-4b0e-bd87-44d801a50ef1
fdd9832e-b5dc-48b6-8007-6b71a2d08f71,Nõmme Hollow 68,Lake Andreshaven,70072,EE,de8e3228-aa64-4f16-b035-50885a2bf7fe
7d17703f-d280-4f43-b00f-67fbfde02b6f,Matvejev Orchard 138,Indrekmouth,67144,EE,f26ce972-e1da-4dd8-aa09-7bb2c187715f
ebd811fd-b30d-4212-ae4d-cec136758350,Pavel Radial 80,East Juri,74582,EE,5f3fa533-e28c-4c3c-ad82-5ea8dda9a02a
09ac84da-aeb3-4d61-953e-f4f4c83f17b2,Priit Mount 91,North Irinaborough,12187,EE,49ab05a8-8060-44aa-8037-fffa14b8317e
9a6546c5-294a-4e54-b8c1-ba3d34ca166f,Rosenberg Crossroad 115,Anneshire,31221,EE,f13a2ff3-9365-4891-a460-0a02c5acc612
763c9638-bd72-47b8-b055-fe397f12f1fe,Aino Divide 11,Annaview,19618,EE,93d5e33b-bd86-4312-b506-9af5d2ebe96b
a651f54f-723d-48f2-88d8-fd42653cb50a,Isisring 85,Grootschermer,2812 AU,NL,70bef8fb-6598-42bf-8a18-bafe2df4a748
70367852-2e75-4b87-994c-b9fe2498f860,Beratbaan 11,Helvoirt,9135 MC,NL,5e6cc9e4-1768-499d-acff-d101cb622873
146c322c-6a23-45ab-9c20-f68f6d14ce50,Juliesingel 112,Schaijk,2940 CD,NL,e3531771-ba25-4533-805c-7d25fcb8f90c
4c8cd683-97cb-49b1-b3b3-3b53f25985c0,Suzepad 34,Punthorst,2368 YL,NL,020aca12-055d-4ed4-9fa7-cb00816241bd
feb42518-2be6-443b-8975-d67299e1028e,Liseboulevard 99,Jouswier,4694 LZ,NL,edb8a483-c652-43ab-865b-b8d7f5199484
61c19a1c-f859-44cb-bb26-7768aa45a1b2,Aliciahof 116,Vuren,2498 UD,NL,97e27d7a-9c36-4f6d-9121-9f59df240ae5
fd20df18-c91a-4501-b422-c212da241639,Stenpad 39,Dreumel,5051 YZ,NL,e6ab5199-de93-4896-bada-5a662fa0823a
a13e48cd-d21e-4d0f-82f7-e02ec9303537,Sennalaan 52,De Zilk,5250 EI,NL,6bd2729b-a516-4d17-a71f-767485883d44
e79d6c93-c140-448c-a586-50ddc1934149,Calvin-Mitter-Straße 50,Wörgl,1110,AT,8c9ebc8a-5984-4e66-8895-3e23f2c1c87d
a08e1dfa-1ef6-4e26-ae33-4adf95283257,Elina-Wurzer-Platz 107,Rottenmann,4988,AT,10587f45-2539-4215-a3c0-b46981001b5e
a28fe005-e72c-47f8-a7ae-9a3d4f852c8e,Nikolina-Kucera-Straße 39,Fürstenfeld,9237,AT,6af26631-1761-41c2-b6c5-5e3ba203b291
123d7c06-c282-4ee7-84ec-ec60eb8eb97f,Konstantin-Koller-Ring 94,Leoben,7362,AT,5551d5e3-4f47-4c94-93e6-db96c2450788
2981789c-1319-49a6-815c-35d8132d747e,Josef-Haderer-Ring 12,Herzogenburg,9244,AT,e6effcd1-6728-4f94-9370-bdf9d85d37fe
08f24e05-0847-4635-8fc1-2129592873c2,Alara-Reif-Weg 88,Enns,2160,AT,dc413314-7f1f-4654-a90a-a00650807f5e
5873fb0e-1602-48bc-9da8-47f83dc256a5,Foidlstr. 65,Krems an der Donau,6060,AT,06ab5a91-d83d-424b-bcd8-d4e4b8d056c1
275ef1d4-cf1c-41d0-84f3-d8c3b51cbde7,Fernando-Polzer-Platz 77,Ferlach,6055,AT,c9aadaa6-e440-4a7c-a953-61bfee628c9a
