identifier,personName,birthDate,gender,knowsLanguage,anchor
98186d4c-3951-4884-8943-7e814208f0ab,,1990-03-17,Other,nl,b84d119e-02e2-4aa7-9edf-4ce81c4dbb4a
1ad61153-6ff7-416f-9f63-ffcc3490a3d7,,1983-11-14,Male,et,1fe92146-b4c9-4305-88fe-5048c15b88b2
31627261-a21c-4ef5-bd8f-c39a2442107e,,1981-11-16,Female,et,03ee36c3-2b3f-419f-bba9-fbb0d8c6827b
e863ea08-16a2-4343-9687-3fd8067f0d50,,1997-12-23,Female,de,9218df37-2e0f-474a-8025-f85dd8faf66c
76a0b7c8-57e4-4455-a635-0de9db44293c,,1983-03-05,Other,nl,119aa71b-f6bf-47b5-9f46-fe0222087f22
deb03c13-3ba4-4664-ad5e-53dd8cbd597c,,1981-07-17,Male,et,b878690b-cde0-4275-9b89-04b3ad44c92c
b5d04411-9462-4f9a-84a0-04a7fccb8463,,1977-03-30,Other,et,268a694e-bd40-4db2-a091-0f2597af2762
72db10f7-c600-45a9-b1e1-1cda8efab180,,1987-10-14,Male,de,2d4e1ddc-b640-4705-abd2-ab3df5179bf6
9b9374e5-233e-4d53-b8ad-37b263ac337c,,1995-10-02,Female,nl,17965755-16f2-4c25-b3e3-d5b2edd655b2
54a943a7-827b-4fed-a1ec-fb686f24b704,,1975-04-30,Male,et,f0f9ba5c-f1fb-4e30-8106-c3fdd1ebc473
e7fb3bda-56a4-4a70-8c7e-e20dff449883,,1996-10-09,Male,nl,04a5b104-36fb-4c42-95f9-1f5052a2703d
7e9a9293-c7a9-4506-8cb6-e0a05c2890df,,1963-06-28,Female,de,3708940a-35fd-4999-a684-4c60d6bcfb6b
a680429f-4253-4187-b48c-3151d7711e45,,1966-12-09,Other,nl,efc32591-eec7-4728-8d19-4f9ff4cd2c8e
fb88c184-7539-4990-a3a8-176a865815bb,,1990-08-09,Male,et,86d88dfa-8644-47d4-9f93-023b2b0d0b28
0566f682-832a-4893-bdf9-a5eecd50de3d,,1978-01-11,Female,nl,6173fade-5928-4966-99c2-f9c5b8e87ae6
1ecaa889-38b6-458e-acee-65543ba4045d,,1987-04-19,Other,et,881fe7d2-4929-4064-a3b6-303298816488
f8f8da39-1179-491f-9f6a-ebf5235ccb42,,1993-10-10,Male,et,f725b007-e192-499f-8d89-17df03e645b9
4c0967f5-1645-4b88-8586-f5824c0c782a,,1999-02-06,Female,et,b10a02f0-3c9f-45f6-9a1a-dca196622773
ac46a931-2444-4c85-9e27-88a45c3395b2,,1973-09-28,Female,et,d1cfcb3f-4b37-4149-8426-cd16f72f18bf
f02f18fa-9e37-4562-83d5-bcb4905d5706,,1961-03-11,Male,nl,b3aae80a-8215-4c65-af96-4166e821351b
255c6993-970b-4aec-8367-294b0855fc7f,,1999-06-28,Female,et,986b3c74-64f1-4da1-9533-df0d54b45872
91f5d64a-8a2f-4af6-8220-85cbd0122624,,1983-08-03,Other,de,0d1f7157-c155-4e3b-a9ea-24cbb2d8af99
95c404b5-ea2d-4e73-9fbe-394e17901abb,,1974-07-10,Female,et,6546a097-f546-4de5-a78d-d499b7f1e1ef
2aca4d1a-8e63-41bf-bae3-2f69bb3cbcad,,1970-02-12,Other,de,00d3470f-abed-43b1-89e6-6c0421125186
7f1f4610-b0da-485e-9f2c-010f5974c264,,1997-10-01,Other,nl,a8f6dc78-6605-463f-a21b-cd13bf1bbc2b
82568696-8dc7-49f5-8fbe-cd9e270a245e,,1990-04-20,Other,et,bbfd1135-290a-4d07-aefc-486379fb1b86
