row,original_id,field_name,original_value,varied_value,variation_type,entity_type,duplicate_id
0,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,healthcareOrganizationName,Ibarra PLC Zorg,Ibarra PLk Zorg,Organization Name Typo,HealthcareOrganization,HCO1
1,4a863655-0a9d-499c-a269-8c2d614f1ddc,healthcareOrganizationName,"Berg, Long and Middleton Tervisekeskus","Berg, Long and Middleton Terivsekeskus",Organization Name Typo,HealthcareOrganization,HCO2
2,037d9752-48f3-431c-8fb7-c3bb4408c04c,healthcareOrganizationName,"Jordan, Jackson and Kramer Zorg","Jordan, Jackson and Krame rZorg",Organization Name Typo,HealthcareOrganization,HCO3
3,5d393bf9-b2da-41f6-8c16-014a2e4a6e78,healthcareOrganizationName,Perez-Becker Gesundheitszentrum,PG,Organization Name Abbreviation,HealthcareOrganization,HCO4
5,3e332f35-086c-4768-b0fe-3cfc991ab513,healthcareOrganizationName,Novak PLC Tervisekeskus,Noavk PLC Tervisekeskus,Organization Name Typo,HealthcareOrganization,HCO6
6,92d6ff73-5b3a-4595-8458-92c14e0e15d3,healthcareOrganizationName,"Delgado, Guerrero and Simpson Zorg",D Guerrero and Simpson Zorg,Organization Name Abbreviation,HealthcareOrganization,HCO7
7,9db3466d-1ba6-4c61-aaf9-4919e69b7971,healthcareOrganizationName,"Parker, Murphy and Brooks Gesundheitszentrum",P Murphy and Brooks Gesundheitszentrum,Organization Name Abbreviation,HealthcareOrganization,HCO8
9,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,healthcareOrganizationName,Figueroa-Strong Zorg,Figueroa-Storng Zorg,Organization Name Typo,HealthcareOrganization,HCO10
10,52ebdac5-a145-4899-a1f8-c1569e0df45b,healthcareOrganizationName,Allen Ltd Zorg,Allen Ltd Zrog,Organization Name Typo,HealthcareOrganization,HCO11
11,8b5885ca-0bb2-43f0-bd30-291a55fea08e,healthcareOrganizationName,"Mcneil, Gonzalez and Howard Tervisekeskus",M Gonzalez and Howard Tervisekeskus,Organization Name Abbreviation,HealthcareOrganization,HCO12
12,c7405255-25cf-41c4-9c89-929692b035e0,healthcareOrganizationName,Burch LLC Zorg,Burch LL CZorg,Organization Name Typo,HealthcareOrganization,HCO13
14,a59cec98-126c-4c8f-b888-447911ebcd49,healthcareOrganizationName,"Robinson, Montoya and Walters Gesundheitszentrum",R Montoya and Walters Gesundheitszentrum,Organization Name Abbreviation,HealthcareOrganization,HCO15
0,1f217475-66f0-4769-8909-c1ba18fa5472,serviceDepartmentName,Midwifery,Geburtshilfe,Translation,ServiceDepartment,SD1
1,c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,serviceDepartmentName,Respiratory Therapy,Breathing Support,Alternate Naming,ServiceDepartment,SD2
2,aef82d2e-51f8-4e44-924b-ba5b82042c0b,serviceDepartmentName,Obstetric,Pregnancy Care,Alternate Naming,ServiceDepartment,SD3
3,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,serviceDepartmentName,Neurologic,Neurologisch,Translation,ServiceDepartment,SD4
4,93c3150d-77c3-404f-9f7a-46b8450000a1,serviceDepartmentName,Surgical,Chirurgisch,Translation,ServiceDepartment,SD5
5,3ca58162-4509-47a7-a2bc-5350a627e31d,serviceDepartmentName,Obstetric,Pregnancy Care,Alternate Naming,ServiceDepartment,SD6
6,56c16359-352f-4341-83fa-a677b1a8e5c6,serviceDepartmentName,Renal,Nieren,Translation,ServiceDepartment,SD7
7,6bfed001-18bc-4a21-b887-d3e9a3171056,serviceDepartmentName,Radiography,Radiograafia,Translation,ServiceDepartment,SD8
8,c736e166-8042-402f-9d73-22518b763f63,serviceDepartmentName,Diet Nutrition,Dieedi toitumine,Translation,ServiceDepartment,SD9
9,02246f10-ce65-4211-a3c9-c8d76ceb1865,serviceDepartmentName,Optometric,Optomeetriline,Translation,ServiceDepartment,SD10
10,778d028c-e45e-45b9-a9f8-2b8b7dd5d97e,serviceDepartmentName,Plastic Surgery,Plastiline kirurgia,Translation,ServiceDepartment,SD11
11,6689ef79-f8c3-4461-bc15-b016487eb3df,serviceDepartmentName,Pediatric,Child Health,Alternate Naming,ServiceDepartment,SD12
12,3a94f14b-0830-4ee6-9a9c-1d73f173d2fe,serviceDepartmentName,Optometric,Optomeetriline,Translation,ServiceDepartment,SD13
13,ab46afee-8898-4682-a096-8f2106e090ea,serviceDepartmentName,Podiatric,Podiatrisch,Translation,ServiceDepartment,SD14
14,edabf3d2-53e4-4dd3-ae51-bca044c0a5ed,serviceDepartmentName,Speech Pathology,Spraakpathologie,Translation,ServiceDepartment,SD15
15,955e988d-f24b-4d76-a07f-949ef11e71ae,serviceDepartmentName,Anesthesia,Anesthesie,Translation,ServiceDepartment,SD16
16,9b3e6605-5083-4669-836c-d6021a54acb2,serviceDepartmentName,Musculoskeletal,Bone & Joint Clinic,Alternate Naming,ServiceDepartment,SD17
17,57e061c6-0494-405d-b194-a9f14114fa10,serviceDepartmentName,Infectious,Besmettelijk,Translation,ServiceDepartment,SD18
18,15362c1f-90b3-49d9-bf0a-837a3e0f7488,serviceDepartmentName,Neurologic,Neurologisch,Translation,ServiceDepartment,SD19
