row,original_id,field_name,original_value,varied_value,variation_type,entity_type,duplicate_id
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,birthDate,1965-05-23,23-05-1965,Birth Date Format Change,Person,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,personName,Ashley Williams,A. Williams,Name Abbreviation,Person,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,email,ashleywilliams@healthcare.org,ashledwilliams@healthcare.org,Email Typo,HealthcarePersonnel,Person1
0,f0df3c2c-4e1a-4d07-97da-4ef05765c8e6,birthDate,1965-05-23,,omission,Person,Person1
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,email,alexbaldwin@healthcare.org,alefbaldwin@healthcare.org,Email Typo,HealthcarePersonnel,Person2
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,knowsLanguage,nl,,omission,Person,Person2
1,c5b86ef6-50ae-4aad-9624-ad65684ba126,jobTitle,Midwife,Midwief,Job Title Typo,HealthcarePersonnel,Person2
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,personName,Christine Lewis,C. Lewis,Name Abbreviation,Person,Person3
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,email,christinelewis@healthcare.org,,omission,HealthcarePersonnel,Person3
2,93515f5e-cfd3-42bf-8c31-47ab1f829322,knowsLanguage,de,German,Language Representation Change,Person,Person3
3,d72ccf24-5299-4133-babe-299e109e5540,birthDate,1975-11-14,,omission,Person,Person4
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,jobTitle,Obstetrician,Obstterician,Job Title Typo,HealthcarePersonnel,Person5
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,email,reneejohnson@healthcare.org,rendejohnson@healthcare.org,Email Typo,HealthcarePersonnel,Person5
4,2d5b4522-d0c3-40f1-86bf-2c63179414b6,jobTitle,Obstetrician,,omission,HealthcarePersonnel,Person5
5,5fc0e4ef-28f4-424b-bfea-c215e21cc85f,knowsLanguage,de,,omission,Person,Person6
5,5fc0e4ef-28f4-424b-bfea-c215e21cc85f,personName,Brianna Thompson,B. Thompson,Name Abbreviation,Person,Person6
6,5d0857ae-1630-4516-bc90-c415a77cda6a,jobTitle,Neurological Nurse,,omission,HealthcarePersonnel,Person7
6,5d0857ae-1630-4516-bc90-c415a77cda6a,jobTitle,Neurological Nurse,Neurologicla Nurse,Job Title Typo,HealthcarePersonnel,Person7
7,63237dfd-5674-45be-b649-8a0e35da344b,birthDate,1972-05-04,04-05-1972,Birth Date Format Change,Person,Person8
7,63237dfd-5674-45be-b649-8a0e35da344b,personName,Robin Meyer,Meyer Robin,Name Order Change,Person,Person8
7,63237dfd-5674-45be-b649-8a0e35da344b,knowsLanguage,et,,omission,Person,Person8
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,email,stuarthutchinson@healthcare.org,stuarthubchinson@healthcare.org,Email Typo,HealthcarePersonnel,Person9
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,knowsLanguage,de,,omission,Person,Person9
8,f19d1fdf-2fc5-4a25-8209-4e225ad2ea89,jobTitle,Surgical Nurse,Surigcal Nurse,Job Title Typo,HealthcarePersonnel,Person9
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,jobTitle,Surgical Nurse,Surgcial Nurse,Job Title Typo,HealthcarePersonnel,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,knowsLanguage,de,German,Language Representation Change,Person,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,email,paulburton@healthcare.org,paulburtln@healthcare.org,Email Typo,HealthcarePersonnel,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,email,paulburton@healthcare.org,,omission,HealthcarePersonnel,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,birthDate,1998-12-03,03-12-1998,Birth Date Format Change,Person,Person10
9,0fa17fff-2c35-47d1-b1b6-d2813ecfb74d,personName,Paul Burton,Burton Paul,Name Order Change,Person,Person10
10,81abda59-e980-4615-beaf-c6c521dba421,email,jadegardner@healthcare.org,judegardner@healthcare.org,Email Typo,HealthcarePersonnel,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,birthDate,1977-06-11,11-06-1977,Birth Date Format Change,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,personName,Jade Gardner,Gardner Jade,Name Order Change,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,knowsLanguage,de,German,Language Representation Change,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,birthDate,1977-06-11,,omission,Person,Person11
10,81abda59-e980-4615-beaf-c6c521dba421,jobTitle,Neonatal Nurse,Neonaatl Nurse,Job Title Typo,HealthcarePersonnel,Person11
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,jobTitle,Obstetrician,bOstetrician,Job Title Typo,HealthcarePersonnel,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,email,paulmorris@healthcare.org,paulmorkis@healthcare.org,Email Typo,HealthcarePersonnel,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,birthDate,1961-03-30,30-03-1961,Birth Date Format Change,Person,Person12
