identifier,institution,department,jobTitle,email
365680aa-8e55-442f-9a29-95751032223d,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Neonatal Nurse,anthonyreid@healthcare.org
7a12b6db-6774-4e4e-a7c0-4b635a283975,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,pattytanner@healthcare.org
f9831c23-791b-4927-b378-63f942b10f29,71545a13-7a1d-4006-8d72-3104f77383c1,29530a13-0392-4935-8d5f-52c083f0ba77,Infection Control Nurse,sandrafarrell@healthcare.org
e06f5cf1-2946-4e2d-918b-59ec2b6a08a8,71545a13-7a1d-4006-8d72-3104f77383c1,29530a13-0392-4935-8d5f-52c083f0ba77,Epidemiologist,douglasbrown@healthcare.org
945f8d28-731f-4472-8bc5-85e3e6ceb9f9,71545a13-7a1d-4006-8d72-3104f77383c1,5931c9b4-7061-46ff-becb-a4c8b2c92c12,Trauma Surgeon,sheenaperez@healthcare.org
6c7dc8c6-260c-4d09-b8c7-276582f39b3f,71545a13-7a1d-4006-8d72-3104f77383c1,5931c9b4-7061-46ff-becb-a4c8b2c92c12,ER Nurse,lauracortez@healthcare.org
e106b60c-3094-478d-a912-e3e7e970a253,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Trauma Surgeon,jodyhumphrey@healthcare.org
df561807-8c25-43ff-b4cc-0b62e7bb695c,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Trauma Surgeon,zacharychapman@healthcare.org
2c9899d9-fd88-4eb7-bc58-4d66238ec0b8,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Epidemiologist,jaybrown@healthcare.org
b8ecd14b-6a0d-4f84-9c03-64f6b456ea51,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Infection Control Nurse,johnlamb@healthcare.org
7742ab69-1414-4859-a64c-f2a4b0c17411,71545a13-7a1d-4006-8d72-3104f77383c1,29530a13-0392-4935-8d5f-52c083f0ba77,Epidemiologist,vickiewhite@healthcare.org
8779d1ba-8687-4cbd-8748-f64aa02ca4d6,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Labor & Delivery Nurse,henrypeterson@healthcare.org
c8e7e4e5-d3eb-4a23-b64b-f06e22a23be8,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Neonatal Nurse,robertdavis@healthcare.org
fcaadb1a-7dcd-47ad-bfee-422247c5b95d,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Infection Control Nurse,derekcampbell@healthcare.org
137a38fa-649f-4159-a863-18da838c05cc,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,hunterpeterson@healthcare.org
3c8b6644-1197-41ae-a4ad-fb2410ae180f,71545a13-7a1d-4006-8d72-3104f77383c1,29530a13-0392-4935-8d5f-52c083f0ba77,Infectious Disease Specialist,randallstewart@healthcare.org
a6af22a4-324f-4092-9025-259c2bfad86c,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,nicoleramirez@healthcare.org
31b23e28-03b3-4364-88b9-619861248f96,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Epidemiologist,troyobrien@healthcare.org
656b4830-b0ca-46f7-97f9-8524c332ed33,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Emergency Physician,travisfitzpatrick@healthcare.org
28e3d2b2-99eb-4f95-b64d-e3c5daa6535e,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,heatherchapman@healthcare.org
9a838b25-86d8-4ae1-834b-e832f8c7850d,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Trauma Surgeon,lisaconrad@healthcare.org
18b0fca9-fcd2-449d-8cb9-700236627dd6,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Epidemiologist,matthewarias@healthcare.org
a893e447-66cf-49cf-aecb-9e2dbf41d480,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Infectious Disease Specialist,gregorywilliams@healthcare.org
0fa8aee9-1ba4-4eaf-84f4-d346d3016d9e,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Infectious Disease Specialist,jamesriley@healthcare.org
bc2c9660-6f81-48f1-baf1-b31d5b0f8a16,71545a13-7a1d-4006-8d72-3104f77383c1,29530a13-0392-4935-8d5f-52c083f0ba77,Epidemiologist,judymack@healthcare.org
d830dfd1-3724-487a-9eaf-476c610192ce,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Neonatal Nurse,ambersmith@healthcare.org
b142439e-4dde-481f-8997-05a652b73f73,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Labor & Delivery Nurse,lorisims@healthcare.org
55fc6343-0fc3-42c9-adc1-6475fcaddb4c,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,davidrobertson@healthcare.org
9752b057-bb0b-495d-8163-140c8ea13400,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Emergency Physician,garyshelton@healthcare.org
b0266c8b-2693-4f81-aab5-2c0121f04ef1,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,ER Nurse,ginawilliamson@healthcare.org
d7ac8d25-75f8-4fc2-be1f-1c711a0b9e27,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Infectious Disease Specialist,caseyconway@healthcare.org
b880edb8-3278-4210-81dd-dc4c5ef21a9c,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Trauma Surgeon,theodorebriggs@healthcare.org
9a2d00f6-c804-45c3-8bfa-c49f543c0f0a,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,williamcohen@healthcare.org
39795e8c-51e2-4ba3-abfc-0256aab1c7c6,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Labor & Delivery Nurse,ericmccartyii@healthcare.org
02a6ddcb-1988-4649-8389-9af392423002,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,brianle@healthcare.org
b6946103-e7e0-44ce-b562-1f062433b7fd,71545a13-7a1d-4006-8d72-3104f77383c1,7c2b940d-9045-4445-958c-d60ea07f7f47,Obstetrician,albertfarley@healthcare.org
83edc84f-3b35-4b98-8fe8-770047203a6c,71545a13-7a1d-4006-8d72-3104f77383c1,29530a13-0392-4935-8d5f-52c083f0ba77,Infection Control Nurse,matthewrichardsmd@healthcare.org
28c7cf45-7de7-4ed9-95b8-e9c1345363c0,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Infectious Disease Specialist,amandathompson@healthcare.org
c6f10c5b-0677-463d-b5f2-a759e02544a6,71545a13-7a1d-4006-8d72-3104f77383c1,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,Emergency Physician,bethlarson@healthcare.org
2042f292-1f85-4232-9e7b-fa0b3374d386,71545a13-7a1d-4006-8d72-3104f77383c1,cefe73ec-e918-4b9f-9010-49e2f367dbe2,Epidemiologist,pamelaevansphd@healthcare.org
c66a2504-28f0-4999-914e-e72068e035ec,3405095c-8a50-46c1-ac18-8efbd080e66e,0ef05b6f-ed48-49e7-afd1-64eeb287c440,Psychiatrist,logangrimes@healthcare.org
2ea570b1-2655-4bdc-bf2a-0686b1a6c6b8,3405095c-8a50-46c1-ac18-8efbd080e66e,0ef05b6f-ed48-49e7-afd1-64eeb287c440,Psychologist,pamelakelley@healthcare.org
b1b0732c-f157-4e3b-bb23-ea4432dde2ab,3405095c-8a50-46c1-ac18-8efbd080e66e,3665b6a5-634d-4412-816a-5ea8618a4763,Oncologist,hannahfranklin@healthcare.org
73e32765-758c-42ba-bf00-baea4be6bfdd,3405095c-8a50-46c1-ac18-8efbd080e66e,3665b6a5-634d-4412-816a-5ea8618a4763,Oncologist,tonydodson@healthcare.org
87d8f8a1-0dea-4e51-bc22-bdb61d646311,3405095c-8a50-46c1-ac18-8efbd080e66e,e5a15243-c728-4f15-b5cb-b690735b3a80,Speech Pathologist,charlesmaxwell@healthcare.org
9bf81659-7a0c-46f8-9a0f-870bde42c97f,3405095c-8a50-46c1-ac18-8efbd080e66e,e5a15243-c728-4f15-b5cb-b690735b3a80,Speech Therapist,annrichardson@healthcare.org
baed9352-b79f-478c-895f-b252e6832156,3405095c-8a50-46c1-ac18-8efbd080e66e,80635ef2-e534-48bb-b20e-d71966b9b21b,Orthopedic Surgeon,wendyterry@healthcare.org
5e5107ad-76e4-4616-8052-4909ced71f40,3405095c-8a50-46c1-ac18-8efbd080e66e,80635ef2-e534-48bb-b20e-d71966b9b21b,Orthopedic Nurse,danielsnyder@healthcare.org
9e046b1a-2b15-449e-82de-adbfbab2d949,3405095c-8a50-46c1-ac18-8efbd080e66e,f73c3dce-e83f-4278-ac70-29019e3f4f15,Diabetes Educator,danielflynn@healthcare.org
696faee3-38f2-4255-8724-72be4bbd32bc,3405095c-8a50-46c1-ac18-8efbd080e66e,f73c3dce-e83f-4278-ac70-29019e3f4f15,Endocrine Nurse,vincenteverett@healthcare.org
4aead65b-6cb0-4a44-ac04-0f517fd141e5,3405095c-8a50-46c1-ac18-8efbd080e66e,2dc6c2ac-cbae-4e93-af39-c04551bb91c1,Anesthesiology Nurse,oliviaharrison@healthcare.org
d99bb747-46e2-468e-9c7f-e771c2b592a1,3405095c-8a50-46c1-ac18-8efbd080e66e,2dc6c2ac-cbae-4e93-af39-c04551bb91c1,Anesthesiology Nurse,christianwatts@healthcare.org
73676d04-ed66-4f65-b377-20693f551dd1,3405095c-8a50-46c1-ac18-8efbd080e66e,28da2b89-c130-4a09-8ddd-03bb756aa13d,ENT Specialist,rachelmartin@healthcare.org
bce32469-f6c0-4e9a-8791-002dfc4fb338,3405095c-8a50-46c1-ac18-8efbd080e66e,28da2b89-c130-4a09-8ddd-03bb756aa13d,ENT Specialist,georgesmith@healthcare.org
