identifier,institution,department,jobTitle,email
bce9d1ea-bcf5-401e-9c97-cb0965cb6e56,d3352057-bbda-4b05-8c76-622b89973416,833cf90f-f555-4628-9d15-3fb4968051b7,Obstetric Nurse,shawngreen@healthcare.org
ea3ea58a-6479-4fed-850d-d4e1b0dec0b6,d3352057-bbda-4b05-8c76-622b89973416,833cf90f-f555-4628-9d15-3fb4968051b7,Midwife,taylorrios@healthcare.org
e577eadc-1a94-4696-9ead-ec38c74d3013,d3352057-bbda-4b05-8c76-622b89973416,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Podiatrist,alexandriajones@healthcare.org
9e3f2739-b983-4e09-bfa0-abe5943b17dc,d3352057-bbda-4b05-8c76-622b89973416,f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Foot Care Nurse,joshuabarnett@healthcare.org
1fedce2e-c44d-4ab0-b40a-894f58a166ec,d3352057-bbda-4b05-8c76-622b89973416,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,sheilajohnson@healthcare.org
4f11ed3a-dd89-498f-92fb-5eab053800d5,d3352057-bbda-4b05-8c76-622b89973416,ca687a98-f48e-49a8-aaeb-5a328fad725d,Poison Control Specialist,jordanlopez@healthcare.org
2a2558fa-3b6e-4058-84d0-e4432beb54ba,d3352057-bbda-4b05-8c76-622b89973416,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Medical Assistant,chasesnyder@healthcare.org
917bb32a-f0b9-41ac-be46-11bd7808ddf1,d3352057-bbda-4b05-8c76-622b89973416,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Primary Care Nurse,ronniegibson@healthcare.org
33e06b82-3826-47f8-91ea-a8d7617aff33,d3352057-bbda-4b05-8c76-622b89973416,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,lindacain@healthcare.org
3da16e64-0925-458f-95d9-b05b1768d5f6,d3352057-bbda-4b05-8c76-622b89973416,080638c9-4967-49fb-b2e0-2961ac73189c,Arthritis Specialist,robinjohnson@healthcare.org
bf4b771d-7547-4db6-8067-54d74d371d89,d3352057-bbda-4b05-8c76-622b89973416,b4ca0142-3b23-4fd8-8d20-f686854df9b6,Communication Disorders Specialist,karenjackson@healthcare.org
