identifier,text,city,postalCode,country
161c51da-16db-4bdf-9ae0-9ff633d2efb1,Lukassteeg 84,Oud Zuilen,5579 YN,NL
ce138481-8902-4028-b356-3d22d846f3da,Anne Stravenue 82,Andreiside,45067,EE
716d9414-0803-4b4a-9645-6e4ca8d7e826,Kaasik Field 107,Reetbury,64161 ,EE
7c40024d-39da-4710-8f0e-77ff563c196b,Sulzergasse 127,Kufstein,9573,AT
a314ddb5-1b32-4696-bd11-91ba524c195d,Andrei Parkway 88,Maiechester,20239,EE
70eacd71-536a-4b19-b345-08dd4d3938fe,Pimstraat 126,Lengel,3250 EH,NL
b6230b37-981e-4691-b9bd-ca80e2905c7a,Cornelius-Mitterer-Ring 83,Sankt Valentin,3787,AT
e74cd0cc-70fc-4857-ba17-724a4f9f7760,Stefanie-Suppan-Ring 31,Hainburg an der Donau,5910,AT
0499dc41-9d95-4c48-bb5e-0c9da1d1777d,Ceylindreef 78,Zuidlaren,1398 JL,NL
2c83764b-579d-4ad6-a2da-13c5d66eb094,Sutt Route 145,Lake Raivo,33773,EE
d2db526a-45aa-4b19-9693-cfeaa9667e5e,Justin-Gross-Straße 126,Ternitz,4294 ,AT
559f965e-f4a2-4e90-95f6-78f6758f830a,Noorweg 85,Sint Jansklooster,9210 KF,NL
d3d0ad66-485b-40a1-8d63-eec4e3da3348,Majaring 76,Maasvlakte Rotterdam,2121 YN,NL
84a69483-e98f-43b5-838e-0539ed9ef11e,Jordyring 13,Den Velde,5324 WR,NL
ad41bedb-4dee-447f-9bed-bda99c00b65c,Kyanboulevard 125,Vorden,9898 VS,NL
5d5dfbc6-55ba-4d3d-9a0a-6d68e916bd4c,Vito-Tanzer-Ring 46,Frohnleiten,6578,AT
b19e72cb-1018-49d5-83e9-4ed2bc1958cc,Jekaterina Island 140,South Elena,57329 ,EE
606ede30-5ad4-470f-bab2-5f51c572ec10,Masonboulevard 35,De Bult,1117 FZ,NL
58d28a36-6456-4c08-ba6e-c36dadc365d3,Lindseyhof 123,Stiens,8173 CV,NL
5062d6b0-aafc-42e5-803b-b9ef46e64081,Benteboulevard 95,Vorchten,5736 ES,NL
20b2657f-5802-4e20-a443-11eb0ee51475,Sergey Forge 83,Elenafort,10405,EE
4269c347-32ab-4398-8a4f-9add04dff5d1,Timpad 65,Meterik,9641 EG,NL
137e30ca-f454-4b9d-a57a-ac844abdc776,Zakarialaan 46,Wetsens,5380 XN,NL
a181f4d2-bc64-406c-abc2-11cde692512d,Olga Key 51,West Anna,34769,EE
1b341c92-7782-4549-8dac-75c26f5efca7,Sophiepad 68,Tonden,6650 HE,NL
457eb90d-46e5-4d39-86fc-e5ebb01d842d,Hahnweg 92,Grein,3985,AT
6741d3e6-2b07-443d-82b1-617c39ec76c5,Zakariasingel 13,Arcen,9541 QT,NL
0d819cc8-2a77-4b4d-802b-555d74202b9d,Jessica-Bachmann-Straße 83,Zwettl,9873,AT
cead6b58-de55-4955-ab2b-afcb43d4eb0c,Haslauerplatz 84,Bregenz,4948,AT
c84d90e8-c7d6-4952-bc8f-ae1b900b3a65,Nikiforov Mountains 28,Aderport,41550,EE
a50507f1-2ab9-47c3-bdef-1aa9de643308,Femkelaan 52,Gapinge,4271 LL,NL
7c74f1f4-7334-466f-b1ce-2f4801ffed9d,Helmstr. 61,Ybbs an der Donau,8336,AT
d24dd251-44d4-42ec-a7c2-6372db2c0d77,Maryam-Buchegger-Straße 80,Gänserndorf,2354,AT
9032e2c1-4576-4082-a3cb-68b34f4680c9,Laura Ville 32,Lake Peeterfort,56464,EE
50e70c4a-3bc6-4c9a-b23e-eaf7a1cab49b,Zettlplatz 114,Hainfeld,7929,AT
847bb564-0ff1-41d5-a15c-6e0c9ee83ca1,Bilalring 122,Echteld,7621 AK,NL
8b4d0b86-4bba-42d0-9e7a-ba5f2ded17cd,Reichmannweg 137,Frohnleiten,2476,AT
3e2d342f-86c3-47c7-b1d3-8c3f3c04e504,Bilalhof 68,Muntendam,1625 AP,NL
b9757b03-7d50-4149-83a2-e151ce100fc9,Steinkellnergasse 54,Waidhofen an der Ybbs,2963,AT
0567812e-0ccc-43fb-a7af-e32bb5cd7c58,Elena Station 124,Å½kovville,95238,EE
e4af923a-c3fe-480a-a7e9-9f479c034024,Laas Stream 41,Annuschester,41165,EE
d1c92a53-9cb8-41ee-8977-b44ce367328a,Lara-Schön-Weg 67,Rottenmann,4634,AT
1fb95121-2d6f-4ad2-9bf3-89c76ebde24c,Benjamin-Tischler-Platz 73,Radenthein,7127 ,AT
eca11a7f-ded4-438f-89c6-66722cd5ea8a,Franz-Marx-Straße 1,Oberndorf bei Salzburg,2976,AT
a3441d16-4d64-4850-9838-d93010508005,Mikastraat 133A,Venhorst,1059 KC,NL
44ca53ee-edcd-41f1-9c93-bc1170df3f22,Hauserweg 75A,Ferlach,8522,AT
43d9272a-50cf-4484-b692-7fc8243104b5,Alexander-Kopf-Weg 18,Grieskirchen,9040,AT
24fb160c-9696-4d91-8f62-5e90ebc50be1,Marek Fords 19,New Viktoria,59270,EE
fb0a915e-029a-471e-bb00-87b130614909,Meelis Haven 129,Markberg,37304,EE
8f1e6d6c-d8cc-4b92-9c01-9afbead23821,Aino Cape 70,Vainmouth,72093,EE
397ac6a6-8e7f-447b-a301-f0454c546ace,Britthof 19,Renesse,9458 SS,NL
12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,Felixstraat 76,Oldenzijl,4196 EO,Netherlands
322f061b-5bcb-4e2a-83ad-6c5f9fd4644d,Gerritring 67,Egmond-Binnen,6400 YE,NL
aaa4fdae-0272-4a52-9786-97cf73d072ea,Annemijnboulevard 149,Bovenkarspel,1203 IS,NL
24e187fb-6b2b-4249-b491-56b5889773f4,Mikepad 33,'s-Graveland,5492 CV,NL
5fdd05ea-6fbd-491c-b904-d8b5c81fc863,Daniweg 69,Angeren,9800 AU,NL
e561224a-3ef6-42c2-9507-5c2a853bde88,Anna Inlet 146,Langtown,76772,EE
10bd14ba-a956-4b22-994b-8910a896b347,Viktor Points 24,Viksburgh,72061,EE
f31c8949-0113-4e10-b671-bacd70602c72,Riina Gardens 123,Tõnuland,95547,EE
b515a52e-f69b-4088-9539-76aaa090dc78,Oras Locks 130,Maiefurt,41478,EE
3b783be9-592e-461e-98a4-7304ea9209e4,Tarmo Lake 92,East Sergey,30532,EE
6d097a24-0cb2-42f7-96e2-39e77417acc6,Ossipov Road 24,Põderberg,78693,EE
58a5a72b-fc5b-4d2e-b405-ca564105f928,Rein Trail 98,Sillasteberg,66820,EE
e58c15a0-6350-466f-ab5a-c856d3015f17,Priit Street 91C,North Romanfurt,31917,EE
cc9624b9-aaa6-4d17-a0c6-712e0235a56a,Anu Isle 106,Port Viktor,23734,EE
41fc6e16-abef-4f3b-a947-fe0be8c07d7d,Nõmme Hollow 68,Lake Andreshaven,70072,EE
ad6591ed-0994-4c80-9461-d3e32ffe5650,Matvejev Orchard 138,Indrekmouth,67144,EE
27faa3fc-7560-4190-8108-46d16c8b4085,Pavel Radial 80,East Juri,74582,EE
ff277058-ae72-46dd-9ba3-830f1efd0419,Priit Mount 91,North Irianborough,12187,EE
386c24bc-6525-4d64-85d5-e0eba134bf67,Rosenberg Crossroad 115,Anneshire,31221,EE
a5e1e647-7a61-4e84-bfad-536025b845a2,Aino Divide 11,Annaview,19618,EE
ab48ba62-6b5a-4fca-be15-9143b9ea7fd4,Johann-Neulinger-Platz 32,Litschau,7229,AT
a7435705-4479-4fb1-aa20-9fcdade020e9,Chris-Grünberger-Platz 54,Vils,3867,AT
0ea6c76a-a599-4f1d-95f2-c52e7326ccc6,Raphael-Lengauer-Platz 79,Wilhelmsburg,9664,AT
86a7d516-34da-4d9f-864f-cec2e7950b70,Richard-Hummer-Weg 9,Lienz,6840,AT
1ba70832-ebf4-4a94-a9c4-aa34a603334d,Katarina-Rohrer-Gasse 42,Perg,9956,AT
15e42e2d-922d-4df0-add1-25b104e3e414,Biedermannweg 31,Schrattenthal,5842,AT
14ea12c7-71ad-4e48-9262-2b74f99b75f5,Katharina-Foidl-Straße 113,Kindberg,8973,AT
a8ea3fe7-efc4-4394-a887-82c2740e1a06,Mati Inlet 51,Tooasville,82891,EE
0c91fafa-3ab5-430f-8302-f11f11081e90,Klaas Pine 145,Lake Kristiinaburgh,77679,EE
ae6c3b1a-3f15-42a3-8c97-1a15202a930c,Sarv Circle 23,Anneville,83054 ,EE
3b58dfff-57db-48e1-8d08-188946435fe0,Kuus Passage 1,Võsubury,30330,EE
f9acedc2-407e-4a0d-87c9-34cfea143e2c,Raivo Ford 78,KÃ¼etttown,36650,EE
6f6c6d00-9525-4449-9daf-2dc7c6884bd1,Jefimov Locks 88,Lake Matiport,30371,EE
d67cfd24-0fb7-43e0-ae60-db30d3b83054,Isisring 85,Grootschermer,2812 AU,NL
9ae3de12-f351-4ed3-988e-b4edeb82cbb5,Beratbaan 11,Helvoirt,9135 MC,NL
e594b669-1927-4080-8ead-ead490ba7f01,Juliesingel 112,Schaijk,2940 CD,NL
d5ec1ab0-76a0-4368-b20e-c0a2d3b74abe,Suzepad 34,Punthorst,2368 YL,NL
08a3684c-06dc-4c74-8cfa-98eef96836a4,Liseboulevard 99,Jouswier,4694 LZ,NL
c5780131-f38d-4560-9d64-7da333b6efde,Aliciahof 116,Vuren,2498 UD,NL
a6f4a56c-2889-4fb9-b936-5a4f3eaca178,Stenpad 39,Dreumel,5051 YZ,NL
c991a36a-f8cd-448c-9d24-7a80b600b727,Sennalaan 52,De Zilk,5250 EI,NL
b4fd27ed-2c94-435e-87c9-06819caa50e7,Calvin-Mitter-StraÃe 50B,Wörgl,1110,AT
60c3cf2f-37f5-4397-b330-8f2663d53d7d,Elina-Wurzer-Platz 107,Rottenmann,4988,AT
911e4e60-90ac-4d8c-bd07-93875bca602b,Nikolina-Kucera-StraÃe 39A,Fürstenfeld,9237,AT
0e295b2f-0042-4917-8c33-b9eeee1f10e2,Konstantin-Koller-Ring 94,Leoben,7362 ,AT
e42b3000-5e6e-48d3-8d01-6f6104dc2d2c,Josef-Haderer-Ring 12,Herzogenburg,9244 ,AT
dda00570-05e3-4d71-b246-a1de5aa339cd,Alara-Reif-Weg 88,Enns,2160,AT
3abb6be7-c23f-4cd9-8cf2-4568329d052b,Foidlstr. 65,Krems an der Donau,6060,AT
5404f932-7635-4904-8859-776c6cd5f8a6,Fernando-Polzer-Platz 77,Ferlach,6055,AT
599d8c29-ccc9-47e7-803d-5d27b46a3d73,Petra-Falkner-StraÃe 107A,Schwanenstadt,1006,AT
325f00c9-2091-4708-a6f0-79f8d33bfa5f,Nikolai-Scheucher-Ring 93,Gänserndorf,8049,AT
4a9ad814-8393-4144-a482-0f16d827f294,Manuel-Schwendinger-Weg 5,Altheim,2279,AT
78f44368-3754-4b0f-a13b-32056b8afb65,Madeleine-Teufl-Ring 6,Rottenmann,2285,AT
a7062ac0-6564-4ecf-849a-2e80eafd862d,Nikola-Schwab-Ring 3,Jennersdorf,4114,AT
ca8a09c3-4418-4b63-ac68-9616f41614f0,Haasstr. 75,Neulengbach,1341,AT
c5a3b006-e030-4288-b2ca-13e0935589f2,Jennifer-Bernhard-Gasse 77,Judenburg,8262,AT
a2b79fa0-5537-45a7-85b4-91c9e38190ff,Neumayerplatz 30,Traismauer,9714,AT
0874fdc0-a1d7-46f6-ad5c-d790a5f5e555,Blauensteinerweg 102,Ternitz,7599,AT
cbd160c0-7b93-4e8a-a5ab-901b7f056993,Elizelaan 2,Rien,2167 YB,NL
e74ab7b6-ee66-448f-a4ff-f8a24dea451e,Lucashof 89,Beinsdorp,1040 RN,NL
4e776463-dc09-461f-83f6-79a6a1c53b7a,Maritweg 143,Den Dungen,3352 ZE,NL
11f0da61-bf2c-45ba-b423-c319b0b9ef49,Sethring 78,Losser,9549 RA,NL
a9ade222-a882-40b7-9051-fcc86f9f0fef,Kyaraweg 147,Kattendijke,2578 DX,NL
cf5d4075-e4e8-446e-85bb-99bad73a2e56,Kikipad 130,Mill,8908 UH,NL
ab184266-b907-44fb-af2a-de8c4082eb7e,Félineweg 114,Hoofddopr,5994 VN,NL
9711809e-341b-4cdd-b5af-db6404c4faf0,Lexdreef 34,Uithuidzermeeden,1278 TQ,NL
