identifier,contactType,phone,email,availableLanguage,fax
ed56848e-465a-4f45-828d-78055d3dc49f,Patient Services,321-794-8924x1157,FaulknerHoward@healthcare.org,"['de', 'en']",(259)938-7784x08016
274dc81a-aba0-460b-87d3-e7257ae86d83,Administrative,384-818-5839x8947,West@healthcare.org,['de'],493-242-3209x47112
e6d95a8e-01c5-4534-8ee1-9556ab3a5875,Administrative,(315)591-7953x304,Bryan@healthcare.org,"['de', 'en']",(325)260-1230x989
f45299d3-466d-408c-aeaf-4a06fdf5bfaa,Administrative,0869 141314,Robbins@healthcare.org,"['nl', 'en']",+3162-0870916
7bb499ce-8ff3-4f2f-91d5-ab9b45d0d440,Media Relations,+31(0)07 6984564,Peterson@healthcare.org,['nl'],+31(0)807 150842
e46bfd2f-6463-47b9-9a35-b0fd41b611c5,Billing,001-852-233-7696x069,HughesPerry@healthcare.org,"['et', 'en']",(271)242-7878
2736043e-bcfb-4ebb-ab47-4af30267c810,Administrative,403-300-8913x19344,Monroe@healthcare.org,"['de', 'en']",661.204.7142x8512
29f5285b-3b01-479b-85a4-fc5b384e644b,Media Relations,(782)736-9402x245,Ali@healthcare.org,['de'],001-815-490-0422x945
755df120-e0e6-426c-aa30-1d8c621052fe,General Inquiries,+31171-760452,EvansRodriguez@healthcare.org,"['nl', 'en']",+31(0)96 1113306
42c4bba1-5772-4a23-ae38-493f5b6202e8,Media Relations,+3111-0873176,Richardsoon@healthcare.org,"['nl', 'en']",0303-921376
8d6a9625-cfd3-48db-833c-8dbb022dd2cf,Referrals,677-438-9305x55082,FaulknerHoward.Nursing@dept.healthcare.de,['de'],(294)971-1801x3204
e862954f-9fec-4e5d-86aa-063a1aed456b,Staff,291.263.4896x76993,FaulknerHowjard.Podiatric@dept.healthcare.org,['de'],001-824-289-4517x4466
5210908f-4a17-4d63-8eb2-42cebcaccbcd,Information,225-360-9767,FaulknerHoward.Diet@dept.healthcare.org,['de'],920.309.9251x8536
f9806d5c-66ad-48ed-baf2-07473e513599,Appointments,(241)283-0675x3751,FaulknerHoward.Otolaryngologic@dept.healthcare.org,['de'],640.389.9331x8868
466a1e68-ed89-448f-b97b-428a20e6c2d6,Staff,(460)275-4151x15055,West.Renal@dept.healthcare.org,"['de', 'en']",251.692.3031
38ce346b-f333-45f6-a306-e748fa1c19fa,Information,(657)444-8529x118,West.Puhblic@dept.healthcare.org,"['de', 'en']",(422)235-8332x4560
7b0f30ff-5bb1-4cb1-97fd-56a6ef090dfc,Emergency,837-758-0660,West.Optometric@dept.healthcare.org,['de'],435.947.1214x189
47008665-a02b-441e-a26c-895d32f203ef,Referrals,434.807.9703x4148,West.Pharmacy@dept.healthcare.org,"['de', 'en']",001-271-673-8640x140
c4b897d7-d466-4c35-98e1-6bfac56c887a,Appointments,344-885-1832,West.Optometric@dept.healthcare.org,['de'],648-929-8381x6864
6c2935ea-d350-4315-a211-610a01946506,Information,001-263-577-8570x7427,Bryan.Speech@dept.healthcare.org,"['de', 'en']",2577608116
3d2d1318-5603-4e44-bb4d-ba8c4fc05ef6,Appointments,001-456-525-6627x285,Bryan.Cardiovascular@dept.healthcare.de,['de'],(975)566-7633
e18da1d9-a1ad-45f0-b5d6-6a261811c763,Emergency,991-984-5670x8869,Bryan.Dermatology@dept.healthcare.org,['de'],273-454-0002x504
51517f67-576e-4fe5-a8bd-fc6ef7a8e877,Information,+31875-408035,Robbins.Respiratory@dept.healthcare.org,['nl'],+31385 334448
7faf8243-ac66-4332-b979-59b8a0535768,Emergency,+31(0)77-7111312,Robbins.Primary@dept.healthcare.org,['nl'],+31(0)37-9168602
3b9bc89d-0f6e-43d3-bc1d-865bf21b673d,Emergency,(0897)-844301,Robbins.Oncologic@dept.healthcare.org,"['nl', 'en']",+3126 3340886
b45ed061-8787-46a1-9767-b7008ec4b663,Appointments,(018) 4535749,Robbins.Physiotherapy@dept.healthcare.org,['nl'],+31(0)20 8855902
b7a1b24d-723f-4c15-8804-68f0f85c1887,Referrals,(0323) 659927,Peterson.Neurologic@dept.healthcare.org,['nl'],+3190 8957740
dffb5fef-6bba-4b59-b8ed-c324295196aa,Referrals,(0546) 030535,Peterson.Genetic@dept.healthcare.org,"['nl', 'en']",(0345)-240598
8033e4f8-715c-46b7-b235-45b1c0b2185f,Staff,056 2376254,Peterson.Plumonary@dept.healthcare.org,"['nl', 'en']",+31(0)56 6064887
a6b903e1-c6c6-4e1c-8b51-d55025515081,Staff,+31(0)153 230282,Peterson.Infectious@dept.healthcare.org,"['nl', 'en']",+31691 972990
7c8feea5-ac5e-4c07-848f-05b6cf3e1708,Information,001-665-247-6048x4870,HughesPerry.Infectious@dept.healthcare.org,"['et', 'en']",661.565.7004x049
cc678ba1-e5af-45d2-bce4-f2e6b7cdb1f0,Staff,+1-685-722-5090x92554,HughesPerry.Rheumatologic@dept.healthcare.org,"['et', 'en']",969.662.0290x7250
0bc777eb-eba6-44da-9e9b-01d13cbf8b55,Emergency,+1-696-664-4406,HughesPerry.Diet@dept.healthcare.org,['et'],+1-488-855-3620
0dde20d3-ed3d-44dc-8504-cc2d343ade54,Information,001-570-939-3426x197,HughesPerry.Psychiatric@dept.healthcare.org,"['et', 'en']",313.627.1664x46595
3435b401-5a4d-4284-aed9-accc3ec268b9,Information,2978592945,Monroe.Physsiotherapy@dept.healthcare.org,"['de', 'en']",982.201.9550x1318
2b0995ea-32d4-422a-85a9-df7377fb591c,Appointments,+1-226-848-0222x708,Monroe.Radiography@dept.healthcare.org,"['de', 'en']",(659)711-8243
a1865588-8c12-4bbf-a80c-b2b17b0fee6b,Emergency,(980)451-3793,Monroe.Emergency@dept.healthcare.org,"['de', 'en']",001-352-878-0818x501
75d53b9f-0df6-42a4-b02a-6b477105209b,Appointments,2594306046,Monroe.Pharmacy@dept.healthcare.org,['de'],(816)407-5994x497
1d10aa71-c25e-41c2-b317-6cbe388306d2,Staff,8576877108,Ali.Hematologic@dept.healthcare.de,"['de', 'en']",4816155170
8d3b8255-8166-4f17-87dc-dc74be8c284f,Emergency,5767033452,Ali.Genetic@dept.healthcare.org,['de'],226.475.9269
7de6b050-5f2e-49da-a50f-9ba1a75bc621,Appointments,799-522-6066,Ali.Optometric@dept.healthcare.org,"['de', 'en']",(758)338-6126
7c2cf97e-a697-469c-84fa-816fb91ce087,Referrals,0858-099734,EvansRodriguez.Public@dept.healthcare.org,['nl'],095 6180260
5a409591-227d-4088-93d7-59e565290153,Information,081-5525780,EvansRodriguez.Infectious@dept.healthcare.nl,"['nl', 'en']",(0429) 546048
de096534-f82a-4a16-8e02-7264f43f9628,Appointments,+31(0)711-688222,EvansRodriguez.Hematologic@dept.healthcare.org,['nl'],(0230) 827594
9a4dcd47-8e3e-48b8-abb1-b892bc2e6929,Referrals,+31(0)843-656784,Richardson.Respiratory@dept.healthcare.org,['nl'],+31(0)61-2209981
