identifier,text,city,postalCode,country
2e9a8e08-7f8c-430f-b312-70d398757209,Anna-Lena-Nemeth-Straße 16,Mistelbach an der Zaya,6838 ,AT
c69c5caa-c1a9-4dee-98ed-14df1cc92562,Paul-Pinter-Platz 108,Wolfsberg,8473,AT
ad1c95fc-03f8-415c-b8d8-8433efb802a8,Neumüllerplatz 128,Wolfsberg,3840,AT
02feac9a-aebb-4692-b177-9eb66582fd29,Rikboulevard 105,Zenderen,6742 DM,NL
250713a3-ce19-48f8-a21e-4e55c3244ef9,Yasminbaan 5,Stevensbeek,5997 SF,NL
62f6170a-2e0f-41c8-9cb6-fe64574fcddf,Ott Roads 92B,Sergeiport,61407,EE
0f4ea7b5-ecd5-47ee-a383-9d0313768297,Grafstr. 83,Bad Vöslau,5797,Austria
e2f04435-1c74-453e-bfcd-465552faddc0,Knappstr. 129,Sankt Pölten,2218,AT
fbe81007-2d11-411d-9ff2-6b3a9d527c3a,Nienkesteeg 17,Jaarsveld,9244 BJ,NL
bd7e62a7-e70c-4ce6-b833-cf65dc65dd92,Lolastraat 11,Voorhout,8176 JO,NL
ef67a43b-ae3e-44f3-acef-b222ff747d35,Frankstr. 64,Schwechat,7025,AT
541bdfe4-6b1f-4688-aae2-288aee78747b,Kocherstr. 37,Vils,3974,AT
5641857a-06e1-46dc-960a-2a61624f43bb,Brandstättergasse 141,Imst,8058,AT
9e316045-9aea-479d-bbdc-4002f7a0b5df,Rossmanngasse 116,Stockerau,5134,AT
9725b914-34d8-4a7d-9b2a-b5725a0e4aba,Lucie-Bräuer-Gasse 143,Bruck an der Leitha,8043,AT
999420b3-3fb4-45a5-be03-c5dcea4bd75d,Milica-Engl-Straße 75,Feldbach,3699,AT
e08e3ed3-33c9-46ee-a244-3b1d6c50de60,Peerstraße 63,Mistelbach an der Zaya,5737,AT
02eed237-f3f2-43a6-998a-40431c1ea142,Anabella-Lintner-Ring 76,Mureck,4351,AT
da5c9b9e-2c51-4c7a-8ae4-e6d7b434f4d2,Angela-Kiss-Ring 71,Neumarkt am Wallersee,5800,AT
715f90cd-c7fc-4b98-805a-71ccd535c68b,Lea-Kronberger-Weg 71,Eggenburg,8857 ,AT
254e93e5-4733-419f-8acf-71829a6bb9f1,Schwaigerplatz 94,Triebben,7136,AT
c32fdd59-ef31-4cbb-a841-5f7d70ddd626,Isa-Wenzl-Platz 107,Bad Ischl,6637,AT
23731a6d-635f-4691-98a3-8adb5ed85bc0,Twanhof 24,Holwiere,2449 TM,NL
b8896581-5ecb-4003-a567-bbfbbcaf05b1,Mikasteeg 65,Nieuwkoop,2121 WH,NL
f8090bec-29c7-42af-bdeb-32c6a9e51da0,Fabiansteeg 142,Lekkerkerk,2961 LK,NL
d5c4dbe2-63b7-4d6a-bfc7-da43f4d6d431,Kyanweg 31,Langenboom,7475 DX,NL
eda1cccb-c933-4d2e-aef1-823c3f72b4a2,Lisahof 123,Groesbeek,7370 QC,NL
399de3d2-a5e2-4225-a5da-e29d10e80a75,Catopad 70,Geldrop,2538 VP,NL
fd4fd4e1-9e9c-4f60-870f-570fee8a2024,Aydenhof 120B,Noorbeek,4059 AP,NL
17cb09cb-219d-46f2-b64e-177fd3f80955,Abelsteeg 149,Duizel,3247 NM,NL
271f2854-7b8f-4042-8e38-796e992e934f,Filippov Knolls 62,Allikton,91429,EE
11de4479-7d77-45d9-8be7-1af9be6c1e60,Anu Port 18,Teearuview,21070,EE
7c3b09d4-9945-4ce7-80a8-7b704a37cd27,Andres Shoals 22,Klaasburgh,91601,EE
f15e7c5b-5edd-4a42-be3e-d9978ee643a2,Malle Pines 50,Poombury,28066,EE
b17c40ec-916e-46e3-8e5d-dbac74fb413b,Krainerstraße 149,Gföhl,5224,AT
bab0859e-fce2-411e-bfba-8d5e55dcdf7b,Zeilerplatz 37,Klosterneuburg,4866,AT
73b336e1-49e6-44f9-9f2a-66ce2392c2d1,Zettlplatz 45,Rattenberg,3257,AT
91225b53-fec0-42bd-86d6-c1aafc8338ff,Urbanweg 98,Litschau,2967,AT
04a75769-eb71-4b60-be07-e1f9f9dcd6de,Juliana-Eberhard-Gasse 83,Mannersdorf am Leithagebirge,7106,AT
1f2b918e-15cf-47cb-973a-44019bddb916,Merlin-Gattringer-Platz 100,Fiischamend,6374,AT
65666edd-7a04-48ad-976d-8a58908ae695,Marko-Bacher-Gasse 85,Ybbs an der Donau,7926,AT
97cabebd-6a7c-4e3b-86e2-f917b0e8590f,Leonweg 7,Stieltjeskanaal,5400 MH,NL
86a9d4b7-adf5-4591-8e2d-c479913c5c21,Evasingel 143,Oudwoude,5314 ND,NL
f5e0df84-f7f8-4e86-bddf-b821d6d650ed,Pepijndreef 49,Lage Mierde,1725 MX,NL
ee5a6540-357a-4419-b95a-9b38a592a4a4,Robindreef 64,Driel,4465 ZN,NL
3f450e0a-99bf-4c0c-9472-8359a8f4fc3d,Madsstraat 107,Hellevoetsluuis,5706 TU,NL
da7c97b5-40f6-446a-bff1-94c26ae6c6f0,Selenaring 131,Puiflijk,5042 IA,NL
2cd13b1e-5f95-4bbb-abc7-a34638108795,Woutring 5,Erichem,1420 OC,NL
