identifier,text,city,postalCode,country
d4713d60-c8a7-4639-ab11-67b367a9c378,Anna-Lena-Nemeth-Straße 16,Mistelbach an der Zaya,6838,AT
247a8333-f7b0-47d2-8da8-056c3d15eef7,Paul-Pinter-Platz 108,Wolfsberg,8473,AT
adf20806-e521-4606-b717-6e84d977e993,Neumüllerplatz 128,Wolfsberg,3840,AT
31d0b664-0589-4877-9b02-52440950fd13,Rikboulevard 105,Zenderen,6742 DM,NL
d86dbf11-2880-4c5d-ad1b-8f60c9e4dab2,Yasminbaan 5,Stevensbeek,5997 SF,NL
b732d46f-21e1-4094-9efe-e464da90f534,Ott Roads 92,Sergeiport,61407,EE
fa83ada4-a212-4ac5-b689-a4a5ffda0336,Grafstr. 83,Bad Vöslau,5797,AT
d8ab0b30-0ac0-4f0d-9974-c146e8ec01b3,Knappstr. 129,Sankt Pölten,2218,AT
673617d9-4d7b-4307-9224-11e6ba8982dd,Nienkesteeg 17,Jaarsveld,9244 BJ,NL
6c4c3935-379d-4da1-ade6-c5e9b6e355f6,Lolastraat 11,Voorhout,8176 JO,NL
6c596216-ae0f-4bc8-a36b-cb0167e98363,Frankstr. 64,Schwechat,7025,AT
809f2923-87a1-498f-a6ad-dd9e61d9fe39,Kocherstr. 37,Vils,3974,AT
7de8a234-2412-479d-aaf9-44e07b38785b,Brandstättergasse 141,Imst,8058,AT
9f3dd894-b6af-48b2-aeba-42d0f8303249,Rossmanngasse 116,Stockerau,5134,AT
bbf9bb01-27f9-4728-8618-fc1e6a480542,Lucie-Bräuer-Gasse 143,Bruck an der Leitha,8043,AT
421aa15e-f58c-43ce-b51d-70d8582dd972,Milica-Engl-Straße 75,Feldbach,3699,AT
9750ca7e-246c-409c-ad28-508dbdaa3bfa,Peerstraße 63,Mistelbach an der Zaya,5737,AT
5af95c78-247f-4d97-85fa-2d5cefe6171b,Anabella-Lintner-Ring 76,Mureck,4351,AT
e8a56f31-ac2c-40d0-8156-48ffdf0d6301,Angela-Kiss-Ring 71,Neumarkt am Wallersee,5800,AT
ab12fb53-8f42-4ebe-a3b8-70f377cb1a27,Lea-Kronberger-Weg 71,Eggenburg,8857,AT
49b564fb-92a6-41d7-8069-c54224039721,Schwaigerplatz 94,Trieben,7136,AT
a358cb1d-be3f-4afd-8e96-ed9b5d158e44,Isa-Wenzl-Platz 107,Bad Ischl,6637,AT
9b3a0c89-1a32-4148-9bba-c83856e9b78d,Twanhof 24,Holwierde,2449 TM,NL
7ecc040c-75ff-43f0-825b-7c5f1284b9d7,Mikasteeg 65,Nieuwkoop,2121 WH,NL
8a83efc8-9c2e-4562-8916-e844e64ddd91,Fabiansteeg 142,Lekkerkerk,2961 LK,NL
a91da2cd-8bf0-4f64-b417-8592b76fc5b2,Kyanweg 31,Langenboom,7475 DX,NL
7f2a2e65-c659-4f7f-aa45-5fc7c80cb483,Lisahof 123,Groesbeek,7370 QC,NL
425832c0-142a-4c95-9908-2a42b4480761,Catopad 70,Geldrop,2538 VP,NL
f20e8bda-39cc-4d88-832f-594d0b82b61c,Aydenhof 120,Noorbeek,4059 AP,NL
a9774b71-de6d-4d7e-9f31-2acb2362dbc1,Abelsteeg 149,Duizel,3247 NM,NL
754724dd-269b-4c3b-abf0-f4bd4af0a6fe,Filippov Knolls 62,Allikton,91429,EE
f7f21e5c-ce07-45e3-9456-5b12fb52451d,Anu Port 18,Teearuview,21070,EE
1c2c7a34-9466-4d45-a84b-7bcda3af11d0,Andres Shoals 22,Klaasburgh,91601,EE
ae2562ca-2894-4b4c-b0fc-ccc6fb46ed39,Malle Pines 50,Poombury,28066,EE
ac4ebce0-a02a-4b21-a2a7-d0fcc683ad33,Krainerstraße 149,Gföhl,5224,AT
a2b4d215-c3c5-407d-be29-2238fbfbe602,Zeilerplatz 37,Klosterneuburg,4866,AT
8d7f7ba5-72e6-416e-a671-0ad2c1b5468a,Zettlplatz 45,Rattenberg,3257,AT
eceec38d-511f-4da9-a2d8-01701e6cbd83,Urbanweg 98,Litschau,2967,AT
2d5590c9-0576-4983-99cd-012a06b42b6f,Juliana-Eberhard-Gasse 83,Mannersdorf am Leithagebirge,7106,AT
f172840f-3e19-40ba-ae09-ccfba3dee81f,Merlin-Gattringer-Platz 100,Fischamend,6374,AT
00f24603-8295-4fe0-92c5-53b5d2f74429,Marko-Bacher-Gasse 85,Ybbs an der Donau,7926,AT
94d50a99-eba0-4424-a5a5-ac1f7b2ecfc5,Leonweg 7,Stieltjeskanaal,5400 MH,NL
796f9881-572a-4b53-ab6b-7b4229502326,Evasingel 143,Oudwoude,5314 ND,NL
5b61f92b-9cf6-40ec-9c3c-8d3521d4fb7e,Pepijndreef 49,Lage Mierde,1725 MX,NL
f7f1bb27-8066-4563-a0c3-0ce957ac59f2,Robindreef 64,Driel,4465 ZN,NL
cb18d6a4-15db-4487-a038-03f32b2bcfda,Madsstraat 107,Hellevoetsluis,5706 TU,NL
90a00ee1-70e2-4e61-a29b-24d72bdc9c10,Selenaring 131,Puiflijk,5042 IA,NL
8e5f37fa-68f4-4b51-b3fa-861390ed41f4,Woutring 5,Erichem,1420 OC,NL
