original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
50bea76b-e732-4e1f-a4b2-1ca69938b9e7,5a6eaca9-d13d-4c48-a943-55bca48ecab8,Address,country_expansion,country,NL,Netherlands
83448662-04a4-411a-80e1-a7683cd17950,6cc2eaef-cd93-4f24-9d6f-9928742a06a2,Address,house_number_suffix,text,Juulsteeg 36,Juulsteeg 36C
fdb3242a-8ac6-4689-8d07-3934be8c80f8,d9159f68-c712-499e-8a40-8191e5e50a29,Address,house_number_suffix,text,Carlijnsteeg 86,Carlijnsteeg 86A
e89573f3-f273-49f1-af4a-4da53dea39b8,8b5f2f61-4d16-406a-83af-9e4fd9b59284,Address,city_typo,city,Fürstenfeld,Fürstenfeeld
e5edb852-dc92-45bb-9747-f8d5b12460bf,c647f5db-0b8c-4f59-abda-690a06a7bcef,Address,house_number_suffix,text,Hofstätterring 12,Hofstätterring 12B
b9c48dc8-44cf-472e-b7b2-185d17f78ef2,0ef32d1b-ae9b-4d96-b314-6431482ca0b8,Address,house_number_suffix,text,Tatiana Viaduct 72,Tatiana Viaduct 72A
19f8b828-a40a-4ab8-aea4-e39843f26ed2,9d5dd7f6-9460-4092-a003-b40c2d9e66e9,Address,postal_format,postalCode,5709,5709 
bbf60181-8edc-4f3f-bb3c-b1db792613ac,517fb4d9-a66c-4300-8d53-4cd5280c569f,Address,country_expansion,country,NL,Netherlands
4d1aa07e-aca2-4647-87fa-b649e2631aac,855a18ad-1655-4fba-81a6-92846beb1db7,Address,house_number_suffix,text,Luik Garden 129,Luik Garden 129A
c9aadaa6-e440-4a7c-a953-61bfee628c9a,5aeef049-64be-4852-8def-28f4ff696314,Address,city_typo,city,Ferlach,Ferlahc
9c9da0d2-9087-4f0e-9206-d547d6a2c182,b3538a00-32ef-43ab-aaac-cb17154a2c83,Address,house_number_suffix,text,Elisabeth-Rössler-Ring 94,Elisabeth-Rössler-Ring 94B
ea31e67a-e168-4205-bc0a-94de4e245cf7,abbb8889-1302-4bae-8cba-f9a31ef54f8d,Address,country_expansion,country,AT,Austria
039d60ba-9c99-4735-95a6-52a708fce7af,9920e0a7-b008-4ed9-bc18-9c106bb2142d,Address,house_number_suffix,text,Mikepad 33,Mikepad 33C
024e8609-4486-4d26-8fd0-92769c017e5d,1b4e524b-cf47-4949-8743-d70adf7730aa,Address,country_expansion,country,EE,Estonia
1a1ea45a-bf58-4bbd-b145-3f8d54f71c87,d3fd97dc-9ed1-40ea-bf64-3eeee40b9fdc,Address,country_expansion,country,AT,Austria
662cd6c6-c4b2-45f2-97ad-9fa3e5ea8fd8,512ddfb0-acd9-49cc-a15f-991c0c004292,Address,postal_format,postalCode,7237 IN,7237IN
9e730261-181a-40c0-b9e5-399e55a0fcb3,5185938f-5775-4be2-bd71-97ef56ec01c1,Address,house_number_suffix,text,Kalteneggerring 37,Kalteneggerring 37B
63a1913b-b2f7-4b34-bd52-07a9500dfc15,90ad45c3-bbeb-42e5-b45d-21735b81ac17,Address,city_typo,city,Tiitside,Tiitside
bd9e0f57-3091-4c6c-9cac-6fd8cb875bbd,6c2de82f-6cda-4927-ae12-0e3dc8485d85,Address,city_typo,city,IJsselham,IJseslham
1b770deb-6f51-4a78-bea2-a33a51d11bcd,6897d453-869b-4d6e-b65e-d8bf8d0847e2,Address,country_expansion,country,NL,Netherlands
06ab5a91-d83d-424b-bcd8-d4e4b8d056c1,c5d06d53-a8aa-4f80-bff6-fb81c4961023,Address,postal_format,postalCode,6060,6060 
ee41eb04-f811-4567-a01a-55d602cb637d,10b755c9-13d0-479d-8896-9bddb7f4ef8d,Address,house_number_suffix,text,Keanosingel 76,Keanosingel 76A
f26ce972-e1da-4dd8-aa09-7bb2c187715f,1242596b-e416-44d7-ac8d-24ebb3106cf4,Address,city_typo,city,Indrekmouth,Inndrekmouth
17fafba0-9a4e-4610-9c5e-a35b866294bf,0a2a5e57-a74a-4e8c-bdb4-b80c50469146,Address,city_typo,city,Grubbenvorst,Gubbenvorst
0cf1a812-7e78-4595-bc62-d6041dc96d0d,55d7487a-1a53-4041-8c6c-5c1908c16a2d,Address,country_expansion,country,AT,Austria
c3d2e249-a0b3-430f-8a23-12e869c458e7,46873650-96ba-4e7f-8033-d60f42287956,Address,city_typo,city,Ebenfurth,Ebnfurth
2e576628-61ff-4114-932c-80e82d2ad083,47d583d5-619e-4bcd-8a63-8c12c114f1ea,Address,country_expansion,country,EE,Estonia
33755744-a22a-45f9-ab5a-8e04b76a548c,e6a14cb3-a644-49d0-9bc0-c5439aadadbf,Address,country_expansion,country,NL,Netherlands
5726adc9-aa25-45aa-9168-8dc60aab3d43,30321592-78cc-4f13-9732-7dda46c50061,Address,house_number_suffix,text,Galina Villages 104,Galina Villages 104A
02a03b46-f8b8-4e14-a7d8-ed18ce4e682f,04a65a2f-1d21-4a52-b5a7-ef3d57523db7,Address,city_typo,city,Dürnstein,Dürnsstein
ca5aa58d-2dd7-4003-9aa3-cdad289cd17d,e7ab5039-0d7b-4476-8f9f-478c5d49709f,Address,country_expansion,country,NL,Netherlands
8d7f7ba5-72e6-416e-a671-0ad2c1b5468a,27ff3d5e-fdb8-4c4e-a44c-91126489cd9a,Address,postal_format,postalCode,7929,7929 
c468c138-1871-4c59-be6c-482de83bf4c8,d5095d65-d0e8-40b4-aef2-be01f56cd339,Address,city_typo,city,Poysdorf,Poysdosrf
e8dd17ff-fee5-463f-b296-2d39d502c185,0c7d78f6-e8aa-42a1-8793-654dae0954a8,Address,house_number_suffix,text,Mehmetstraat 86,Mehmetstraat 86B
1377dc4a-4aea-465b-acb0-4a442c040f51,85b4014f-4a20-40de-9bca-851e38272efe,Address,country_expansion,country,EE,Estonia
55a6b1ce-e7a0-4b9d-b769-52875a368197,c09a2d37-4f5f-4d6b-bfa0-a0247e2212da,Address,house_number_suffix,text,Jelena Rapid 28,Jelena Rapid 28C
45a16970-a11b-46b0-8823-6adf3f7512c5,6cdc672e-b59e-46ec-a802-45224fb3b380,Address,country_expansion,country,NL,Netherlands
f13a2ff3-9365-4891-a460-0a02c5acc612,e620bbf0-4149-445d-abc0-59edf9f10dc4,Address,city_typo,city,Anneshire,Annesshire
aa07c6e1-b284-4450-bec2-64ee8d6ba9fc,96891cee-086a-437f-8a92-95d57570a946,Address,postal_format,postalCode,4124 IT,4124IT
e775f27e-2ec0-42f0-9310-0ac51932263c,a03e2321-1a83-4c31-8a48-a686a2a4ba59,Address,city_typo,city,Langtown,Lagtown
395d4e8b-9f80-4627-a3c8-8c7ad35666e5,67373b26-09af-4ede-8da1-8144d2a58c04,Address,postal_format,postalCode,4644 TX,4644TX
df84a355-c8bf-4545-bc82-742d88fa1ed3,16b5c85a-d93e-4fa0-a901-e7bfa0139703,Address,city_typo,city,Leibnitz,Leeibnitz
7176d181-3e2b-4653-a258-edf30ff0952a,35d7e8b9-36e8-4541-87f6-30bd002d781c,Address,house_number_suffix,text,Aino Cape 70,Aino Cape 70B
444a8dd4-ed0c-4328-962a-1b9a9df606da,d0cbd55e-4209-4baf-8c5d-7335d6aa61e9,Address,city_typo,city,Straßburg,Straburg
cf671bcf-aebb-492a-984c-1484a8ef6278,8000e26a-ca02-46a6-b970-4ef7959b5e53,Address,country_expansion,country,AT,Austria
053fdce6-f7c7-4ec0-892b-b17953fad41f,8bea523c-4efd-45af-9434-bb84a36db8b2,Address,country_expansion,country,AT,Austria
51cd2c07-a8f7-4b61-b9d2-b2de92bba701,7e270c7a-b045-42c2-aa99-4b06bc989b3d,Address,house_number_suffix,text,Marek Fords 19,Marek Fords 19A
14ab54b4-c114-497f-acee-452fde13865c,74a9bbb9-66f2-4672-9314-f7c1e386e046,Address,house_number_suffix,text,Laura Corners 45,Laura Corners 45C
2a72895f-890c-4685-a609-c17f13641b28,d4af3a1e-d0ae-422d-bd05-085ecf974a5c,Address,country_expansion,country,EE,Estonia
e3531771-ba25-4533-805c-7d25fcb8f90c,636708cb-064a-4cd1-a7b8-bacfba4c6d81,Address,postal_format,postalCode,2940 CD,2940CD
e9e7e1ba-916b-41ee-afae-feda6b325d48,89f86f77-0790-4ab7-be83-ca313c502878,Address,city_typo,city,Waidhofen an der Ybbs,Waidofen an der Ybbs
5551d5e3-4f47-4c94-93e6-db96c2450788,38dfd258-6390-4178-8745-126f89e1be28,Address,country_expansion,country,AT,Austria
a5acf1da-2eee-4c46-b558-1ebb398a0e87,4c168419-f413-4784-8118-a17e5ae71bc6,Address,country_expansion,country,EE,Estonia
8a8c150c-c290-461f-9616-b10d03889405,8cf903eb-f85c-47a6-9808-07a38093878f,Address,country_expansion,country,NL,Netherlands
fecce64d-7b3b-4c45-ba36-7d69ff4af608,19f46261-9ca3-436b-b1b5-5462e6b9ac0e,Address,country_expansion,country,NL,Netherlands
4ad874e8-2faf-42d4-a728-806cd70b0671,5aeadb7e-113a-4e27-ac30-4bdf74c32bbb,Address,country_expansion,country,AT,Austria
