original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
1436d260-d434-492d-8bbe-ea054653ff61,a0f82a03-98f8-42f7-b337-098f57902469,Address,country_expansion,country,NL,Netherlands
514f652f-cb71-4e2f-bbe1-4cbd9b7f3e1b,634e5e52-82ff-4857-8cfb-77fe9b5fcf5e,Address,country_expansion,country,AT,Austria
ee7150cd-f25b-4180-a41f-26d3b6f6fec4,312305ad-9ba8-49b2-92b4-23e5525a061e,Address,city_typo,city,Sleen,Sleeen
b4652600-92c4-4c99-9062-5b3bd2385cf5,e324d55a-1ce8-4bd0-adc8-eada7d2cd23f,Address,house_number_suffix,text,Sarap Crest 87,Sarap Crest 87A
10c2d392-a9db-434c-9322-21e2fcb0959b,c699987b-507a-43a9-9026-b9160dfca608,Address,country_expansion,country,EE,Estonia
8fdd2315-6676-44ce-bcea-20e0c497449d,2fb5508a-be93-4ea9-80f9-d727b99bb2ce,Address,house_number_suffix,text,GontÅ¡arov Square 129,GontÅ¡arov Square 129B
ec5a35f4-9cc6-4c68-be2d-31cf09525f64,c2709620-bb97-4384-a4fc-57744f408ab7,Address,house_number_suffix,text,Marie-Jung-Ring 148,Marie-Jung-Ring 148C
024e8609-4486-4d26-8fd0-92769c017e5d,c699987b-507a-43a9-9026-b9160dfca608,Address,country_expansion,country,EE,Estonia
6e695b3f-4a17-4d31-934c-cba77dc7b782,77cff886-6143-4611-be7d-98ca29744c27,Address,house_number_suffix,text,Veronika-Himmelbauer-StraÃe 79,Veronika-Himmelbauer-StraÃe 79B
2d58cc88-a9ac-4915-bee9-db39b0343d89,634e5e52-82ff-4857-8cfb-77fe9b5fcf5e,Address,country_expansion,country,AT,Austria
1e73bbc2-9c9d-4a1e-b385-cc03177a776f,166b7d36-a019-408a-88f7-65ff355206a4,Address,postal_format,postalCode,52268,52268 
4abaea30-7bfe-45c5-94c3-aaaaeceb437a,a0f82a03-98f8-42f7-b337-098f57902469,Address,country_expansion,country,NL,Netherlands
2b274e9e-3f43-477c-b32f-5dd17cac29bd,add1ec0c-bfe6-4489-a8f9-b8a160c787c4,Address,postal_format,postalCode,6493 TX,6493TX
51176e9b-5fa7-4396-b671-6ac7f78641eb,763fc5be-b417-463f-add9-1522a766b933,Address,postal_format,postalCode,9317,9317 
