original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
4fae667b-b2e7-4e77-8fe1-cedfa5387901,603baf6d-95c8-59a2-905a-ad623ee7d01e,Address,house_number_suffix,text,Bilalring 122,Bilalring 122A
73522179-16d4-487e-ac18-2c289284cc11,6f24404f-7171-5678-b9b8-b26f0d1a9be8,Address,city_typo,city,Õunburgh,Õunubrgh
2cc293a5-9848-46e7-a9c5-d820f96ab96b,2afc759c-dccd-5e98-a88a-b96728544589,Address,country_expansion,country,AT,Austria
6368a611-1cd3-47c9-b2c6-e2e23bf497b2,8efdbaad-0a57-5e09-a73f-a40c92fc3014,Address,house_number_suffix,text,Leopold-Krainer-Platz 29,Leopold-Krainer-Platz 29A
395d4e8b-9f80-4627-a3c8-8c7ad35666e5,c6903ac3-de45-5e8f-90fb-03ca4dbb11b6,Address,city_typo,city,Deest,Deesst
a7b4913b-5624-4f64-87b9-2b789469d522,1addecd7-37d2-5156-b425-8850f075b8f8,Address,city_typo,city,Kerkrade,Keerkrade
6bd2729b-a516-4d17-a71f-767485883d44,95486e1e-6048-5bdc-b35b-acf1e023eeeb,Address,city_typo,city,De Zilk,De Zik
374049d3-3a4b-4aab-8659-cf439de8ddf4,d9a9db4d-20cc-5378-ae9a-45be1d60b256,Address,house_number_suffix,text,Blauensteinerweg 102,Blauensteinerweg 102C
1e544cc5-7ab0-4ef0-89da-2bbb57561bef,4874b3ff-ab40-5dd4-84f3-dc3fe377dbdd,Address,country_expansion,country,AT,Austria
2d58cc88-a9ac-4915-bee9-db39b0343d89,1bc7a1aa-4a3d-5f63-9ce1-777f14a59a63,Address,city_typo,city,Purkersdorf,Purukersdorf
68cce369-339b-4ce8-8bb3-66b225a3fcce,eddd3f49-d8b2-5d3a-ad22-e92a3a897dfb,Address,house_number_suffix,text,Larissa-Eberharter-Ring 62,Larissa-Eberharter-Ring 62C
6c910628-26c2-4bba-bdd2-071a8a0492d9,d6bd6f71-2381-5336-a4b8-3ca93c058027,Address,city_typo,city,North Tiiuville,North iTiuville
6e695b3f-4a17-4d31-934c-cba77dc7b782,cc25a229-cf42-5c65-8db5-569be903dc44,Address,house_number_suffix,text,Veronika-Himmelbauer-Straße 79,Veronika-Himmelbauer-Straße 79C
fbb2b573-d757-49e8-96ee-7a6cc271a2b9,d9777dd5-f2d1-5bb8-bebb-97ac3627808a,Address,country_expansion,country,EE,Estonia
9a1c1c26-46bc-4d80-993d-c4eb93cf3e68,3a376097-cc24-5577-9015-c716f9ea9112,Address,house_number_suffix,text,Maurerstraße 58,Maurerstraße 58A
3d05e7c4-49b0-4f3a-a4b4-1b9f68986032,cb4288a8-08cd-58cf-99ca-c24d5426108f,Address,postal_format,postalCode,3890 QA,3890QA
01f33f11-e544-45d5-9df5-f725d31b6f93,99b3cbdb-77b9-5bca-a904-987f7ee85844,Address,postal_format,postalCode,3252,3252 
9f6622e9-d6b2-41e3-a27b-f978777f4a56,1f9e03a6-f161-559d-870b-a16df1f4cf26,Address,postal_format,postalCode,8418,8418 
69cc71a2-9589-4ff6-844b-542e3ea2068a,effe247c-6645-5c7e-b633-255690165336,Address,house_number_suffix,text,Kernring 18,Kernring 18C
8c3fa29f-fa4b-4bc6-9121-f31f5028361f,f26f6730-b4c2-5320-b172-688ee9394833,Address,country_expansion,country,NL,Netherlands
15ace7a1-ceca-4ee3-90da-8a9516408169,7e971602-3e67-500a-a704-910abc3ebe2b,Address,house_number_suffix,text,Sutt Route 145,Sutt Route 145A
