original_id,duplicate_id,entity_type,variation_type,field_name,original_value,varied_value
0e8cff18-9e9d-4b77-ba34-b580eda0a0af,36e27309-6297-4cc9-ac4f-8c54df56c845,Address,house_number_suffix,text,Leahbaan 26,Leahbaan 26B
1095e497-3d79-4f0b-a6cd-3595d4f0d65d,d3d62e46-973f-43c1-b8c3-6a4839f07ec8,Address,country_expansion,country,AT,Austria
3899c22a-d4ed-41bd-9692-74a2acbe4ff6,bfc41ec3-5589-4c05-a0f9-a7a89e52b550,Address,house_number_suffix,text,Siim Corners 52,Siim Corners 52C
541d1a81-4815-442c-a2bb-62833d83ad7c,4e68583f-aa89-449e-beda-361e081a5a0f,Address,postal_format,postalCode,1625 AP,1625AP
603fa8f0-1549-4dee-830b-4d6d9575d095,a06c2e83-080c-4ac9-9f6e-cc909c053fc1,Address,country_expansion,country,NL,Netherlands
eedbba8b-0f83-41ee-b2ac-89bdb2998fa3,29b56579-2ac6-4e20-a2e5-ad5e763e5cac,Address,house_number_suffix,text,Linda Expressway 107,Linda Expressway 107B
853a9135-3ee2-451b-be88-c93319db1d7b,dfc56419-f5f1-4b64-adaa-a5e6fb4e2666,Address,house_number_suffix,text,Katarina-Rohrer-Gasse 42,Katarina-Rohrer-Gasse 42A
7c5246f1-8fe5-475b-b771-877e141e39e7,8c871def-0cbf-4922-bb6f-f2c2ddfeb381,Address,city_typo,city,Bunschoten-Spakenburg,Bunnschoten-Spakenburg
eae9c546-446c-4893-89d3-cdb9ebb9aa72,ffc726e8-e07c-4888-a537-8e8ec921fb30,Address,postal_format,postalCode,6850 ER,6850ER
100cfe80-2132-4c24-81b3-77bd59eae69a,98a4c7a9-3f08-4517-8403-9e059194fc83,Address,house_number_suffix,text,Maritweg 143,Maritweg 143C
335be677-df1b-425e-af66-be879a4c2227,4942c5cc-df32-494a-b4d7-467a7aadd6ce,Address,postal_format,postalCode,8883 YA,8883YA
7d859725-c707-4ef9-86c3-744cc88e03b6,2a2885c9-736e-47cc-82d2-85a20cf9118b,Address,house_number_suffix,text,Jordyring 13,Jordyring 13B
d35f581e-3648-431f-ae9e-8d0384983111,5dd01e2d-6d5b-4dfe-9637-660d9e5f5628,Address,city_typo,city,Wilhelmsburg,Wlhelmsburg
6bc9e970-c48a-4374-86dc-1579647640a1,b8186dd6-d369-416d-ad0f-07d45bd2bc0b,Address,house_number_suffix,text,Elena Station 124,Elena Station 124B
5a8fe4b2-8ffd-4977-85b8-93b04d36c61a,15eb9819-1ee1-4c95-b23a-1b154e8a1591,Address,country_expansion,country,NL,Netherlands
aace1c9a-1c59-4fa1-b543-be48696b7284,419e5229-2ff9-4026-8be8-2d2bbae567c9,Address,city_typo,city,Sandermouth,Sanddermouth
71494031-67ef-4e9e-803f-00347399a177,835527c8-5a9b-4e75-9ace-6b5a2f7c2455,Address,postal_format,postalCode,9277 GF,9277GF
ef7e85ec-a417-456f-a9ee-7f3d0ff030b8,7d387433-4214-41fe-817f-60e523c55d9c,Address,house_number_suffix,text,Majaring 76,Majaring 76B
636164d8-bb88-41b8-9be5-f8a138462e03,b400be58-5cef-4f0e-a062-13afd8f0708d,Address,city_typo,city,Abramovfurt,Abrmovfurt
406ec398-9a4a-4a9c-a735-a17352ec0382,a3708e2a-b708-4278-a93f-a32d60a1f5ff,Address,city_typo,city,Abbenbroek,Abbenbroek
929c8ac4-bf28-40fb-a8cb-2f6eee5e256e,d972ec97-772c-4db4-9c45-a85c8a04e1de,Address,country_expansion,country,NL,Netherlands
970ea1aa-c76f-48ae-adf3-d0246f88c633,b12be6c3-ad53-4ef3-a220-3964b6591dc3,Address,house_number_suffix,text,Mirteweg 112,Mirteweg 112C
c04bd397-54a9-4898-bcb7-b35d68298389,893490bf-d1c5-4af9-aa50-b79a5f59533b,Address,house_number_suffix,text,Emirring 54,Emirring 54A
1ae3237f-aa88-4965-9654-7b4d317588ff,823d3974-8285-4659-9c64-73f8babb6599,Address,country_expansion,country,NL,Netherlands
